Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23.0,36.0,36.0,3194.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,26.0,37.0,36.0,3073.0,34.1,8.0,16.0,24.0,8.0,0.0,0.0,2.0,0.0,183.0,388.0,259.0,0.23,0.47,0.7,0.23,0.7,,,5.1,5.1,11.1,16.2,0.15,0.32,0.48,0.15,0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Nicolás Otamendi,ar ARG,DF,29.0,34.0,33.0,2967.0,33.0,4.0,0.0,4.0,4.0,0.0,0.0,9.0,0.0,92.0,212.0,8.0,0.12,0.0,0.12,0.12,0.12,,,2.7,2.7,0.9,3.6,0.08,0.03,0.11,0.08,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Fernandinho,br BRA,MF,32.0,34.0,33.0,2881.0,32.0,5.0,3.0,8.0,5.0,0.0,0.0,7.0,0.0,80.0,320.0,38.0,0.16,0.09,0.25,0.16,0.25,,,2.1,2.1,2.8,4.9,0.06,0.09,0.15,0.06,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Kyle Walker,eng ENG,DF,27.0,32.0,32.0,2785.0,30.9,0.0,6.0,6.0,0.0,0.0,0.0,3.0,2.0,105.0,221.0,190.0,0.0,0.19,0.19,0.0,0.19,,,0.6,0.6,4.6,5.3,0.02,0.15,0.17,0.02,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Raheem Sterling,eng ENG,FW,22.0,33.0,29.0,2587.0,28.7,18.0,11.0,29.0,17.0,1.0,1.0,4.0,2.0,116.0,94.0,410.0,0.63,0.38,1.01,0.59,0.97,,,16.2,15.3,7.3,22.6,0.56,0.25,0.82,0.53,0.79,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,David Silva,es ESP,MF,31.0,29.0,28.0,2430.0,27.0,9.0,11.0,20.0,9.0,0.0,0.0,5.0,0.0,158.0,337.0,247.0,0.33,0.41,0.74,0.33,0.74,,,7.2,7.2,8.4,15.6,0.27,0.31,0.58,0.27,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Leroy Sané,de GER,FW,21.0,32.0,27.0,2419.0,26.9,10.0,15.0,25.0,10.0,0.0,0.0,4.0,0.0,102.0,68.0,416.0,0.37,0.56,0.93,0.37,0.93,,,5.8,5.8,6.8,12.5,0.21,0.25,0.47,0.21,0.47,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Sergio Agüero,ar ARG,FW,29.0,25.0,22.0,1963.0,21.8,21.0,6.0,27.0,17.0,4.0,4.0,2.0,0.0,89.0,49.0,214.0,0.96,0.28,1.24,0.78,1.05,,,16.2,13.1,5.6,18.7,0.75,0.26,1.0,0.6,0.86,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Fabian Delph,eng ENG,DF,27.0,22.0,21.0,1741.0,19.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,53.0,132.0,63.0,0.05,0.1,0.16,0.05,0.16,,,0.3,0.3,1.2,1.5,0.01,0.06,0.08,0.01,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Gabriel Jesus,br BRA,FW,20.0,29.0,19.0,1668.0,18.5,13.0,3.0,16.0,13.0,0.0,2.0,6.0,0.0,28.0,49.0,181.0,0.7,0.16,0.86,0.7,0.86,,,13.8,12.2,2.1,14.3,0.74,0.11,0.86,0.66,0.77,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
