Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Ligue1,Nancy,Squad Total,,,27.2,38.0,29.0,378.0,113.0,29.9,9.95,2.97,0.07,0.25,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Nancy,Opponent Total,,,26.4,38.0,50.0,488.0,175.0,35.9,12.84,4.61,0.09,0.25,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Jean-Louis Leca,fr FRA,GK,30.0,33.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Allan Saint-Maximin,fr FRA,"MF,FW",19.0,30.0,3.0,69.0,26.0,37.7,2.3,0.87,0.04,0.12,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Pierre Bengtsson,se SWE,"DF,MF",28.0,29.2,1.0,12.0,5.0,41.7,0.41,0.17,0.08,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Yannick Cahuzac,fr FRA,MF,31.0,27.0,1.0,22.0,6.0,27.3,0.82,0.22,0.05,0.17,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Mehdi Mostefa,dz ALG,MF,32.0,26.0,0.0,16.0,1.0,6.3,0.62,0.04,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Lassana Coulibaly,ml MLI,MF,20.0,25.3,0.0,35.0,8.0,22.9,1.38,0.32,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Enzo Crivelli,fr FRA,FW,21.0,23.0,10.0,31.0,17.0,54.8,1.35,0.74,0.32,0.59,,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Gilles Cioni,fr FRA,DF,32.0,22.9,0.0,4.0,1.0,25.0,0.17,0.04,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Bastia,Alexander Djiku,gh GHA,DF,21.0,20.6,1.0,16.0,4.0,25.0,0.78,0.19,0.06,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
