season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2020-2021,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,34.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,30.0,32.0,31.0,2674.0,29.7,11.0,19.0,30.0,10.0,1.0,1.0,0.0,0.0,51.0,151.0,325.0,0.37,0.64,1.01,0.34,0.98,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,David Alaba,at AUT,"DF,MF",28.0,32.0,30.0,2675.0,29.7,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,56.0,242.0,70.0,0.07,0.13,0.2,0.07,0.2,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,31.0,29.0,29.0,2368.0,26.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,8.0,184.0,7.0,0.04,0.04,0.08,0.04,0.08,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,31.0,29.0,28.0,2458.0,27.3,41.0,7.0,48.0,33.0,8.0,9.0,4.0,0.0,51.0,67.0,185.0,1.5,0.26,1.76,1.21,1.46,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,25.0,27.0,25.0,2194.0,24.4,4.0,10.0,14.0,4.0,0.0,0.0,4.0,0.0,54.0,288.0,66.0,0.16,0.41,0.57,0.16,0.57,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",24.0,29.0,23.0,1752.0,19.5,5.0,10.0,15.0,5.0,0.0,0.0,1.0,0.0,103.0,76.0,268.0,0.26,0.51,0.77,0.26,0.77,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,24.0,24.0,22.0,1943.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,49.0,162.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,19.0,23.0,22.0,1763.0,19.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,80.0,123.0,131.0,0.05,0.1,0.15,0.05,0.15,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",25.0,27.0,20.0,1644.0,18.3,10.0,2.0,12.0,10.0,0.0,0.0,4.0,0.0,82.0,93.0,216.0,0.55,0.11,0.66,0.55,0.66,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Leroy Sané,de GER,"FW,MF",24.0,32.0,18.0,1805.0,20.1,6.0,9.0,15.0,6.0,0.0,0.0,2.0,0.0,73.0,84.0,230.0,0.3,0.45,0.75,0.3,0.75,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,25.0,24.0,18.0,1705.0,18.9,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,45.0,137.0,42.0,0.26,0.26,0.53,0.26,0.53,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,24.0,23.0,18.0,1597.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,42.0,86.0,81.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,24.0,20.0,16.0,1505.0,16.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,36.0,129.0,29.0,0.06,0.0,0.06,0.06,0.06,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",31.0,22.0,8.0,820.0,9.1,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,9.0,19.0,63.0,0.33,0.0,0.33,0.33,0.33,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"FW,MF",17.0,26.0,7.0,881.0,9.8,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,29.0,39.0,66.0,0.61,0.1,0.72,0.61,0.72,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,25.0,16.0,7.0,781.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,68.0,27.0,0.12,0.0,0.12,0.12,0.12,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Bouna Sarr,sn SEN,DF,28.0,8.0,5.0,452.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,32.0,29.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"DF,MF",31.0,19.0,4.0,466.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Douglas Costa,br BRA,"FW,MF",29.0,11.0,3.0,320.0,3.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,17.0,40.0,0.28,0.28,0.56,0.28,0.56,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Marc Roca,es ESP,MF,23.0,6.0,2.0,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Joshua Zirkzee,nl NED,FW,19.0,3.0,1.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Alexander Nübel,de GER,GK,23.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Josip Stanišić,hr CRO,DF,20.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Chris Richards,us USA,DF,20.0,3.0,1.0,89.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,0.0,1.01,1.01,0.0,1.01,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Tiago Dantas,pt POR,MF,19.0,2.0,1.0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Tanguy Nianzou,fr FRA,"DF,FW",18.0,6.0,0.0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Christopher Scott,de GER,"MF,FW",18.0,2.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,FW,20.0,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Adrian Fein,de GER,MF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Ron-Thorben Hoffmann,de GER,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Dimitri Oberlin,ch SUI,"FW,MF",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Armindo Sieb,de GER,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Rémy Vita,mg MAD,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Maximilian Zaiser,de GER,MF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Squad Total,0,0,27.3,34.0,374.0,3060.0,34.0,98.0,75.0,173.0,89.0,9.0,10.0,44.0,3.0,829.0,2084.0,2073.0,2.88,2.21,5.09,2.62,4.82,0.0,0.0
2020-2021,Bundesliga,Bayern Munich,Opponent Total,0,0,25.9,34.0,374.0,3060.0,34.0,44.0,41.0,85.0,43.0,1.0,3.0,50.0,0.0,476.0,1028.0,1024.0,1.29,1.21,2.5,1.26,2.47,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,30.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Dayot Upamecano,fr FRA,DF,21.0,29.0,27.0,2330.0,25.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,24.0,156.0,11.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Dani Olmo,es ESP,MF,22.0,32.0,26.0,2194.0,24.4,5.0,9.0,14.0,4.0,1.0,1.0,1.0,0.0,50.0,175.0,174.0,0.21,0.37,0.57,0.16,0.53,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Willi Orban,hu HUN,DF,27.0,29.0,25.0,2363.0,26.3,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,33.0,166.0,5.0,0.15,0.04,0.19,0.15,0.19,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Angeliño,es ESP,"DF,FW",23.0,26.0,24.0,2161.0,24.0,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,47.0,93.0,242.0,0.17,0.17,0.33,0.17,0.33,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Marcel Sabitzer,at AUT,MF,26.0,27.0,24.0,2026.0,22.5,8.0,3.0,11.0,4.0,4.0,4.0,8.0,0.0,24.0,171.0,78.0,0.36,0.13,0.49,0.18,0.31,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Kevin Kampl,si SVN,MF,29.0,27.0,24.0,1932.0,21.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,25.0,117.0,24.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Amadou Haidara,ml MLI,"MF,FW",22.0,31.0,21.0,1905.0,21.2,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,53.0,99.0,121.0,0.14,0.05,0.19,0.14,0.19,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Tyler Adams,us USA,"MF,DF",21.0,27.0,21.0,1850.0,20.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,27.0,113.0,70.0,0.05,0.05,0.1,0.05,0.1,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Nordi Mukiele,fr FRA,DF,22.0,28.0,21.0,1677.0,18.6,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,39.0,73.0,117.0,0.16,0.05,0.21,0.16,0.21,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Emil Forsberg,se SWE,"FW,MF",28.0,29.0,20.0,1539.0,17.1,7.0,4.0,11.0,5.0,2.0,3.0,0.0,0.0,36.0,71.0,112.0,0.41,0.23,0.64,0.29,0.53,0.0,0.0
2020-2021,Bundesliga,RB Leipzig,Christopher Nkunku,fr FRA,"FW,MF",22.0,28.0,19.0,1892.0,21.0,6.0,6.0,12.0,6.0,0.0,0.0,2.0,0.0,65.0,76.0,207.0,0.29,0.29,0.57,0.29,0.57,0.0,0.0
