Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2022-2023,SeriaA,Napoli,Giovanni Di Lorenzo,it ITA,DF,28.0,36.2,60.0,29.0,33.0,19.0,8.0,25.0,49.0,51.0,24.0,30.0,9.0,21.0,30.0,90.0,60.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Andre-Frank Zambo Anguissa,cm CMR,MF,26.0,33.9,53.0,32.0,16.0,29.0,8.0,16.0,64.0,25.0,48.0,50.0,4.0,46.0,49.0,102.0,25.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Kim Min-jae,kr KOR,DF,25.0,33.9,55.0,30.0,32.0,22.0,1.0,25.0,29.0,86.2,4.0,36.0,26.0,10.0,41.0,96.0,123.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Stanislav Lobotka,sk SVK,MF,27.0,34.5,83.0,44.0,35.0,35.0,13.0,43.0,73.0,58.9,30.0,29.0,7.0,22.0,23.0,106.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Alex Meret,it ITA,GK,25.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Victor Osimhen,ng NGA,FW,23.0,28.5,10.0,6.0,1.0,2.0,7.0,0.0,7.0,0.0,7.0,6.0,1.0,5.0,6.0,16.0,29.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Khvicha Kvaratskhelia,ge GEO,FW,21.0,28.0,43.0,23.0,12.0,8.0,23.0,17.0,43.0,39.5,26.0,20.0,0.0,20.0,5.0,48.0,6.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Amir Rrahmani,xk KVX,DF,28.0,27.2,33.0,18.0,20.0,13.0,0.0,17.0,26.0,65.4,9.0,36.0,20.0,16.0,14.0,47.0,79.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Piotr Zieliński,pl POL,MF,28.0,25.4,17.0,10.0,1.0,11.0,5.0,12.0,25.0,48.0,13.0,16.0,5.0,11.0,14.0,31.0,7.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Mário Rui,pt POR,DF,31.0,19.4,34.0,22.0,17.0,13.0,4.0,20.0,41.0,48.8,21.0,17.0,4.0,13.0,15.0,49.0,24.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Hirving Lozano,mx MEX,FW,27.0,17.8,24.0,13.0,10.0,6.0,8.0,9.0,21.0,42.9,12.0,31.0,0.0,31.0,15.0,39.0,6.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Mathías Olivera,uy URU,DF,24.0,18.3,39.0,23.0,16.0,16.0,7.0,22.0,43.0,51.2,21.0,28.0,2.0,26.0,22.0,61.0,26.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Elif Elmas,mk MKD,"FW,MF",22.0,18.1,24.0,13.0,8.0,12.0,4.0,11.0,23.0,47.8,12.0,18.0,2.0,16.0,11.0,35.0,5.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Matteo Politano,it ITA,FW,28.0,13.0,18.0,9.0,9.0,5.0,4.0,11.0,25.0,44.0,14.0,6.0,0.0,6.0,7.0,25.0,7.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Juan Jesus,br BRA,DF,31.0,10.4,16.0,11.0,9.0,6.0,1.0,9.0,12.0,75.0,3.0,18.0,11.0,7.0,10.0,26.0,29.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Giacomo Raspadori,it ITA,"FW,MF",22.0,10.1,10.0,8.0,0.0,6.0,4.0,4.0,10.0,40.0,6.0,9.0,0.0,9.0,4.0,14.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Tanguy Ndombele,fr FRA,MF,25.0,9.0,14.0,8.0,4.0,8.0,2.0,4.0,7.0,57.1,3.0,10.0,1.0,9.0,7.0,21.0,7.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
