Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2022-2023,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,30.0,38.0,3347.0,88.0,97.9,37.2,38.0,88.0,36.0,0.0,,0.0,2.32,68.0,18.0,50.0,1.34,1.34,74.3,31.7,42.5,1.14,1.43,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Robert Lewandowski,pl POL,FW,33.0,34.0,2847.0,84.0,83.2,31.6,33.0,85.0,27.0,1.0,34.0,0.0,2.24,62.0,20.0,42.0,1.33,0.07,66.5,26.1,40.3,1.28,0.96,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Gavi,es ESP,"MF,FW",17.0,36.0,2531.0,70.0,74.0,28.1,30.0,78.0,13.0,6.0,33.0,0.0,2.36,52.0,11.0,41.0,1.46,0.55,53.9,21.9,32.0,1.14,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Alejandro Balde,es ESP,DF,18.0,33.0,2471.0,75.0,72.3,27.5,30.0,81.0,21.0,3.0,9.0,4.0,2.45,48.0,15.0,33.0,1.2,-0.41,53.8,25.9,27.9,1.02,-0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Frenkie de Jong,nl NED,MF,25.0,33.0,2534.0,77.0,74.1,28.2,29.0,83.0,20.0,4.0,29.0,1.0,2.33,56.0,20.0,36.0,1.28,-0.14,58.4,24.3,34.2,1.21,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Jules Koundé,fr FRA,DF,23.0,29.0,2426.0,84.0,70.9,27.0,28.0,86.0,24.0,1.0,9.0,2.0,2.38,51.0,12.0,39.0,1.45,0.45,53.0,21.6,31.4,1.16,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,34.0,30.0,2339.0,78.0,68.4,26.0,28.0,81.0,17.0,2.0,30.0,4.0,2.43,41.0,11.0,30.0,1.15,-0.51,49.4,22.6,26.8,1.03,-0.25,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Raphinha,br BRA,FW,25.0,36.0,2072.0,58.0,60.6,23.0,25.0,72.0,2.0,11.0,24.0,1.0,2.28,34.0,9.0,25.0,1.09,-0.58,44.9,18.1,26.8,1.16,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Pedri,es ESP,MF,19.0,26.0,1976.0,76.0,57.8,22.0,22.0,83.0,12.0,4.0,38.0,0.0,2.62,47.0,9.0,38.0,1.73,0.98,48.6,17.6,31.0,1.41,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Andreas Christensen,dk DEN,DF,26.0,23.0,1760.0,77.0,51.5,19.6,22.0,80.0,15.0,1.0,6.0,4.0,2.3,33.0,13.0,20.0,1.02,-0.6,34.9,19.5,15.4,0.79,-0.67,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ronald Araújo,uy URU,DF,23.0,22.0,1800.0,82.0,52.6,20.0,21.0,85.0,16.0,1.0,24.0,2.0,2.45,42.0,5.0,37.0,1.85,1.13,44.4,14.0,30.4,1.52,0.86,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ousmane Dembélé,fr FRA,FW,25.0,25.0,1410.0,56.0,41.2,15.7,16.0,73.0,3.0,9.0,28.0,0.0,2.36,32.0,11.0,21.0,1.34,0.04,32.1,15.5,16.6,1.06,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Eric García,es ESP,"DF,MF",21.0,24.0,1417.0,59.0,41.4,15.7,15.0,79.0,10.0,9.0,25.0,14.0,2.0,30.0,10.0,20.0,1.27,-0.08,30.6,14.0,16.7,1.06,-0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Sergi Roberto,es ESP,"DF,MF",30.0,23.0,1308.0,57.0,38.2,14.5,15.0,73.0,5.0,8.0,27.0,6.0,2.13,24.0,10.0,14.0,0.96,-0.57,25.0,11.8,13.2,0.91,-0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Jordi Alba,es ESP,DF,33.0,24.0,1419.0,59.0,41.5,15.8,14.0,83.0,6.0,10.0,26.0,12.0,2.17,27.0,8.0,19.0,1.21,-0.19,30.7,13.3,17.5,1.11,-0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ferrán Torres,es ESP,"FW,MF",22.0,33.0,1392.0,42.0,40.7,15.5,14.0,72.0,5.0,19.0,20.0,3.0,2.27,25.0,11.0,14.0,0.91,-0.69,28.4,15.5,12.8,0.83,-0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ansu Fati,es ESP,FW,19.0,36.0,1393.0,39.0,40.7,15.5,12.0,71.0,1.0,24.0,22.0,1.0,2.36,36.0,5.0,31.0,2.0,1.16,31.8,13.1,18.7,1.21,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Marcos Alonso,es ESP,DF,31.0,24.0,1172.0,49.0,34.3,13.0,11.0,80.0,8.0,13.0,22.0,10.0,2.29,22.0,11.0,11.0,0.84,-0.72,23.2,14.0,9.2,0.71,-0.62,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Franck Kessié,ci CIV,MF,25.0,28.0,990.0,35.0,28.9,11.0,7.0,66.0,1.0,21.0,25.0,7.0,2.14,16.0,7.0,9.0,0.82,-0.7,18.3,12.1,6.2,0.57,-0.77,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,35.0,6.0,384.0,64.0,11.2,4.3,4.0,89.0,3.0,2.0,15.0,7.0,3.0,9.0,1.0,8.0,1.87,0.63,11.4,3.7,7.8,1.83,0.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Memphis,nl NED,FW,28.0,2.0,114.0,57.0,3.3,1.3,2.0,57.0,0.0,0.0,,6.0,3.0,4.0,0.0,4.0,3.16,1.91,3.8,0.4,3.4,2.72,1.67,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Pablo Torre,es ESP,"FW,MF",19.0,8.0,144.0,18.0,4.2,1.6,1.0,62.0,0.0,7.0,12.0,23.0,0.88,3.0,2.0,1.0,0.62,-0.72,3.3,2.7,0.6,0.38,-0.77,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Héctor Bellerín,es ESP,DF,27.0,3.0,143.0,48.0,4.2,1.6,1.0,90.0,1.0,2.0,27.0,8.0,3.0,4.0,0.0,4.0,2.52,1.25,5.4,0.6,4.7,2.98,1.95,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Iñaki Peña,es ESP,GK,23.0,2.0,73.0,37.0,2.1,0.8,0.0,,0.0,2.0,37.0,36.0,0.0,2.0,2.0,0.0,0.0,-1.34,1.2,1.4,-0.2,-0.29,-1.43,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ángel Alarcón,es ESP,FW,18.0,4.0,25.0,6.0,0.7,0.3,0.0,,0.0,4.0,6.0,10.0,2.25,0.0,0.0,0.0,0.0,-1.33,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,1.0,9.0,9.0,0.3,0.1,0.0,,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.32,0.4,0.1,0.3,2.87,1.76,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Lamine Yamal,es ESP,FW,15.0,1.0,8.0,8.0,0.2,0.1,0.0,,0.0,1.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.32,0.5,0.0,0.5,5.65,4.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Aleix Garrido,es ESP,FW,18.0,1.0,7.0,7.0,0.2,0.1,0.0,,0.0,1.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,-1.32,0.1,0.5,-0.4,-5.0,-6.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Chadi Riad,ma MAR,MF,19.0,1.0,2.0,2.0,0.1,0.0,0.0,,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.32,0.0,0.1,0.0,-1.53,-2.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Arnau Tenas,es ESP,GK,21.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,35.0,1.0,1.0,1.0,0.0,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ander Astralaga,es ESP,GK,18.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Marc Casado,es ESP,MF,18.0,0.0,,,,,0.0,,0.0,0.0,,8.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Estanis,es ESP,FW,18.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Marc Guiu,es ESP,FW,16.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Unai Hernandez,es ESP,MF,17.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Miralem Pjanić,ba BIH,MF,32.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Pau Prim,es ESP,MF,16.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Daniel Rodriguez,es ESP,MF,16.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Squad Total,,,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,81.0,246.0,168.0,23.0,227.0,2.32,70.0,20.0,50.0,1.32,,75.5,33.2,42.3,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Opponent Total,,,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,81.0,235.0,179.0,23.0,244.0,0.58,20.0,70.0,-50.0,-1.32,,33.2,75.5,-42.3,-1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,22.0,33.0,2823.0,86.0,82.5,31.4,32.0,87.0,21.0,1.0,30.0,0.0,2.0,58.0,32.0,26.0,0.83,-1.13,58.9,32.2,26.8,0.85,-0.63,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,30.0,31.0,2790.0,90.0,81.6,31.0,31.0,90.0,31.0,0.0,,1.0,2.1,61.0,29.0,32.0,1.03,0.03,61.5,32.3,29.2,0.94,-0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Éder Militão,br BRA,DF,24.0,33.0,2703.0,82.0,79.0,30.0,30.0,88.0,28.0,3.0,22.0,2.0,2.0,60.0,29.0,31.0,1.03,0.03,60.7,33.0,27.6,0.92,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
