Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2022-2023,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,30.0,37.2,18.0,3.0,0.0,2.0,3.0,23.7,0.21,8.7,0.23,168.0,335.0,50.1,1215.0,185.0,22.1,28.9,197.0,34.0,35.2,368.0,18.0,4.9,41.0,1.1,16.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Iñaki Peña,es ESP,GK,23.0,0.8,2.0,0.0,0.0,0.0,0.0,1.4,0.36,-0.6,-0.7,1.0,3.0,33.3,23.0,5.0,13.0,25.2,4.0,0.0,22.8,7.0,0.0,0.0,2.0,2.47,16.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Squad Total,,,25.9,38.0,20.0,3.0,0.0,2.0,3.0,25.1,0.22,8.1,0.21,169.0,338.0,50.0,1238.0,190.0,21.9,,201.0,33.3,34.9,375.0,18.0,4.8,43.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Opponent Total,,,27.4,38.0,70.0,0.0,0.0,4.0,1.0,63.6,0.34,-5.4,-0.14,287.0,724.0,39.6,964.0,149.0,50.2,39.9,346.0,69.4,51.3,561.0,26.0,4.6,50.0,1.32,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,30.0,31.0,29.0,4.0,0.0,1.0,0.0,29.7,0.22,0.7,0.02,83.0,214.0,38.8,982.0,194.0,18.4,27.7,152.0,21.7,29.5,366.0,32.0,8.7,40.0,1.29,15.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Andriy Lunin,ua UKR,GK,23.0,7.0,7.0,0.0,0.0,1.0,1.0,4.5,0.25,-1.5,-0.21,14.0,27.0,51.9,190.0,36.0,7.9,23.3,37.0,32.4,35.6,54.0,1.0,1.9,11.0,1.57,21.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Squad Total,,,27.4,38.0,36.0,4.0,0.0,2.0,1.0,34.2,0.22,-0.8,-0.02,97.0,241.0,40.2,1172.0,230.0,16.7,,189.0,23.8,30.7,420.0,33.0,7.9,51.0,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Real Madrid,Opponent Total,,,27.3,38.0,75.0,9.0,3.0,9.0,2.0,67.6,0.27,-5.4,-0.14,237.0,594.0,39.9,879.0,152.0,42.1,37.6,336.0,66.7,50.0,448.0,27.0,6.0,21.0,0.55,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,29.0,27.7,20.0,1.0,1.0,1.0,0.0,21.9,0.27,1.9,0.07,120.0,374.0,32.1,586.0,115.0,40.4,36.1,228.0,60.1,46.0,358.0,25.0,7.0,19.0,0.69,14.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Atlético Madrid,Ivo Grbić,hr CRO,GK,26.0,10.2,12.0,3.0,0.0,4.0,0.0,13.8,0.23,1.8,0.17,46.0,148.0,31.1,230.0,50.0,37.4,34.1,99.0,62.6,47.4,214.0,23.0,10.7,7.0,0.68,9.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
