Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,27.0,30.8,30.0,143.0,59.0,41.3,4.64,1.91,0.17,0.42,,5.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,24.0,27.8,4.0,32.0,12.0,37.5,1.15,0.43,0.13,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,30.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,MF,25.0,25.4,6.0,38.0,15.0,39.5,1.49,0.59,0.16,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",26.0,25.1,5.0,65.0,25.0,38.5,2.59,0.99,0.08,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Javi Martínez,es ESP,DF,27.0,23.7,1.0,11.0,3.0,27.3,0.46,0.13,0.09,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Mats Hummels,de GER,DF,27.0,24.2,1.0,30.0,11.0,36.7,1.24,0.45,0.03,0.09,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Philipp Lahm,de GER,DF,32.0,23.2,1.0,7.0,3.0,42.9,0.3,0.13,0.14,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Xabi Alonso,es ESP,MF,34.0,21.1,3.0,25.0,5.0,20.0,1.18,0.24,0.12,0.6,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"MF,FW",32.0,20.3,13.0,83.0,27.0,32.5,4.09,1.33,0.16,0.48,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Arturo Vidal,cl CHI,MF,29.0,20.2,4.0,39.0,10.0,25.6,1.93,0.49,0.1,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,"MF,DF",21.0,17.2,6.0,31.0,12.0,38.7,1.8,0.7,0.19,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Douglas Costa,br BRA,"MF,FW",25.0,15.8,4.0,42.0,16.0,38.1,2.66,1.01,0.1,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"MF,FW",33.0,13.8,5.0,21.0,11.0,52.4,1.53,0.8,0.24,0.45,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Juan Bernat,es ESP,DF,23.0,13.8,2.0,11.0,6.0,54.5,0.8,0.44,0.18,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Rafinha,br BRA,DF,30.0,11.4,1.0,6.0,3.0,50.0,0.52,0.26,0.17,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"MF,FW",20.0,10.2,2.0,22.0,9.0,40.9,2.16,0.88,0.09,0.22,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,27.0,9.2,0.0,4.0,0.0,0.0,0.44,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Renato Sanches,pt POR,MF,18.0,6.9,0.0,12.0,3.0,25.0,1.74,0.43,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,27.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
