Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2016-2017,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,30.0,26.0,26.0,2340.0,26.0,13.0,0.5,67.0,54.0,80.6,19.0,6.0,1.0,14.0,53.8,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,27.0,5.0,5.0,450.0,5.0,4.0,0.8,16.0,12.0,81.3,3.0,1.0,1.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,35.0,3.0,3.0,270.0,3.0,5.0,1.67,17.0,12.0,76.5,3.0,0.0,0.0,1.0,33.3,2.0,1.0,1.0,0.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Squad Total,,,28.0,34.0,34.0,3060.0,34.0,22.0,0.65,100.0,78.0,80.0,25.0,7.0,2.0,17.0,50.0,3.0,2.0,1.0,0.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Bayern Munich,Opponent Total,,,25.9,34.0,34.0,3060.0,34.0,89.0,2.62,217.0,133.0,61.3,2.0,7.0,25.0,3.0,8.8,5.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,26.0,33.0,33.0,2970.0,33.0,39.0,1.18,102.0,63.0,64.7,19.0,7.0,7.0,9.0,27.3,5.0,3.0,2.0,0.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,RB Leipzig,Fabio Coltorti,ch SUI,GK,35.0,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,RB Leipzig,Squad Total,,,24.0,34.0,34.0,3060.0,34.0,39.0,1.15,104.0,65.0,65.4,20.0,7.0,7.0,10.0,29.4,5.0,3.0,2.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,RB Leipzig,Opponent Total,,,26.0,34.0,34.0,3056.0,34.0,66.0,1.94,170.0,107.0,62.9,7.0,7.0,20.0,7.0,20.6,4.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,25.0,27.0,27.0,2430.0,27.0,29.0,1.07,97.0,68.0,72.2,16.0,6.0,5.0,9.0,33.3,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
