Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2007-2008,Ligue1,Lyon,Grégory Coupet,fr FRA,GK,34.0,19.0,19.0,1710.0,19.0,21.0,1.11,71.0,50.0,70.4,12.0,4.0,3.0,6.0,31.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Lyon,Rémy Vercoutre,fr FRA,GK,27.0,19.0,19.0,1710.0,19.0,16.0,0.84,66.0,50.0,75.8,12.0,3.0,4.0,7.0,36.8,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Lyon,Squad Total,,,26.4,38.0,38.0,3420.0,,37.0,0.97,137.0,100.0,73.0,24.0,7.0,7.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Lyon,Opponent Total,,,26.0,38.0,38.0,,,,,,,,7.0,7.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Bordeaux,Ulrich Ramé,fr FRA,GK,34.0,36.0,36.0,3122.0,34.7,38.0,1.1,125.0,87.0,69.6,20.0,8.0,6.0,15.0,41.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Bordeaux,Mathieu Valverde,fr FRA,GK,24.0,5.0,2.0,298.0,3.3,0.0,0.0,8.0,8.0,100.0,2.0,1.0,1.0,2.0,100.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Bordeaux,Squad Total,,,27.1,38.0,38.0,3420.0,,38.0,1.0,133.0,95.0,71.4,22.0,9.0,7.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Bordeaux,Opponent Total,,,26.1,38.0,38.0,,,,,,,,7.0,9.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,22.0,34.0,34.0,3060.0,34.0,41.0,1.21,156.0,115.0,73.7,17.0,8.0,9.0,8.0,23.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Marseille,Cédric Carrasso,fr FRA,GK,25.0,4.0,4.0,360.0,4.0,4.0,1.0,17.0,13.0,76.5,0.0,3.0,1.0,1.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Marseille,Squad Total,,,24.9,38.0,38.0,3420.0,,45.0,1.18,173.0,128.0,74.0,17.0,11.0,10.0,9.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Marseille,Opponent Total,,,26.1,38.0,38.0,,,,,,,,10.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Nancy,Gennaro Bracigliano,fr FRA,GK,27.0,38.0,38.0,3420.0,38.0,30.0,0.79,125.0,95.0,76.0,15.0,15.0,8.0,17.0,44.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Nancy,Squad Total,,,26.0,38.0,38.0,3420.0,,30.0,0.79,125.0,95.0,76.0,15.0,15.0,8.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Nancy,Opponent Total,,,26.0,38.0,38.0,,,,,,,,8.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Ligue1,Saint-Étienne,Jérémie Janot,fr FRA,GK,29.0,22.0,21.0,1896.0,21.1,22.0,1.04,89.0,67.0,75.3,8.0,4.0,9.0,9.0,42.9,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
