Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2019-2020,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",31.0,26.0,23.0,2000.0,22.2,8.0,14.0,22.0,7.0,1.0,2.0,2.0,0.0,111.0,178.0,275.0,0.36,0.63,0.99,0.32,0.95,,,8.3,6.7,14.5,21.2,0.37,0.65,1.02,0.3,0.95,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,32.0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,34.0,21.0,20.0,1571.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4,0.4,0.0,0.4,0.02,0.0,0.02,0.02,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,29.0,20.0,19.0,1653.0,18.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,37.0,175.0,27.0,0.05,0.11,0.16,0.05,0.16,,,1.3,1.3,2.7,4.0,0.07,0.15,0.22,0.07,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,20.0,20.0,17.0,1513.0,16.8,18.0,5.0,23.0,18.0,0.0,0.0,0.0,0.0,115.0,59.0,260.0,1.07,0.3,1.37,1.07,1.37,,,15.6,15.6,9.5,25.1,0.93,0.57,1.49,0.93,1.49,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",26.0,18.0,16.0,1388.0,15.4,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,63.0,129.0,0.0,0.26,0.26,0.0,0.26,,,0.4,0.4,3.1,3.5,0.03,0.2,0.23,0.03,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,26.0,20.0,15.0,1482.0,16.5,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,33.0,186.0,43.0,0.0,0.3,0.3,0.0,0.3,,,0.3,0.3,3.1,3.3,0.02,0.19,0.2,0.02,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marquinhos,br BRA,"MF,DF",25.0,19.0,15.0,1476.0,16.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,8.0,97.0,9.0,0.18,0.06,0.24,0.18,0.24,,,1.9,1.9,0.8,2.6,0.11,0.05,0.16,0.11,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",27.0,15.0,15.0,1318.0,14.6,13.0,6.0,19.0,9.0,4.0,5.0,4.0,1.0,110.0,160.0,159.0,0.89,0.41,1.3,0.61,1.02,,,14.7,10.7,5.8,16.5,1.0,0.39,1.4,0.73,1.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,26.0,20.0,14.0,1267.0,14.1,12.0,2.0,14.0,12.0,0.0,0.0,0.0,0.0,9.0,18.0,64.0,0.85,0.14,0.99,0.85,0.99,,,11.7,11.7,1.8,13.5,0.83,0.13,0.96,0.83,0.96,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,27.0,16.0,14.0,1242.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,49.0,62.0,149.0,0.0,0.07,0.07,0.0,0.07,,,0.4,0.4,2.5,2.9,0.03,0.18,0.21,0.03,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,23.0,16.0,14.0,1225.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.7,0.7,0.0,0.7,0.05,0.0,0.05,0.05,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Abdou Diallo,sn SEN,DF,23.0,16.0,14.0,1201.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,21.0,88.0,10.0,0.0,0.07,0.07,0.0,0.07,,,1.2,1.2,0.5,1.7,0.09,0.04,0.13,0.09,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Pablo Sarabia,es ESP,"FW,MF",27.0,21.0,13.0,1164.0,12.9,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,41.0,73.0,185.0,0.31,0.23,0.54,0.31,0.54,,,3.2,3.2,3.9,7.1,0.25,0.3,0.55,0.25,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Layvin Kurzawa,fr FRA,DF,26.0,14.0,9.0,858.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,15.0,42.0,80.0,0.1,0.0,0.1,0.1,0.1,,,0.8,0.8,0.4,1.2,0.08,0.04,0.13,0.08,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,25.0,17.0,8.0,814.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,,,0.6,0.6,0.3,0.9,0.06,0.04,0.1,0.06,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Julian Draxler,de GER,MF,25.0,11.0,7.0,686.0,7.6,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,35.0,61.0,51.0,0.0,0.52,0.52,0.0,0.52,,,1.1,1.1,1.8,2.8,0.14,0.23,0.37,0.14,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Colin Dagba,fr FRA,DF,20.0,10.0,7.0,668.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,22.0,55.0,0.0,0.0,0.0,0.0,0.0,,,0.1,0.1,0.7,0.8,0.01,0.1,0.11,0.01,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,32.0,14.0,7.0,605.0,6.7,4.0,1.0,5.0,3.0,1.0,1.0,2.0,0.0,3.0,13.0,52.0,0.6,0.15,0.74,0.45,0.6,,,8.7,7.9,1.1,9.0,1.29,0.16,1.46,1.18,1.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Ander Herrera,es ESP,"MF,DF",29.0,8.0,6.0,547.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,44.0,38.0,0.16,0.16,0.33,0.16,0.33,,,0.3,0.3,0.9,1.3,0.05,0.15,0.21,0.05,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,22.0,7.0,5.0,480.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,26.0,5.0,0.19,0.0,0.19,0.19,0.19,,,0.5,0.5,0.4,0.9,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",30.0,9.0,5.0,451.0,5.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,14.0,45.0,0.6,0.2,0.8,0.6,0.8,,,2.6,2.6,0.6,3.2,0.51,0.12,0.63,0.51,0.63,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Tanguy Nianzou,fr FRA,"DF,MF",17.0,6.0,4.0,452.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,2.0,0.4,0.0,0.4,0.4,0.4,,,0.9,0.9,0.4,1.3,0.17,0.09,0.26,0.17,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,26.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Sergio Rico,es ESP,GK,25.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mitchel Bakker,nl NED,DF,19.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marcin Bułka,pl POL,GK,19.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Adil Aouchiche,fr FRA,MF,17.0,1.0,1.0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
