Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2019-2020,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",31.0,22.2,143.0,6.44,101.0,23.0,12.0,4.0,3.0,0.0,24.0,1.08,17.0,4.0,2.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,32.0,21.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,34.0,17.5,18.0,1.03,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,29.0,18.4,54.0,2.94,50.0,0.0,1.0,0.0,0.0,3.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,20.0,16.8,94.0,5.59,59.0,2.0,19.0,7.0,7.0,0.0,12.0,0.71,9.0,0.0,2.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",26.0,15.4,27.0,1.75,24.0,0.0,0.0,1.0,2.0,0.0,5.0,0.32,4.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,26.0,16.5,62.0,3.77,53.0,2.0,0.0,1.0,1.0,5.0,14.0,0.85,13.0,1.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Marquinhos,br BRA,"MF,DF",25.0,16.4,24.0,1.46,21.0,1.0,0.0,2.0,0.0,0.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",27.0,14.6,100.0,6.83,66.0,7.0,13.0,3.0,11.0,0.0,18.0,1.23,14.0,0.0,3.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,26.0,14.1,35.0,2.48,28.0,0.0,3.0,1.0,3.0,0.0,9.0,0.64,4.0,0.0,2.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
