Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2021-2022,SeriaA,Milan,Mike Maignan,fr FRA,GK,26.0,,2880.0,90.0,84.2,32.0,32.0,90.0,32.0,0.0,,0.0,2.28,55.0,21.0,34.0,1.06,0.4,51.4,27.7,23.8,0.74,0.74,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Rafael Leão,pt POR,FW,22.0,,2605.0,77.0,76.2,28.9,31.0,80.0,13.0,3.0,42.0,1.0,2.32,54.0,20.0,34.0,1.17,0.73,46.3,24.1,22.3,0.77,0.6,Matches,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Sandro Tonali,it ITA,MF,21.0,,2600.0,72.0,76.0,28.9,31.0,80.0,18.0,5.0,22.0,1.0,2.31,54.0,18.0,36.0,1.25,1.03,46.1,23.6,22.5,0.78,0.64,Matches,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Fikayo Tomori,eng ENG,DF,23.0,,2718.0,88.0,79.5,30.2,30.0,90.0,28.0,1.0,32.0,1.0,2.45,56.0,20.0,36.0,1.19,0.94,45.7,28.8,16.9,0.56,-0.32,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Theo Hernández,fr FRA,DF,23.0,,2711.0,85.0,79.3,30.1,30.0,88.0,26.0,2.0,39.0,0.0,2.28,58.0,22.0,36.0,1.2,0.94,51.0,26.5,24.5,0.81,0.91,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Franck Kessié,ci CIV,MF,24.0,,2308.0,74.0,67.5,25.6,25.0,84.0,18.0,6.0,34.0,0.0,2.26,43.0,21.0,22.0,0.86,-0.44,38.5,25.3,13.2,0.52,-0.33,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Brahim Díaz,es ESP,MF,21.0,,1855.0,60.0,54.2,20.6,25.0,70.0,2.0,6.0,16.0,4.0,2.1,34.0,15.0,19.0,0.92,-0.17,33.9,18.6,15.3,0.74,0.26,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Davide Calabria,it ITA,DF,24.0,,2119.0,82.0,62.0,23.5,24.0,87.0,17.0,2.0,20.0,1.0,2.42,40.0,17.0,23.0,0.98,-0.06,37.1,22.0,15.0,0.64,0.03,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Olivier Giroud,fr FRA,FW,34.0,,1892.0,65.0,55.3,21.0,22.0,76.0,6.0,7.0,33.0,1.0,2.34,36.0,15.0,21.0,1.0,0.0,30.8,16.6,14.2,0.67,0.11,Matches,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Alexis Saelemaekers,be BEL,FW,22.0,,1865.0,52.0,54.5,20.7,22.0,69.0,6.0,14.0,24.0,2.0,2.28,37.0,21.0,16.0,0.77,-0.5,34.7,20.0,14.7,0.71,0.18,Matches,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
