Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,SeriaA,Cagliari,Luca Gagliano,it ITA,"FW,DF",21.0,0.1,3.0,6.0,50.0,51.0,5.0,1.0,1.0,100.0,2.0,4.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Cagliari,Giovanni Simeone,ar ARG,FW,26.0,0.1,2.0,4.0,50.0,26.0,10.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Cagliari,Damir Ceter,co COL,FW,23.0,0.1,1.0,2.0,50.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Cagliari,Squad Total,,,26.5,38.0,11503.0,15761.0,73.0,221202.0,88862.0,4745.0,5714.0,83.0,4799.0,5957.0,80.6,1656.0,3147.0,52.6,26.0,29.6,27.6,-3.6,317.0,853.0,226.0,93.0,1088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Cagliari,Opponent Total,,,26.7,38.0,15763.0,19924.0,79.1,276729.0,102189.0,7231.0,8273.0,87.4,6483.0,7634.0,84.9,1621.0,2904.0,55.8,41.0,43.6,39.8,-2.6,396.0,1173.0,382.0,88.0,1597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Salvatore Sirigu,it ITA,GK,34.0,37.0,777.0,1182.0,65.7,24637.0,19024.0,141.0,142.0,99.3,264.0,270.0,97.8,370.0,764.0,48.4,0.0,0.0,0.1,0.0,0.0,17.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Milan Badelj,hr CRO,MF,32.0,31.6,1230.0,1575.0,78.1,21537.0,7729.0,548.0,650.0,84.3,523.0,621.0,84.2,124.0,210.0,59.0,0.0,2.1,2.0,-2.1,26.0,144.0,17.0,3.0,176.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Johan Vásquez,mx MEX,DF,22.0,25.3,829.0,1178.0,70.4,14740.0,6041.0,341.0,410.0,83.2,390.0,519.0,75.1,76.0,173.0,43.9,0.0,0.1,0.4,-0.1,4.0,55.0,4.0,1.0,62.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Stefano Sturaro,it ITA,MF,28.0,19.6,376.0,607.0,61.9,5722.0,2240.0,207.0,272.0,76.1,121.0,188.0,64.4,32.0,70.0,45.7,0.0,0.8,1.0,-0.8,8.0,31.0,17.0,5.0,62.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Andrea Cambiaso,it ITA,DF,21.0,19.9,690.0,890.0,77.5,10185.0,3061.0,391.0,443.0,88.3,249.0,312.0,79.8,29.0,62.0,46.8,4.0,1.4,1.7,2.6,16.0,36.0,15.0,5.0,53.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
