Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2021-2022,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,35.0,27.9,26.0,1.0,0.0,1.0,0.0,23.9,0.26,-2.1,-0.07,110.0,223.0,49.3,1085.0,163.0,19.0,27.6,166.0,10.2,25.3,262.0,9.0,3.4,95.0,3.41,26.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,32.0,6.0,11.0,1.0,1.0,1.0,1.0,8.7,0.34,-1.3,-0.22,10.0,32.0,31.3,197.0,31.0,14.2,25.2,38.0,10.5,20.2,54.0,3.0,5.6,10.0,1.67,19.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Christian Früchtl,de GER,GK,21.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,4.0,0.0,25.0,18.0,0.0,,,0.0,0.0,,0.0,0.0,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Squad Total,,,26.8,34.0,37.0,2.0,1.0,2.0,1.0,32.6,0.27,-3.4,-0.1,121.0,256.0,47.3,1286.0,194.0,18.3,27.2,204.0,10.3,24.3,316.0,12.0,3.8,105.0,3.09,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Opponent Total,,,26.1,34.0,97.0,5.0,1.0,11.0,5.0,88.0,0.33,-4.0,-0.12,227.0,567.0,40.0,1016.0,182.0,39.5,35.7,334.0,49.7,42.1,522.0,16.0,3.1,45.0,1.32,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Gregor Kobel,ch SUI,GK,23.0,28.5,39.0,3.0,2.0,5.0,2.0,37.3,0.32,0.3,0.01,77.0,240.0,32.1,836.0,142.0,20.5,27.5,185.0,37.3,35.4,343.0,17.0,5.0,49.0,1.72,16.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Marwin Hitz,ch SUI,GK,33.0,4.5,12.0,2.0,0.0,1.0,0.0,8.6,0.27,-3.4,-0.76,16.0,32.0,50.0,147.0,31.0,18.4,27.7,30.0,16.7,28.2,54.0,3.0,5.6,9.0,2.0,20.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.01,0.0,7.0,0.0,20.0,3.0,30.0,28.1,3.0,33.3,34.3,5.0,0.0,0.0,5.0,5.0,27.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Squad Total,,,25.9,34.0,52.0,6.0,2.0,6.0,2.0,46.9,0.31,-3.1,-0.09,93.0,279.0,33.3,1003.0,176.0,20.3,27.5,218.0,34.4,34.4,402.0,20.0,5.0,63.0,1.85,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Opponent Total,,,26.0,34.0,85.0,11.0,1.0,7.0,4.0,65.7,0.33,-15.3,-0.45,194.0,556.0,34.9,1122.0,172.0,38.5,35.2,236.0,52.5,43.0,400.0,14.0,3.5,51.0,1.5,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
