season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2007-2008,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,26.0,0.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,36.0
2007-2008,LaLiga,Real Madrid,Raúl,es ESP,FW,30.0,0.0,36.0,3111.0,34.6,18.0,3.0,21.0,15.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.52,0.09,0.61,0.43,0.52,Matches,37.0
2007-2008,LaLiga,Real Madrid,Sergio Ramos,es ESP,DF,21.0,0.0,33.0,2815.0,31.3,5.0,3.0,8.0,5.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches,33.0
2007-2008,LaLiga,Real Madrid,Fabio Cannavaro,it ITA,DF,33.0,0.0,33.0,2788.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,33.0
2007-2008,LaLiga,Real Madrid,Guti,es ESP,"FW,MF",30.0,0.0,27.0,2498.0,27.8,3.0,14.0,17.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.11,0.5,0.61,0.11,0.61,Matches,32.0
2007-2008,LaLiga,Real Madrid,Wesley Sneijder,nl NED,MF,23.0,0.0,27.0,2265.0,25.2,9.0,6.0,15.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.36,0.24,0.6,0.36,0.6,Matches,30.0
2007-2008,LaLiga,Real Madrid,Robinho,br BRA,"FW,MF",23.0,0.0,27.0,2123.0,23.6,11.0,8.0,19.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.47,0.34,0.81,0.47,0.81,Matches,32.0
2007-2008,LaLiga,Real Madrid,Mahamadou Diarra,ml MLI,MF,26.0,0.0,25.0,2259.0,25.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,30.0
2007-2008,LaLiga,Real Madrid,Marcelo,br BRA,"DF,MF",19.0,0.0,24.0,2091.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,24.0
2007-2008,LaLiga,Real Madrid,Ruud van Nistelrooy,nl NED,FW,31.0,0.0,22.0,1872.0,20.8,16.0,5.0,21.0,13.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.77,0.24,1.01,0.62,0.87,Matches,24.0
2007-2008,LaLiga,Real Madrid,Fernando Gago,ar ARG,MF,21.0,0.0,21.0,1975.0,21.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,31.0
2007-2008,LaLiga,Real Madrid,Pepe,pt POR,"DF,MF",24.0,0.0,17.0,1533.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,19.0
2007-2008,LaLiga,Real Madrid,Gabriel Heinze,ar ARG,DF,29.0,0.0,17.0,1473.0,16.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,20.0
