Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2022-2023,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,27.0,31.2,3073.0,115.0,618.0,1669.0,809.0,20.0,3072.0,25.0,13.0,52.0,8.0,32.0,1762.0,8923.0,3443.0,42.0,31.0,4.0,26.0,26.0,2065.0,56.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,26.0,27.0,2699.0,166.0,1017.0,1351.0,337.0,47.0,2699.0,6.0,0.0,0.0,1.0,16.7,1660.0,7436.0,4097.0,37.0,21.0,2.0,11.0,2.0,1947.0,65.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Matthijs de Ligt,nl NED,DF,22.0,26.7,2322.0,205.0,1018.0,1183.0,132.0,39.0,2322.0,4.0,0.0,0.0,4.0,100.0,1592.0,7491.0,3942.0,17.0,12.0,0.0,11.0,3.0,1704.0,14.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,23.0,26.1,2569.0,234.0,1177.0,1314.0,92.0,18.0,2569.0,15.0,10.0,66.7,5.0,33.3,1844.0,9367.0,5193.0,31.0,28.0,2.0,19.0,10.0,1895.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"MF,FW",19.0,24.4,1401.0,19.0,142.0,667.0,616.0,144.0,1401.0,152.0,77.0,50.7,63.0,41.4,1018.0,6027.0,2802.0,89.0,61.0,33.0,79.0,70.0,1089.0,196.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,21.0,22.7,1859.0,51.0,446.0,912.0,545.0,84.0,1859.0,140.0,70.0,50.0,55.0,39.3,1226.0,7671.0,4417.0,117.0,66.0,37.0,50.0,27.0,1229.0,158.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",27.0,21.6,1149.0,7.0,124.0,474.0,565.0,146.0,1148.0,64.0,28.0,43.8,30.0,46.9,747.0,4275.0,2010.0,74.0,50.0,41.0,51.0,26.0,880.0,217.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,27.0,19.2,1272.0,56.0,296.0,678.0,312.0,43.0,1272.0,17.0,9.0,52.9,6.0,35.3,646.0,3087.0,1775.0,42.0,32.0,6.0,20.0,11.0,817.0,62.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Thomas Müller,de GER,"FW,MF",32.0,18.5,1020.0,18.0,93.0,409.0,521.0,114.0,1020.0,18.0,9.0,50.0,9.0,50.0,574.0,2013.0,1010.0,33.0,24.0,11.0,49.0,20.0,791.0,182.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leroy Sané,de GER,"MF,FW",26.0,22.3,1379.0,10.0,111.0,616.0,683.0,101.0,1379.0,136.0,75.0,55.1,56.0,41.2,941.0,6150.0,2650.0,77.0,69.0,30.0,60.0,60.0,1134.0,198.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Yann Sommer,ch SUI,GK,33.0,19.0,779.0,603.0,770.0,9.0,0.0,0.0,779.0,2.0,2.0,100.0,0.0,0.0,525.0,2377.0,1226.0,0.0,0.0,0.0,0.0,1.0,505.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Sadio Mané,sn SEN,"FW,MF",30.0,15.8,622.0,9.0,39.0,218.0,375.0,130.0,620.0,53.0,24.0,45.3,25.0,47.2,410.0,2602.0,1295.0,59.0,26.0,33.0,53.0,14.0,486.0,164.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",26.0,15.7,1006.0,9.0,75.0,334.0,615.0,94.0,1006.0,92.0,47.0,51.1,33.0,35.9,723.0,4737.0,2554.0,98.0,49.0,44.0,48.0,20.0,808.0,296.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,cm CMR,FW,33.0,12.4,407.0,6.0,19.0,175.0,214.0,68.0,406.0,29.0,20.0,69.0,6.0,20.7,252.0,960.0,247.0,11.0,5.0,7.0,32.0,16.0,317.0,77.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,36.0,12.0,528.0,436.0,519.0,8.0,2.0,2.0,528.0,0.0,0.0,,0.0,,338.0,1534.0,910.0,0.0,0.0,0.0,1.0,0.0,318.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Noussair Mazraoui,ma MAR,DF,24.0,11.9,977.0,26.0,252.0,449.0,282.0,27.0,977.0,27.0,18.0,66.7,6.0,22.2,569.0,2683.0,1478.0,39.0,26.0,8.0,11.0,5.0,680.0,81.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,João Cancelo,pt POR,"DF,FW",28.0,11.2,1014.0,31.0,224.0,506.0,296.0,38.0,1014.0,65.0,34.0,52.3,26.0,40.0,636.0,3732.0,2011.0,51.0,24.0,19.0,20.0,9.0,701.0,90.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Marcel Sabitzer,at AUT,MF,28.0,7.0,548.0,10.0,88.0,323.0,141.0,9.0,548.0,3.0,1.0,33.3,2.0,66.7,312.0,1283.0,572.0,7.0,8.0,0.0,6.0,3.0,368.0,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,26.0,5.3,407.0,20.0,153.0,222.0,33.0,2.0,407.0,3.0,1.0,33.3,1.0,33.3,267.0,1151.0,657.0,3.0,3.0,0.0,1.0,0.0,302.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Josip Stanišić,hr CRO,DF,22.0,6.4,689.0,29.0,206.0,370.0,117.0,5.0,689.0,9.0,5.0,55.6,2.0,22.2,452.0,2116.0,1180.0,12.0,15.0,1.0,7.0,3.0,506.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Ryan Gravenberch,nl NED,MF,20.0,6.4,483.0,12.0,68.0,269.0,155.0,11.0,483.0,19.0,11.0,57.9,6.0,31.6,301.0,1632.0,729.0,11.0,18.0,1.0,21.0,13.0,344.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,33.0,3.0,139.0,123.0,139.0,1.0,0.0,0.0,139.0,0.0,0.0,,0.0,,97.0,441.0,217.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Mathys Tel,fr FRA,FW,17.0,4.6,240.0,4.0,11.0,98.0,132.0,37.0,240.0,30.0,10.0,33.3,18.0,60.0,164.0,948.0,372.0,12.0,7.0,6.0,24.0,11.0,189.0,59.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Daley Blind,nl NED,"DF,MF",32.0,1.5,117.0,10.0,44.0,65.0,9.0,0.0,117.0,0.0,0.0,,0.0,,62.0,258.0,134.0,0.0,0.0,0.0,1.0,0.0,74.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Paul Wanner,de GER,MF,16.0,0.3,13.0,1.0,3.0,6.0,4.0,2.0,13.0,2.0,2.0,100.0,0.0,0.0,10.0,67.0,22.0,1.0,1.0,1.0,0.0,4.0,11.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Gabriel Vidovic,hr CRO,FW,18.0,0.2,14.0,0.0,1.0,6.0,7.0,2.0,14.0,0.0,0.0,,0.0,,7.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
