Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2022-2023,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,27.0,31.2,78.0,49.0,24.0,46.0,8.0,38.0,72.0,52.8,34.0,36.0,7.0,29.0,41.0,119.0,39.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,26.0,27.0,70.0,41.0,36.0,26.0,8.0,36.0,48.0,75.0,12.0,35.0,16.0,19.0,44.0,114.0,83.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Matthijs de Ligt,nl NED,DF,22.0,26.7,32.0,23.0,15.0,16.0,1.0,15.0,24.0,62.5,9.0,31.0,20.0,11.0,23.0,55.0,85.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,23.0,26.1,65.0,37.0,43.0,22.0,0.0,28.0,45.0,62.2,17.0,26.0,6.0,20.0,27.0,92.0,71.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"MF,FW",19.0,24.4,34.0,23.0,9.0,16.0,9.0,13.0,35.0,37.1,22.0,30.0,3.0,27.0,19.0,53.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,21.0,22.7,45.0,28.0,25.0,13.0,7.0,18.0,39.0,46.2,21.0,28.0,4.0,24.0,24.0,69.0,24.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",27.0,21.6,35.0,23.0,11.0,14.0,10.0,17.0,43.0,39.5,26.0,24.0,1.0,23.0,11.0,46.0,5.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,27.0,19.2,43.0,24.0,21.0,16.0,6.0,27.0,48.0,56.3,21.0,40.0,3.0,37.0,30.0,73.0,32.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Thomas Müller,de GER,"FW,MF",32.0,18.5,21.0,12.0,5.0,9.0,7.0,6.0,16.0,37.5,10.0,19.0,3.0,16.0,4.0,25.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Leroy Sané,de GER,"MF,FW",26.0,22.3,38.0,30.0,11.0,19.0,8.0,18.0,36.0,50.0,18.0,11.0,1.0,10.0,3.0,41.0,1.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
