Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2009-2010,Bundesliga,Bayern Munich,Hans-Jörg Butt,de GER,GK,35.0,31.0,31.0,2745.0,30.5,26.0,0.85,144.0,118.0,81.9,19.0,8.0,3.0,8.0,25.8,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Bayern Munich,Michael Rensing,de GER,GK,25.0,4.0,3.0,315.0,3.5,5.0,1.43,21.0,16.0,76.2,1.0,2.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Bayern Munich,Squad Total,,,26.9,34.0,34.0,3060.0,,31.0,0.91,165.0,134.0,81.2,20.0,10.0,4.0,8.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Bayern Munich,Opponent Total,,,25.9,34.0,34.0,,,,,,,,4.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Schalke 04,Manuel Neuer,de GER,GK,23.0,34.0,34.0,3060.0,34.0,31.0,0.91,161.0,130.0,80.7,19.0,8.0,7.0,15.0,44.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Schalke 04,Squad Total,,,24.3,34.0,34.0,3060.0,,31.0,0.91,161.0,130.0,80.7,19.0,8.0,7.0,15.0,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Schalke 04,Opponent Total,,,26.2,34.0,34.0,,,,,,,,7.0,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Werder Bremen,Tim Wiese,de GER,GK,27.0,31.0,31.0,2760.0,30.7,36.0,1.17,162.0,126.0,77.8,15.0,9.0,7.0,11.0,35.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Werder Bremen,Sebastian Mielitz,de GER,GK,20.0,2.0,2.0,180.0,2.0,2.0,1.0,11.0,9.0,81.8,1.0,1.0,0.0,1.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Werder Bremen,Christian Vander,de GER,GK,28.0,2.0,1.0,120.0,1.3,2.0,1.5,9.0,7.0,77.8,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Werder Bremen,Squad Total,,,25.9,34.0,34.0,3060.0,,40.0,1.18,182.0,142.0,78.0,17.0,10.0,7.0,12.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Werder Bremen,Opponent Total,,,26.1,34.0,34.0,,,,,,,,7.0,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Leverkusen,René Adler,de GER,GK,24.0,31.0,31.0,2790.0,31.0,37.0,1.19,115.0,78.0,67.8,13.0,13.0,5.0,10.0,32.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bundesliga,Leverkusen,Fabian Giefer,de GER,GK,19.0,3.0,3.0,270.0,3.0,1.0,0.33,6.0,5.0,83.3,2.0,1.0,0.0,2.0,66.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
