Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2004-2005,EPL,Chelsea,Petr Čech,cz CZE,GK,22.0,35.0,35.0,3150.0,35.0,13.0,0.37,102.0,89.0,87.3,27.0,7.0,1.0,24.0,68.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Chelsea,Carlo Cudicini,it ITA,GK,30.0,3.0,3.0,270.0,3.0,2.0,0.67,10.0,8.0,80.0,2.0,1.0,0.0,1.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Chelsea,Lenny Pidgeley,eng ENG,GK,20.0,,,,0.1,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Chelsea,Squad Total,,,25.2,38.0,38.0,3420.0,,15.0,0.39,112.0,97.0,86.6,29.0,8.0,1.0,25.0,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Chelsea,Opponent Total,,,27.2,38.0,38.0,,,,,,,,1.0,8.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Arsenal,Jens Lehmann,de GER,GK,34.0,28.0,28.0,2520.0,28.0,27.0,0.96,104.0,77.0,74.0,20.0,6.0,3.0,11.0,39.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Arsenal,Manuel Almunia,es ESP,GK,27.0,10.0,10.0,900.0,10.0,9.0,0.9,42.0,33.0,78.6,5.0,2.0,2.0,5.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Arsenal,Squad Total,,,26.2,38.0,38.0,3420.0,,36.0,0.95,146.0,110.0,75.3,25.0,8.0,5.0,16.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Arsenal,Opponent Total,,,26.9,38.0,38.0,,,,,,,,5.0,8.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,EPL,Manchester Utd,Roy Carroll,nir NIR,GK,26.0,26.0,26.0,2340.0,26.0,16.0,0.62,74.0,58.0,78.4,18.0,6.0,2.0,15.0,57.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
