Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2022-2023,SeriaA,Napoli,Giovanni Di Lorenzo,it ITA,DF,28.0,36.2,111.0,3.07,93.0,5.0,1.0,6.0,3.0,3.0,13.0,0.36,13.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Andre-Frank Zambo Anguissa,cm CMR,MF,26.0,33.9,79.0,2.33,67.0,0.0,0.0,5.0,3.0,4.0,9.0,0.27,9.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Kim Min-jae,kr KOR,DF,25.0,33.9,37.0,1.09,34.0,0.0,0.0,1.0,0.0,2.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Stanislav Lobotka,sk SVK,MF,27.0,34.5,70.0,2.03,58.0,1.0,1.0,2.0,5.0,3.0,8.0,0.23,6.0,1.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Alex Meret,it ITA,GK,25.0,34.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Victor Osimhen,ng NGA,FW,23.0,28.5,80.0,2.8,54.0,0.0,5.0,11.0,8.0,2.0,9.0,0.32,6.0,0.0,0.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Khvicha Kvaratskhelia,ge GEO,FW,21.0,28.0,136.0,4.86,90.0,3.0,20.0,13.0,8.0,2.0,24.0,0.86,10.0,1.0,3.0,6.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Amir Rrahmani,xk KVX,DF,28.0,27.2,26.0,0.96,23.0,0.0,1.0,1.0,0.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Piotr Zieliński,pl POL,MF,28.0,25.4,135.0,5.31,85.0,37.0,4.0,3.0,6.0,0.0,12.0,0.47,8.0,3.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Mário Rui,pt POR,DF,31.0,19.4,87.0,4.48,63.0,21.0,1.0,0.0,1.0,1.0,13.0,0.67,11.0,1.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Hirving Lozano,mx MEX,FW,27.0,17.8,68.0,3.82,52.0,0.0,7.0,4.0,2.0,3.0,8.0,0.45,7.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Mathías Olivera,uy URU,DF,24.0,18.3,43.0,2.35,37.0,3.0,1.0,1.0,0.0,1.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Elif Elmas,mk MKD,"FW,MF",22.0,18.1,57.0,3.15,41.0,6.0,6.0,2.0,2.0,0.0,10.0,0.55,7.0,1.0,1.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Matteo Politano,it ITA,FW,28.0,13.0,71.0,5.48,45.0,8.0,8.0,6.0,4.0,0.0,4.0,0.31,3.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Juan Jesus,br BRA,DF,31.0,10.4,13.0,1.25,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Giacomo Raspadori,it ITA,"FW,MF",22.0,10.1,43.0,4.26,27.0,8.0,1.0,5.0,2.0,0.0,3.0,0.3,2.0,1.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,SeriaA,Napoli,Tanguy Ndombele,fr FRA,MF,25.0,9.0,20.0,2.24,15.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
