Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2018-2019,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,32.0,25.6,23.0,3.0,0.0,2.0,1.0,19.8,0.31,-2.2,-0.08,92.0,210.0,43.8,794.0,114.0,23.8,28.8,128.0,16.4,31.3,188.0,10.0,5.3,44.0,1.72,20.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,29.0,8.4,9.0,2.0,1.0,1.0,0.0,9.9,0.35,0.9,0.11,18.0,51.0,35.3,218.0,56.0,20.6,26.6,37.0,16.2,29.5,61.0,0.0,0.0,8.0,0.95,17.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Squad Total,,,27.4,34.0,32.0,5.0,1.0,3.0,1.0,29.7,0.32,-1.3,-0.04,110.0,261.0,42.1,1012.0,170.0,23.1,28.3,165.0,16.4,30.9,249.0,10.0,4.0,52.0,1.53,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Opponent Total,,,25.6,34.0,88.0,3.0,0.0,12.0,2.0,87.3,0.35,1.3,0.04,277.0,740.0,37.4,988.0,157.0,47.0,38.0,394.0,70.1,50.5,648.0,28.0,4.3,17.0,0.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,27.0,32.0,40.0,4.0,1.0,6.0,0.0,39.0,0.28,-1.0,-0.03,140.0,428.0,32.7,852.0,171.0,33.3,32.9,222.0,64.9,48.7,425.0,18.0,4.2,36.0,1.13,15.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Marwin Hitz,ch SUI,GK,30.0,2.0,4.0,0.0,0.0,1.0,0.0,2.4,0.4,-1.6,-0.79,6.0,19.0,31.6,51.0,6.0,25.5,31.0,13.0,46.2,43.1,33.0,1.0,3.0,2.0,1.0,12.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Squad Total,,,24.8,34.0,44.0,4.0,1.0,7.0,0.0,41.5,0.29,-2.5,-0.07,146.0,447.0,32.7,903.0,177.0,32.9,32.8,235.0,63.8,48.4,458.0,19.0,4.1,38.0,1.12,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Dortmund,Opponent Total,,,25.7,34.0,81.0,4.0,3.0,6.0,1.0,64.4,0.35,-15.6,-0.46,192.0,458.0,41.9,994.0,120.0,34.3,33.6,235.0,49.8,43.8,375.0,13.0,3.5,32.0,0.94,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,28.0,32.5,27.0,4.0,1.0,4.0,1.0,37.9,0.3,11.9,0.37,236.0,588.0,40.1,797.0,124.0,50.6,39.6,223.0,83.0,56.2,379.0,16.0,4.2,57.0,1.75,19.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Yvon Mvogo,ch SUI,GK,24.0,1.5,2.0,1.0,0.0,0.0,0.0,1.8,0.19,-0.2,-0.17,5.0,10.0,50.0,25.0,4.0,32.0,35.1,6.0,33.3,35.3,10.0,0.0,0.0,2.0,1.33,14.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
