Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2020-2021,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,12.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,30.0,29.7,49.0,22.0,11.0,23.0,15.0,24.0,73.0,32.9,49.0,43.0,3.0,40.0,21.0,70.0,18.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,David Alaba,at AUT,"DF,MF",28.0,29.7,37.0,21.0,14.0,19.0,4.0,17.0,32.0,53.1,15.0,29.0,13.0,16.0,43.0,80.0,60.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,31.0,26.3,26.0,16.0,17.0,8.0,1.0,14.0,32.0,43.8,18.0,24.0,17.0,7.0,40.0,66.0,63.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,31.0,27.3,15.0,9.0,0.0,7.0,8.0,2.0,13.0,15.4,11.0,9.0,1.0,8.0,3.0,18.0,11.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,25.0,24.4,40.0,28.0,16.0,19.0,5.0,10.0,53.0,18.9,43.0,25.0,5.0,20.0,36.0,76.0,19.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",24.0,19.5,14.0,8.0,6.0,7.0,1.0,2.0,21.0,9.5,19.0,22.0,0.0,22.0,4.0,18.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,24.0,21.6,44.0,27.0,20.0,16.0,8.0,23.0,40.0,57.5,17.0,29.0,5.0,24.0,48.0,92.0,31.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,19.0,19.6,39.0,27.0,16.0,17.0,6.0,28.0,40.0,70.0,12.0,21.0,1.0,20.0,28.0,67.0,33.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",25.0,18.3,39.0,19.0,7.0,19.0,13.0,12.0,32.0,37.5,20.0,17.0,0.0,17.0,26.0,65.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
