Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2014-2015,LaLiga,Barcelona,Lionel Messi,ar ARG,"FW,MF",27.0,38.0,37.0,3375.0,37.5,43.0,18.0,61.0,38.0,5.0,6.0,4.0,0.0,,,,1.15,0.48,1.63,1.01,1.49,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Claudio Bravo,cl CHI,GK,31.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Neymar,br BRA,"FW,MF",22.0,33.0,29.0,2562.0,28.5,22.0,7.0,29.0,21.0,1.0,1.0,6.0,0.0,,,,0.77,0.25,1.02,0.74,0.98,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Dani Alves,br BRA,"DF,MF",31.0,30.0,29.0,2517.0,28.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,,,,0.0,0.21,0.21,0.0,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,26.0,33.0,29.0,2475.0,27.5,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,,,,0.0,0.07,0.07,0.0,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Jordi Alba,es ESP,"DF,MF",25.0,27.0,27.0,2329.0,25.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,,,,0.04,0.12,0.15,0.04,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,27.0,27.0,26.0,2385.0,26.5,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,,,,0.19,0.04,0.23,0.19,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Javier Mascherano,ar ARG,"DF,MF",30.0,28.0,26.0,2205.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Luis Suárez,uy URU,FW,27.0,27.0,25.0,2159.0,24.0,16.0,13.0,29.0,16.0,0.0,0.0,4.0,0.0,,,,0.67,0.54,1.21,0.67,1.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,LaLiga,Barcelona,Jérémy Mathieu,fr FRA,DF,30.0,28.0,23.0,2106.0,23.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,,,,0.09,0.0,0.09,0.09,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
