Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2018-2019,Ligue1,Amiens,Squad Total,,,26.5,38.0,38.0,3420.0,38.0,52.0,1.37,166.0,114.0,72.3,9.0,11.0,18.0,11.0,28.9,9.0,6.0,2.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Amiens,Opponent Total,,,26.1,38.0,38.0,3420.0,38.0,31.0,0.82,115.0,84.0,74.8,18.0,11.0,9.0,18.0,47.4,3.0,2.0,1.0,0.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Toulouse,Baptiste Reynet,fr FRA,GK,27.0,31.0,31.0,2704.0,30.0,45.0,1.5,143.0,98.0,71.3,6.0,11.0,14.0,6.0,19.4,5.0,4.0,1.0,0.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Toulouse,Mauro Goicoechea,uy URU,GK,30.0,8.0,7.0,712.0,7.9,12.0,1.52,35.0,23.0,68.6,2.0,3.0,2.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Toulouse,Squad Total,,,25.5,38.0,38.0,3416.0,38.0,57.0,1.5,178.0,121.0,70.8,8.0,14.0,16.0,9.0,23.7,6.0,5.0,1.0,0.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Toulouse,Opponent Total,,,25.8,38.0,38.0,3420.0,38.0,35.0,0.92,130.0,91.0,78.5,16.0,14.0,8.0,11.0,28.9,11.0,7.0,4.0,0.0,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Monaco,Diego Benaglio,ch SUI,GK,34.0,23.0,22.0,2057.0,22.9,38.0,1.66,96.0,57.0,63.5,4.0,6.0,12.0,4.0,18.2,5.0,3.0,2.0,0.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Monaco,Danijel Subašić,hr CRO,GK,33.0,14.0,14.0,1138.0,12.6,12.0,0.95,39.0,26.0,74.4,4.0,5.0,5.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Monaco,Seydou Sy,sn SEN,GK,22.0,3.0,2.0,225.0,2.5,7.0,2.8,12.0,6.0,41.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Monaco,Squad Total,,,25.6,38.0,38.0,3420.0,38.0,57.0,1.5,147.0,89.0,64.6,8.0,12.0,18.0,8.0,21.1,8.0,5.0,3.0,0.0,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Monaco,Opponent Total,,,25.9,38.0,38.0,3420.0,38.0,38.0,1.0,154.0,115.0,77.9,18.0,12.0,8.0,12.0,31.6,5.0,4.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Dijon,Rúnar Alex Rúnarsson,is ISL,GK,23.0,25.0,25.0,2250.0,25.0,43.0,1.72,99.0,56.0,58.6,7.0,5.0,13.0,5.0,20.0,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Dijon,Bobby Allain,fr FRA,GK,26.0,13.0,13.0,1170.0,13.0,17.0,1.31,72.0,56.0,77.8,2.0,2.0,9.0,1.0,7.7,1.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Dijon,Squad Total,,,27.1,38.0,38.0,3420.0,38.0,60.0,1.58,171.0,112.0,66.7,9.0,7.0,22.0,6.0,15.8,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Dijon,Opponent Total,,,25.8,38.0,38.0,3416.0,38.0,31.0,0.82,142.0,112.0,80.3,22.0,7.0,9.0,22.0,57.9,4.0,3.0,1.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Caen,Brice Samba,cg CGO,GK,24.0,38.0,38.0,3420.0,38.0,54.0,1.42,193.0,139.0,75.1,7.0,12.0,19.0,9.0,23.7,8.0,6.0,2.0,0.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Caen,Squad Total,,,25.8,38.0,38.0,3420.0,38.0,54.0,1.42,193.0,139.0,75.1,7.0,12.0,19.0,9.0,23.7,8.0,6.0,2.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Caen,Opponent Total,,,26.0,38.0,38.0,3420.0,38.0,29.0,0.76,94.0,65.0,73.4,19.0,12.0,7.0,17.0,44.7,4.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Guingamp,Marc-Aurèle Caillard,fr FRA,GK,24.0,21.0,21.0,1890.0,21.0,34.0,1.62,93.0,58.0,64.5,4.0,7.0,10.0,6.0,28.6,2.0,1.0,1.0,0.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Guingamp,Karl-Johan Johnsson,se SWE,GK,28.0,17.0,17.0,1530.0,17.0,34.0,2.0,78.0,43.0,59.0,1.0,5.0,11.0,4.0,23.5,4.0,2.0,1.0,1.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Guingamp,Squad Total,,,26.0,38.0,38.0,3420.0,38.0,68.0,1.79,171.0,101.0,62.0,5.0,12.0,21.0,10.0,26.3,6.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Guingamp,Opponent Total,,,26.0,38.0,38.0,3420.0,38.0,28.0,0.74,114.0,85.0,79.8,21.0,12.0,5.0,16.0,42.1,6.0,5.0,1.0,0.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
