Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2000-2001,Ligue1,Nantes,Mickaël Landreau,fr FRA,GK,21.0,33.0,33.0,2970.0,33.0,35.0,1.06,151.0,116.0,76.8,20.0,5.0,8.0,14.0,42.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Nantes,Willy Grondin,fr FRA,GK,25.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Nantes,Squad Total,,,24.8,34.0,34.0,3060.0,,36.0,1.06,156.0,120.0,76.9,21.0,5.0,8.0,14.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Nantes,Opponent Total,,,26.2,34.0,34.0,,,,,,,,8.0,5.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lyon,Grégory Coupet,fr FRA,GK,27.0,32.0,32.0,2797.0,31.1,24.0,0.77,122.0,98.0,80.3,16.0,11.0,4.0,12.0,37.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lyon,Angelo Hugues,fr FRA,GK,33.0,3.0,2.0,264.0,2.9,6.0,2.05,16.0,10.0,62.5,1.0,2.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lyon,Squad Total,,,26.6,34.0,34.0,3061.0,,30.0,0.88,138.0,108.0,78.3,17.0,13.0,4.0,12.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lyon,Opponent Total,,,26.3,34.0,34.0,,,,,,,,4.0,13.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lille,Grégory Wimbée,fr FRA,GK,28.0,32.0,32.0,2862.0,31.8,23.0,0.72,138.0,115.0,83.3,15.0,10.0,6.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lille,Éric Allibert,fr FRA,GK,24.0,2.0,1.0,109.0,1.2,2.0,1.65,4.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lille,Teddy Richert,fr FRA,GK,25.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lille,Squad Total,,,25.8,34.0,34.0,3061.0,,26.0,0.76,147.0,121.0,82.3,16.0,11.0,7.0,13.0,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Lille,Opponent Total,,,26.1,34.0,34.0,,,,,,,,7.0,11.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Bordeaux,Ulrich Ramé,fr FRA,GK,27.0,34.0,34.0,3060.0,34.0,32.0,0.94,166.0,134.0,80.7,15.0,12.0,7.0,11.0,32.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Bordeaux,Squad Total,,,27.1,34.0,34.0,3060.0,,32.0,0.94,166.0,134.0,80.7,15.0,12.0,7.0,11.0,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Bordeaux,Opponent Total,,,26.3,34.0,34.0,,,,,,,,7.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Sedan,Nicolas Sachy,fr FRA,GK,32.0,28.0,28.0,2520.0,28.0,30.0,1.07,125.0,95.0,76.0,12.0,8.0,8.0,11.0,39.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Sedan,Patrick Regnault,fr FRA,GK,26.0,6.0,6.0,540.0,6.0,10.0,1.67,37.0,27.0,73.0,2.0,2.0,2.0,1.0,16.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Sedan,Squad Total,,,27.2,34.0,34.0,3060.0,,40.0,1.18,162.0,122.0,75.3,14.0,10.0,10.0,12.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Sedan,Opponent Total,,,26.2,34.0,34.0,,,,,,,,10.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Rennes,Bernard Lama,fr FRA,GK,37.0,32.0,32.0,2880.0,32.0,36.0,1.13,144.0,108.0,75.0,14.0,5.0,13.0,11.0,34.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Rennes,Fabien Debec,fr FRA,GK,24.0,2.0,2.0,180.0,2.0,3.0,1.5,10.0,7.0,70.0,0.0,1.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Rennes,Squad Total,,,25.8,34.0,34.0,3060.0,,39.0,1.15,154.0,115.0,74.7,15.0,5.0,14.0,11.0,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Rennes,Opponent Total,,,26.4,34.0,34.0,,,,,,,,14.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Troyes,Tony Heurtebis,fr FRA,GK,25.0,34.0,34.0,3060.0,34.0,47.0,1.38,175.0,128.0,73.1,11.0,13.0,10.0,9.0,26.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Troyes,Squad Total,,,26.9,34.0,34.0,3060.0,,47.0,1.38,175.0,128.0,73.1,11.0,13.0,10.0,9.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Troyes,Opponent Total,,,26.1,34.0,34.0,,,,,,,,10.0,13.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Bastia,Éric Durand,fr FRA,GK,34.0,33.0,33.0,2953.0,32.8,39.0,1.19,175.0,136.0,77.7,13.0,6.0,14.0,10.0,30.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ligue1,Bastia,Nicolas Penneteau,fr FRA,GK,19.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
