season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2007-2008,Bundesliga,Bayern Munich,Luca Toni,it ITA,FW,30.0,31.0,31.0,2632.0,29.2,24.0,5.0,29.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.82,0.17,0.99,0.82,0.99,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Martín Demichelis,ar ARG,"DF,MF",26.0,28.0,28.0,2514.0,27.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Zé Roberto,br BRA,"DF,MF",33.0,30.0,27.0,2459.0,27.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.18,0.15,0.33,0.18,0.33,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Christian Lell,de GER,DF,22.0,29.0,26.0,2297.0,25.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Oliver Kahn,de GER,GK,38.0,26.0,26.0,2292.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"FW,MF",24.0,28.0,26.0,2197.0,24.4,11.0,8.0,19.0,9.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.45,0.33,0.78,0.37,0.7,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Mark van Bommel,nl NED,MF,30.0,27.0,26.0,2152.0,23.9,2.0,4.0,6.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.08,0.17,0.25,0.08,0.25,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Lúcio,br BRA,DF,29.0,24.0,24.0,2140.0,23.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Miroslav Klose,de GER,FW,29.0,27.0,24.0,1995.0,22.2,10.0,8.0,18.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.45,0.36,0.81,0.45,0.81,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Philipp Lahm,de GER,"DF,MF",23.0,22.0,21.0,1858.0,20.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,0.0
2007-2008,Bundesliga,Bayern Munich,Bastian Schweinsteiger,de GER,"DF,MF",22.0,30.0,21.0,1849.0,20.5,1.0,7.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.05,0.34,0.39,0.05,0.39,Matches,0.0
