Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2005-2006,SeriaA,Inter,Iván Córdoba,co COL,DF,28.0,34.4,8.0,0.0,,69.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Esteban Cambiasso,ar ARG,MF,24.0,30.1,3.0,0.0,,54.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Júlio César,br BRA,GK,25.0,29.0,1.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Luís Figo,pt POR,"FW,MF",32.0,27.3,3.0,0.0,,50.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Adriano,br BRA,FW,23.0,25.8,2.0,0.0,,54.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Walter Samuel,ar ARG,DF,27.0,25.9,6.0,1.0,,49.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Javier Zanetti,ar ARG,"DF,MF",31.0,24.8,4.0,0.0,,17.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Juan Sebastián Verón,ar ARG,MF,30.0,23.4,4.0,1.0,,39.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Giuseppe Favalli,it ITA,DF,33.0,21.0,5.0,0.0,,38.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Dejan Stanković,rs SRB,MF,26.0,20.9,4.0,0.0,,33.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Obafemi Martins,ng NGA,FW,20.0,20.5,2.0,0.0,,30.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Julio Ricardo Cruz,ar ARG,FW,30.0,18.4,3.0,1.0,,50.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Marco Materazzi,it ITA,DF,31.0,17.9,9.0,0.0,,57.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,David Pizarro,cl CHI,MF,25.0,15.4,1.0,0.0,,7.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Nicolás Burdisso,ar ARG,DF,24.0,12.4,4.0,1.0,,21.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Álvaro Recoba,uy URU,"FW,MF",29.0,10.1,2.0,0.0,,6.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Pierre Womé,cm CMR,DF,26.0,10.0,1.0,0.0,,15.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Kily González,ar ARG,"FW,MF",30.0,9.9,2.0,0.0,,14.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Francesco Toldo,it ITA,GK,33.0,8.0,0.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Santiago Solari,ar ARG,MF,28.0,7.8,0.0,0.0,,5.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Cristiano Zanetti,it ITA,MF,28.0,7.7,5.0,0.0,,17.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Zé Maria,br BRA,DF,32.0,5.2,1.0,0.0,,10.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Siniša Mihajlović,rs SRB,DF,36.0,3.0,1.0,0.0,,4.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Marco Andreolli,it ITA,DF,19.0,1.2,0.0,0.0,,1.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Paolo Orlandoni,it ITA,GK,32.0,1.0,0.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Daniel Maa Boumsong,cm CMR,MF,18.0,0.7,0.0,0.0,,3.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Domenico Germinale,it ITA,FW,18.0,0.3,0.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Goran Slavkovski,mk MKD,FW,16.0,0.1,0.0,0.0,0.0,,,,,,,,,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Ilario Aloe,it ITA,MF,19.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Leonardo Bonucci,it ITA,DF,18.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Squad Total,,,28.3,,72.0,4.0,,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Opponent Total,,,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Rodrigo Taddei,br BRA,"DF,FW",25.0,36.7,3.0,0.0,,65.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Christian Panucci,it ITA,DF,32.0,35.7,4.0,0.0,,51.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Simone Perrotta,it ITA,MF,27.0,33.7,6.0,0.0,,56.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Daniele De Rossi,it ITA,"DF,MF",22.0,32.9,9.0,0.0,,68.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Doni,br BRA,GK,25.0,28.0,4.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Cristian Chivu,ro ROU,DF,24.0,26.5,3.0,2.0,,48.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Leandro Cufré,ar ARG,DF,27.0,25.3,3.0,0.0,,24.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Mancini,br BRA,"FW,MF",24.0,24.5,5.0,0.0,,42.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Philippe Mexès,fr FRA,DF,23.0,23.5,6.0,2.0,,34.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Francesco Totti,it ITA,"FW,MF",28.0,22.6,3.0,1.0,,47.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
