Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2020-2021,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,27.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,2.26,67.0,25.0,42.0,1.11,,52.8,37.1,15.7,0.41,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Koke,es ESP,MF,28.0,37.0,3021.0,82.0,88.3,33.6,34.0,87.0,27.0,3.0,25.0,0.0,2.24,59.0,22.0,37.0,1.1,-0.03,47.1,32.7,14.4,0.43,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Marcos Llorente,es ESP,"MF,FW",25.0,37.0,2956.0,80.0,86.4,32.8,33.0,86.0,26.0,4.0,28.0,0.0,2.3,59.0,24.0,35.0,1.07,-0.29,44.2,32.7,11.5,0.35,-0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Stefan Savić,me MNE,DF,29.0,33.0,2953.0,89.0,86.3,32.8,33.0,89.0,32.0,0.0,,1.0,2.39,63.0,20.0,43.0,1.31,1.5,44.8,32.0,12.7,0.39,-0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Mario Hermoso,es ESP,DF,25.0,31.0,2578.0,83.0,75.4,28.6,30.0,85.0,24.0,1.0,17.0,4.0,2.23,42.0,17.0,25.0,0.87,-0.94,36.5,27.7,8.7,0.3,-0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Luis Suárez,uy URU,FW,33.0,32.0,2508.0,78.0,73.3,27.9,30.0,82.0,13.0,2.0,27.0,0.0,2.19,46.0,21.0,25.0,0.9,-0.78,34.3,26.5,7.9,0.28,-0.49,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Ángel Correa,ar ARG,"FW,MF",25.0,38.0,2393.0,63.0,70.0,26.6,29.0,72.0,3.0,9.0,35.0,0.0,2.26,39.0,14.0,25.0,0.94,-0.55,37.5,23.0,14.5,0.55,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Kieran Trippier,eng ENG,DF,29.0,28.0,2475.0,88.0,72.4,27.5,28.0,88.0,26.0,0.0,,0.0,2.25,47.0,13.0,34.0,1.24,0.47,38.2,27.3,10.9,0.4,-0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Yannick Carrasco,be BEL,"DF,MF",26.0,30.0,2179.0,73.0,63.7,24.2,25.0,81.0,12.0,5.0,29.0,1.0,2.33,43.0,13.0,30.0,1.24,0.37,32.0,20.6,11.3,0.47,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Felipe,br BRA,DF,31.0,31.0,2057.0,66.0,60.1,22.9,23.0,86.0,20.0,8.0,10.0,6.0,2.29,36.0,18.0,18.0,0.79,-0.8,29.3,25.0,4.3,0.19,-0.57,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Saúl Ñíguez,es ESP,"MF,DF",25.0,33.0,2033.0,62.0,59.4,22.6,22.0,79.0,12.0,11.0,27.0,1.0,2.24,39.0,15.0,24.0,1.06,-0.11,31.1,24.6,6.5,0.29,-0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
