Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2020-2021,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,27.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Koke,es ESP,MF,28.0,33.6,64.0,42.0,22.0,31.0,11.0,28.0,98.0,28.6,70.0,35.0,6.0,29.0,36.0,100.0,40.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Marcos Llorente,es ESP,"MF,FW",25.0,32.8,71.0,42.0,21.0,40.0,10.0,26.0,62.0,41.9,36.0,40.0,3.0,37.0,29.0,100.0,28.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Stefan Savić,me MNE,DF,29.0,32.8,40.0,25.0,32.0,7.0,1.0,21.0,34.0,61.8,13.0,33.0,19.0,14.0,42.0,82.0,110.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Mario Hermoso,es ESP,DF,25.0,28.6,55.0,31.0,40.0,11.0,4.0,37.0,61.0,60.7,24.0,23.0,10.0,13.0,36.0,91.0,73.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Luis Suárez,uy URU,FW,33.0,27.9,11.0,7.0,0.0,4.0,7.0,3.0,12.0,25.0,9.0,7.0,0.0,7.0,5.0,16.0,13.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Ángel Correa,ar ARG,"FW,MF",25.0,26.6,38.0,21.0,10.0,23.0,5.0,15.0,45.0,33.3,30.0,18.0,1.0,17.0,22.0,60.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Kieran Trippier,eng ENG,DF,29.0,27.5,61.0,39.0,30.0,25.0,6.0,26.0,52.0,50.0,26.0,22.0,4.0,18.0,40.0,101.0,58.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Yannick Carrasco,be BEL,"DF,MF",26.0,24.2,27.0,15.0,14.0,6.0,7.0,15.0,34.0,44.1,19.0,24.0,0.0,24.0,17.0,44.0,16.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Felipe,br BRA,DF,31.0,22.9,29.0,17.0,19.0,10.0,0.0,18.0,23.0,78.3,5.0,30.0,15.0,15.0,36.0,65.0,128.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
