Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,31.0,34.9,1659.0,33.0,110.0,640.0,918.0,238.0,1654.0,68.0,38.0,55.9,30.0,44.1,1092.0,5833.0,2704.0,110.0,55.0,65.0,64.0,41.0,1377.0,270.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Casemiro,br BRA,MF,27.0,34.3,2616.0,131.0,687.0,1588.0,376.0,36.0,2616.0,33.0,29.0,87.9,4.0,12.1,1440.0,5626.0,2765.0,16.0,40.0,1.0,23.0,28.0,1707.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Sergio Ramos,es ESP,DF,33.0,33.5,2448.0,263.0,1186.0,1156.0,124.0,51.0,2442.0,13.0,11.0,84.6,2.0,15.4,1471.0,7037.0,3895.0,21.0,18.0,2.0,13.0,4.0,1726.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,27.0,34.0,1153.0,1039.0,1151.0,1.0,1.0,1.0,1153.0,0.0,0.0,,0.0,,608.0,3379.0,1776.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Raphaël Varane,fr FRA,DF,26.0,31.4,1958.0,213.0,1078.0,828.0,58.0,18.0,1958.0,12.0,8.0,66.7,4.0,33.3,1153.0,7168.0,3537.0,7.0,14.0,0.0,10.0,3.0,1323.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Dani Carvajal,es ESP,DF,27.0,30.4,2727.0,101.0,756.0,1116.0,879.0,65.0,2727.0,53.0,25.0,47.2,28.0,52.8,1533.0,7470.0,4224.0,91.0,81.0,19.0,41.0,24.0,1831.0,195.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Toni Kroos,de GER,MF,29.0,29.5,2727.0,29.0,370.0,1615.0,763.0,36.0,2727.0,35.0,30.0,85.7,5.0,14.3,1730.0,8013.0,3935.0,61.0,61.0,5.0,16.0,13.0,2120.0,73.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,33.0,22.2,1674.0,19.0,246.0,896.0,552.0,33.0,1674.0,62.0,43.0,69.4,19.0,30.6,1139.0,6659.0,2869.0,64.0,51.0,7.0,32.0,27.0,1304.0,83.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,21.0,21.2,1300.0,27.0,195.0,726.0,395.0,24.0,1300.0,27.0,19.0,70.4,8.0,29.6,807.0,4603.0,2469.0,41.0,43.0,10.0,31.0,19.0,968.0,69.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,24.0,20.1,1469.0,54.0,380.0,626.0,468.0,38.0,1469.0,69.0,49.0,71.0,20.0,29.0,885.0,4847.0,2486.0,69.0,42.0,20.0,38.0,17.0,980.0,131.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
