Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2022-2023,EPL,Manchester City,Ederson,br BRA,GK,28.0,35.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rodri,es ESP,MF,26.0,32.3,92.0,2.84,80.0,0.0,4.0,6.0,1.0,1.0,10.0,0.31,10.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Erling Haaland,no NOR,FW,22.0,30.8,72.0,2.34,48.0,0.0,5.0,10.0,8.0,1.0,17.0,0.55,14.0,0.0,0.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,31.0,26.9,176.0,6.55,120.0,33.0,8.0,7.0,5.0,3.0,31.0,1.15,24.0,3.0,1.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,İlkay Gündoğan,de GER,MF,31.0,26.1,90.0,3.44,71.0,7.0,2.0,4.0,4.0,2.0,17.0,0.65,13.0,1.0,0.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Manuel Akanji,ch SUI,DF,27.0,25.4,23.0,0.91,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Bernardo Silva,pt POR,"MF,FW",27.0,24.5,75.0,3.06,65.0,1.0,4.0,1.0,3.0,1.0,12.0,0.49,11.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Jack Grealish,eng ENG,FW,26.0,22.8,104.0,4.55,71.0,7.0,6.0,6.0,13.0,1.0,20.0,0.88,14.0,1.0,0.0,1.0,3.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rúben Dias,pt POR,DF,25.0,22.2,15.0,0.68,11.0,1.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kyle Walker,eng ENG,DF,32.0,21.8,25.0,1.15,22.0,2.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Riyad Mahrez,dz ALG,"FW,MF",31.0,21.3,116.0,5.44,74.0,17.0,7.0,10.0,6.0,2.0,21.0,0.98,13.0,2.0,2.0,3.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Nathan Aké,nl NED,DF,27.0,20.8,24.0,1.15,20.0,1.0,0.0,2.0,0.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Phil Foden,eng ENG,FW,22.0,20.5,99.0,4.83,76.0,9.0,6.0,5.0,3.0,0.0,14.0,0.68,10.0,0.0,3.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,John Stones,eng ENG,"DF,MF",28.0,20.5,16.0,0.78,12.0,1.0,0.0,3.0,0.0,0.0,5.0,0.24,4.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,João Cancelo,pt POR,DF,28.0,14.2,39.0,2.76,30.0,0.0,2.0,5.0,1.0,1.0,6.0,0.42,5.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Julián Álvarez,ar ARG,"FW,MF",22.0,16.3,52.0,3.2,39.0,0.0,6.0,5.0,2.0,0.0,5.0,0.31,2.0,0.0,1.0,1.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Aymeric Laporte,es ESP,DF,28.0,11.0,17.0,1.54,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rico Lewis,eng ENG,"DF,MF",17.0,10.0,27.0,2.69,24.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Stefan Ortega,de GER,GK,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Cole Palmer,eng ENG,"MF,FW",20.0,4.1,20.0,4.86,11.0,0.0,3.0,4.0,2.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Sergio Gómez,es ESP,"DF,MF",21.0,3.9,7.0,1.81,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kalvin Phillips,eng ENG,MF,26.0,3.3,7.0,2.1,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Shea Charles,nir NIR,DF,18.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Máximo Perrone,ar ARG,MF,19.0,0.2,1.0,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Squad Total,,,27.2,38.0,1099.0,28.92,826.0,81.0,53.0,76.0,49.0,14.0,168.0,4.42,130.0,7.0,8.0,9.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Opponent Total,,,26.6,38.0,494.0,13.0,348.0,42.0,23.0,40.0,24.0,17.0,51.0,1.34,36.0,3.0,2.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Arsenal,Aaron Ramsdale,eng ENG,GK,24.0,38.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Arsenal,Gabriel Dos Santos,br BRA,DF,24.0,37.9,24.0,0.63,21.0,0.0,0.0,2.0,0.0,1.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Arsenal,Bukayo Saka,eng ENG,FW,20.0,35.3,161.0,4.56,106.0,27.0,8.0,11.0,7.0,2.0,28.0,0.79,20.0,4.0,2.0,1.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
