Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2006-2007,EPL,Manchester Utd,Rio Ferdinand,eng ENG,DF,27.0,32.5,1.0,,2.0,,,0.06,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Wayne Rooney,eng ENG,"FW,MF",20.0,32.5,14.0,,48.0,,,1.48,,0.29,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Edwin van der Sar,nl NED,GK,35.0,32.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Cristiano Ronaldo,pt POR,"FW,MF",21.0,31.0,17.0,,71.0,,,2.29,,0.2,,3.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Paul Scholes,eng ENG,MF,31.0,28.8,6.0,,22.0,,,0.76,,0.27,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Michael Carrick,eng ENG,MF,25.0,27.8,3.0,,13.0,,,0.47,,0.23,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Ryan Giggs,wls WAL,"FW,MF",32.0,25.6,4.0,,21.0,,,0.82,,0.19,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Nemanja Vidić,rs SRB,DF,24.0,23.8,3.0,,8.0,,,0.34,,0.38,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Gary Neville,eng ENG,DF,31.0,22.0,0.0,,7.0,,,0.32,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Patrice Evra,fr FRA,DF,25.0,20.7,1.0,,6.0,,,0.29,,0.17,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Louis Saha,fr FRA,FW,27.0,18.1,8.0,,39.0,,,2.16,,0.15,,2.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Wes Brown,eng ENG,DF,26.0,17.8,0.0,,2.0,,,0.11,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Gabriel Heinze,ar ARG,DF,28.0,16.7,0.0,,4.0,,,0.24,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,John O'Shea,ie IRL,"DF,MF",25.0,19.3,4.0,,6.0,,,0.31,,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Darren Fletcher,sct SCO,MF,22.0,15.9,3.0,,10.0,,,0.63,,0.3,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Ole Gunnar Solskjær,no NOR,FW,33.0,10.1,7.0,,16.0,,,1.58,,0.44,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Kieran Richardson,eng ENG,"DF,MF",21.0,8.7,1.0,,6.0,,,0.69,,0.17,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Park Ji-sung,kr KOR,MF,25.0,8.6,5.0,,9.0,,,1.05,,0.56,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Mikaël Silvestre,fr FRA,DF,28.0,6.7,1.0,,2.0,,,0.3,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Tomasz Kuszczak,pl POL,GK,24.0,6.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Alan Smith,eng ENG,"FW,MF",25.0,5.3,0.0,,4.0,,,0.75,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Henrik Larsson,se SWE,FW,34.0,5.1,1.0,,3.0,,,0.59,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Chris Eagles,eng ENG,MF,20.0,1.0,1.0,,1.0,,,0.97,,1.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Kieran Lee,eng ENG,"DF,MF",18.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Dong Fangzhuo,cn CHN,FW,21.0,0.8,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Squad Total,,,27.3,,80.0,,300.0,,,7.89,,0.25,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Manchester Utd,Opponent Total,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Chelsea,Frank Lampard,eng ENG,MF,28.0,36.0,11.0,,44.0,,,1.22,,0.18,,3.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,EPL,Chelsea,Michael Essien,gh GHA,"DF,MF",23.0,33.0,2.0,,14.0,,,0.42,,0.14,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
