Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2017-2018,SeriaA,Juventus,Gonzalo Higuaín,ar ARG,FW,29.0,31.3,90.0,2.88,64.0,0.0,11.0,6.0,9.0,0.0,16.0,0.51,11.0,0.0,1.0,1.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Miralem Pjanić,ba BIH,MF,27.0,27.6,117.0,4.24,76.0,29.0,5.0,2.0,2.0,3.0,18.0,0.65,13.0,2.0,1.0,0.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Blaise Matuidi,fr FRA,MF,30.0,26.2,46.0,1.76,39.0,0.0,2.0,2.0,2.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Mario Mandžukić,hr CRO,FW,31.0,25.8,54.0,2.09,43.0,1.0,0.0,6.0,4.0,0.0,7.0,0.27,6.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Paulo Dybala,ar ARG,"MF,FW",23.0,26.1,148.0,5.66,74.0,25.0,18.0,11.0,19.0,1.0,18.0,0.69,9.0,4.0,3.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,32.0,24.0,23.0,0.96,15.0,1.0,4.0,1.0,1.0,1.0,6.0,0.25,5.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Sami Khedira,de GER,MF,30.0,21.2,42.0,1.98,35.0,0.0,2.0,3.0,1.0,1.0,9.0,0.42,6.0,0.0,1.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Alex Sandro,br BRA,DF,26.0,23.5,68.0,2.89,58.0,2.0,3.0,1.0,4.0,0.0,10.0,0.43,9.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Daniele Rugani,it ITA,DF,23.0,21.5,11.0,0.51,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,39.0,20.7,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Stephan Lichtsteiner,ch SUI,DF,33.0,18.9,22.0,1.16,20.0,0.0,0.0,0.0,2.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
