Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2017-2018,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,39.0,21.0,21.0,1862.0,20.7,14.0,0.68,56.0,43.0,80.4,17.0,2.0,2.0,11.0,52.4,4.0,3.0,1.0,0.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,27.0,17.0,17.0,1530.0,17.0,9.0,0.53,33.0,24.0,72.7,13.0,3.0,1.0,11.0,64.7,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Carlo Pinsoglio,it ITA,GK,27.0,1.0,0.0,28.0,0.3,1.0,3.21,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Squad Total,,,29.2,38.0,38.0,3420.0,38.0,24.0,0.63,91.0,68.0,76.9,30.0,5.0,3.0,22.0,57.9,4.0,3.0,1.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Juventus,Opponent Total,,,27.0,38.0,38.0,3420.0,38.0,86.0,2.26,206.0,120.0,60.2,3.0,5.0,30.0,4.0,10.5,8.0,4.0,4.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Pepe Reina,es ESP,GK,34.0,37.0,37.0,3330.0,37.0,29.0,0.78,97.0,68.0,72.2,28.0,6.0,3.0,18.0,48.6,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Luigi Sepe,it ITA,GK,26.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Squad Total,,,28.0,38.0,38.0,3420.0,38.0,29.0,0.76,98.0,69.0,72.4,28.0,7.0,3.0,19.0,50.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Napoli,Opponent Total,,,26.9,38.0,38.0,3420.0,38.0,77.0,2.03,253.0,178.0,71.9,3.0,7.0,28.0,7.0,18.4,8.0,6.0,2.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,SeriaA,Roma,Alisson,br BRA,GK,24.0,37.0,37.0,3330.0,37.0,28.0,0.76,135.0,105.0,81.5,22.0,8.0,7.0,17.0,45.9,5.0,3.0,2.0,0.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
