season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2005-2006,LaLiga,Barcelona,Víctor Valdés,es ESP,GK,23.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Carles Puyol,es ESP,DF,27.0,35.0,35.0,3133.0,34.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,0.0
2005-2006,LaLiga,Barcelona,Samuel Eto'o,cm CMR,FW,24.0,34.0,34.0,3015.0,33.5,26.0,5.0,31.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.78,0.15,0.93,0.75,0.9,Matches,0.0
2005-2006,LaLiga,Barcelona,Oleguer Presas,es ESP,DF,25.0,33.0,31.0,2725.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Ronaldinho,br BRA,"FW,MF",25.0,29.0,29.0,2523.0,28.0,17.0,14.0,31.0,10.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.61,0.5,1.11,0.36,0.86,Matches,0.0
2005-2006,LaLiga,Barcelona,Deco,pt POR,MF,27.0,29.0,28.0,2373.0,26.4,3.0,7.0,10.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.11,0.27,0.38,0.11,0.38,Matches,0.0
2005-2006,LaLiga,Barcelona,Rafael Márquez,mx MEX,"DF,MF",26.0,25.0,25.0,1976.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Edmílson,br BRA,"DF,MF",29.0,28.0,24.0,2192.0,24.4,0.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,0.0
2005-2006,LaLiga,Barcelona,Sylvinho,br BRA,DF,31.0,26.0,22.0,2024.0,22.5,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.09,0.18,0.27,0.09,0.27,Matches,0.0
2005-2006,LaLiga,Barcelona,Ludovic Giuly,fr FRA,"FW,MF",29.0,30.0,21.0,1752.0,19.5,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26,0.26,0.51,0.26,0.51,Matches,0.0
2005-2006,LaLiga,Barcelona,Juliano Belletti,br BRA,"DF,MF",29.0,27.0,20.0,1712.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,0.0
2005-2006,LaLiga,Barcelona,Mark van Bommel,nl NED,MF,28.0,24.0,17.0,1555.0,17.3,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12,0.12,0.23,0.12,0.23,Matches,0.0
2005-2006,LaLiga,Barcelona,Giovanni van Bronckhorst,nl NED,"DF,MF",30.0,19.0,15.0,1392.0,15.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,0.0
2005-2006,LaLiga,Barcelona,Andrés Iniesta,es ESP,MF,21.0,33.0,14.0,1662.0,18.5,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,0.0
2005-2006,LaLiga,Barcelona,Henrik Larsson,se SWE,FW,33.0,28.0,14.0,1345.0,14.9,10.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.07,0.74,0.67,0.74,Matches,0.0
2005-2006,LaLiga,Barcelona,Xavi,es ESP,MF,25.0,16.0,14.0,1215.0,13.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,0.0
2005-2006,LaLiga,Barcelona,Lionel Messi,ar ARG,"FW,MF",18.0,17.0,11.0,911.0,10.1,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.59,0.3,0.89,0.59,0.89,Matches,0.0
2005-2006,LaLiga,Barcelona,Thiago Motta,it ITA,MF,22.0,15.0,11.0,908.0,10.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,0.0
2005-2006,LaLiga,Barcelona,Gabri García,es ESP,"DF,MF",26.0,11.0,4.0,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Santiago Ezquerro,es ESP,FW,28.0,12.0,3.0,475.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches,0.0
2005-2006,LaLiga,Barcelona,Albert Jorquera,es ESP,GK,26.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Rodri,es ESP,DF,20.0,4.0,3.0,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Maxi López,ar ARG,FW,21.0,6.0,2.0,272.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,0.0
2005-2006,LaLiga,Barcelona,Ludovic Sylvestre,gp GLP,MF,21.0,2.0,1.0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Jesús Olmo,es ESP,DF,20.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Andrea Orlandi,es ESP,"FW,MF",20.0,1.0,1.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2005-2006,LaLiga,Barcelona,Pitu,es ESP,MF,21.0,1.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
