Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2022-2023,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,30.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Robert Lewandowski,pl POL,FW,33.0,31.6,17.0,11.0,2.0,5.0,10.0,7.0,14.0,50.0,7.0,20.0,0.0,20.0,2.0,19.0,14.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Gavi,es ESP,"MF,FW",17.0,28.1,47.0,31.0,7.0,30.0,10.0,21.0,55.0,38.2,34.0,32.0,5.0,27.0,18.0,65.0,22.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Alejandro Balde,es ESP,DF,18.0,27.5,42.0,30.0,22.0,16.0,4.0,24.0,41.0,58.5,17.0,25.0,3.0,22.0,12.0,54.0,17.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Frenkie de Jong,nl NED,MF,25.0,28.2,46.0,26.0,16.0,21.0,9.0,17.0,41.0,41.5,24.0,11.0,1.0,10.0,35.0,81.0,22.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Jules Koundé,fr FRA,DF,23.0,27.0,37.0,23.0,18.0,13.0,6.0,21.0,31.0,67.7,10.0,24.0,9.0,15.0,19.0,56.0,61.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,34.0,26.0,58.0,26.0,24.0,26.0,8.0,29.0,51.0,56.9,22.0,32.0,6.0,26.0,27.0,85.0,36.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Raphinha,br BRA,FW,25.0,23.0,29.0,19.0,10.0,7.0,12.0,11.0,31.0,35.5,20.0,33.0,1.0,32.0,14.0,43.0,11.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Pedri,es ESP,MF,19.0,22.0,39.0,22.0,15.0,17.0,7.0,13.0,45.0,28.9,32.0,27.0,0.0,27.0,13.0,52.0,8.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Andreas Christensen,dk DEN,DF,26.0,19.6,20.0,15.0,9.0,11.0,0.0,10.0,16.0,62.5,6.0,14.0,12.0,2.0,21.0,41.0,47.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ronald Araújo,uy URU,DF,23.0,20.0,26.0,18.0,12.0,13.0,1.0,6.0,9.0,66.7,3.0,15.0,7.0,8.0,12.0,38.0,41.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Ousmane Dembélé,fr FRA,FW,25.0,15.7,19.0,12.0,4.0,8.0,7.0,4.0,15.0,26.7,11.0,10.0,1.0,9.0,0.0,19.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,LaLiga,Barcelona,Eric García,es ESP,"DF,MF",21.0,15.7,24.0,16.0,16.0,5.0,3.0,9.0,20.0,45.0,11.0,23.0,10.0,13.0,19.0,43.0,36.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
