Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2021-2022,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,32.0,32.7,109.0,3.33,63.0,1.0,18.0,16.0,10.0,1.0,15.0,0.46,8.0,0.0,3.0,3.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,31.0,28.4,152.0,5.35,135.0,2.0,1.0,9.0,3.0,2.0,27.0,0.95,26.0,0.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,35.0,27.9,6.0,0.22,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,26.0,27.5,155.0,5.64,81.0,63.0,1.0,3.0,3.0,4.0,24.0,0.87,9.0,13.0,0.0,0.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,22.0,24.6,26.0,1.06,23.0,0.0,0.0,2.0,0.0,1.0,7.0,0.28,7.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,DF",26.0,24.3,111.0,4.57,85.0,4.0,5.0,10.0,4.0,3.0,16.0,0.66,11.0,0.0,3.0,1.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,25.0,22.6,27.0,1.2,23.0,0.0,1.0,0.0,2.0,1.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,25.0,23.1,51.0,2.21,42.0,2.0,0.0,4.0,1.0,2.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Leroy Sané,de GER,"FW,MF",25.0,22.0,112.0,5.1,78.0,8.0,12.0,11.0,2.0,1.0,14.0,0.64,10.0,0.0,1.0,2.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,20.0,19.3,70.0,3.62,54.0,4.0,9.0,1.0,2.0,0.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,25.0,20.4,28.0,1.37,22.0,1.0,2.0,3.0,0.0,0.0,5.0,0.25,4.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,26.0,15.5,68.0,4.38,57.0,1.0,1.0,6.0,3.0,0.0,9.0,0.58,8.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,DF",25.0,15.1,53.0,3.51,42.0,2.0,3.0,4.0,2.0,0.0,5.0,0.33,5.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"MF,FW",18.0,16.3,77.0,4.73,59.0,0.0,9.0,5.0,2.0,2.0,10.0,0.61,8.0,0.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Marcel Sabitzer,at AUT,"MF,DF",27.0,10.1,26.0,2.58,23.0,0.0,0.0,2.0,0.0,1.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,26.0,7.8,28.0,3.58,26.0,1.0,0.0,1.0,0.0,0.0,5.0,0.64,5.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Josip Stanišić,hr CRO,DF,21.0,7.2,17.0,2.37,14.0,1.0,0.0,2.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Tanguy Nianzou,fr FRA,DF,19.0,6.5,8.0,1.24,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Omar Richards,eng ENG,DF,23.0,4.9,11.0,2.26,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Marc Roca,es ESP,MF,24.0,4.2,9.0,2.14,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",32.0,4.2,13.0,3.1,9.0,0.0,1.0,3.0,0.0,0.0,4.0,0.95,2.0,0.0,0.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Malik Tillman,us USA,"FW,MF",19.0,1.2,5.0,4.33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Bouna Sarr,sn SEN,DF,29.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Paul Wanner,de GER,"FW,MF",15.0,0.4,2.0,4.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Gabriel Vidovic,hr CRO,"FW,MF",17.0,0.4,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Lucas Copado,de GER,FW,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,MF,21.0,0.1,4.0,27.69,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Christian Früchtl,de GER,GK,21.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Chris Richards,us USA,DF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Squad Total,,,26.8,34.0,1170.0,34.41,874.0,93.0,64.0,84.0,36.0,19.0,161.0,4.74,122.0,13.0,9.0,10.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Opponent Total,,,26.1,34.0,521.0,15.32,365.0,51.0,33.0,24.0,30.0,18.0,64.0,1.88,51.0,3.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Jude Bellingham,eng ENG,MF,18.0,31.0,104.0,3.35,72.0,0.0,13.0,5.0,11.0,3.0,17.0,0.55,11.0,0.0,2.0,0.0,2.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Gregor Kobel,ch SUI,GK,23.0,28.5,4.0,0.14,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Marco Reus,de GER,"MF,FW",32.0,27.8,105.0,3.78,78.0,9.0,1.0,5.0,10.0,2.0,26.0,0.93,18.0,1.0,1.0,1.0,4.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Manuel Akanji,ch SUI,DF,26.0,25.1,16.0,0.64,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Julian Brandt,de GER,"MF,FW",25.0,23.1,97.0,4.2,60.0,26.0,7.0,4.0,0.0,0.0,22.0,0.95,14.0,5.0,2.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Axel Witsel,be BEL,"MF,DF",32.0,21.6,25.0,1.16,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
