Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2021-2022,Bundesliga,Freiburg,Maximilian Eggestein,de GER,MF,24.0,,2194.0,71.0,71.7,24.4,26.0,80.0,10.0,5.0,23.0,1.0,1.65,41.0,28.0,13.0,0.53,0.64,36.0,29.9,6.0,0.25,0.21,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Jeong Woo-yeong,kr KOR,"FW,MF",21.0,,1782.0,56.0,58.2,19.8,23.0,70.0,0.0,9.0,18.0,0.0,1.59,28.0,29.0,-1.0,-0.05,-0.97,28.8,27.7,1.0,0.05,-0.33,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Roland Sallai,hu HUN,"MF,FW",24.0,,1551.0,50.0,50.7,17.2,18.0,71.0,1.0,13.0,21.0,0.0,1.58,26.0,25.0,1.0,0.06,-0.6,25.9,22.6,3.3,0.19,0.0,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Manuel Gulde,de GER,DF,30.0,,1225.0,61.0,40.0,13.6,14.0,77.0,6.0,6.0,25.0,9.0,1.65,15.0,19.0,-4.0,-0.29,-1.08,15.9,18.5,-2.6,-0.19,-0.64,Matches,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Ermedin Demirović,ba BIH,FW,23.0,,871.0,28.0,28.5,9.7,9.0,64.0,0.0,22.0,14.0,2.0,1.71,23.0,13.0,10.0,1.03,0.95,15.4,12.9,2.4,0.25,0.09,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Kevin Schade,de GER,"MF,FW",19.0,,831.0,40.0,27.2,9.2,7.0,70.0,0.0,14.0,24.0,3.0,1.57,20.0,8.0,12.0,1.3,1.3,14.1,8.9,5.2,0.56,0.52,Matches,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Janik Haberer,de GER,MF,27.0,,818.0,31.0,26.7,9.1,7.0,75.0,1.0,19.0,15.0,8.0,1.62,12.0,12.0,0.0,0.0,-0.48,12.3,10.4,1.8,0.2,0.01,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Jonathan Schmid,fr FRA,DF,31.0,,588.0,45.0,19.2,6.5,6.0,79.0,3.0,7.0,16.0,5.0,1.62,10.0,7.0,3.0,0.46,0.13,8.6,7.3,1.2,0.19,0.0,Matches,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Yannik Keitel,de GER,MF,21.0,,504.0,42.0,16.5,5.6,5.0,76.0,2.0,7.0,18.0,5.0,1.83,7.0,8.0,-1.0,-0.18,-0.64,6.7,7.8,-1.1,-0.19,-0.46,Matches,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Nils Petersen,de GER,FW,32.0,,580.0,26.0,19.0,6.4,3.0,67.0,0.0,19.0,20.0,5.0,1.68,17.0,10.0,7.0,1.09,0.9,12.2,7.7,4.5,0.7,0.64,Matches,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Keven Schlotterbeck,de GER,"DF,FW",24.0,,315.0,26.0,10.3,3.5,3.0,83.0,2.0,9.0,7.0,18.0,1.92,6.0,6.0,0.0,0.0,-0.39,4.9,4.3,0.7,0.19,0.01,Matches,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Benjamin Uphoff,de GER,GK,27.0,,180.0,90.0,5.9,2.0,2.0,90.0,2.0,0.0,,31.0,0.5,3.0,7.0,-4.0,-2.0,-2.5,2.6,3.4,-0.7,-0.37,-0.6,Matches,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Kiliann Sildillia,fr FRA,"DF,MF",19.0,,169.0,24.0,5.5,1.9,1.0,90.0,1.0,6.0,13.0,13.0,1.57,4.0,4.0,0.0,0.0,-0.37,2.7,3.4,-0.7,-0.35,-0.57,Matches,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Noah Weißhaupt,de GER,"MF,FW",19.0,,97.0,10.0,3.2,1.1,0.0,,0.0,10.0,10.0,10.0,1.5,4.0,3.0,1.0,0.93,0.59,3.2,1.9,1.3,1.21,1.06,Matches,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Dominique Heintz,de GER,DF,27.0,,29.0,29.0,0.9,0.3,0.0,,0.0,1.0,29.0,10.0,1.0,0.0,0.0,0.0,0.0,-0.36,0.4,0.1,0.4,1.15,0.97,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Hugo Siquet,be BEL,DF,19.0,,22.0,22.0,0.7,0.2,0.0,,0.0,1.0,22.0,7.0,0.0,0.0,3.0,-3.0,-12.27,-12.72,0.2,1.4,-1.2,-4.71,-4.94,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Baptiste Santamaria,fr FRA,MF,26.0,,21.0,21.0,0.7,0.2,0.0,,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.36,0.4,0.1,0.4,1.59,1.41,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Vincent Vermeij,nl NED,MF,26.0,,3.0,3.0,0.1,0.0,0.0,,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,0.43,0.25,Matches,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Noah Atubolu,de GER,GK,19.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Nishan Burkart,ch SUI,MF,21.0,,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Yannik Engelhardt,de GER,MF,20.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Kenneth Schmidt,de GER,DF,19.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
