Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2022-2023,EPL,Manchester City,Ederson,br BRA,GK,28.0,35.0,1079.0,1257.0,85.8,26248.0,17275.0,237.0,239.0,99.2,563.0,572.0,98.4,278.0,442.0,62.9,1.0,0.2,,,1.0,13.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8
2022-2023,EPL,Manchester City,Rodri,es ESP,MF,26.0,32.3,2723.0,2987.0,91.2,49949.0,11936.0,1103.0,1187.0,92.9,1278.0,1369.0,93.4,300.0,354.0,84.7,6.0,4.1,,,32.0,265.0,33.0,3.0,260.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.9
2022-2023,EPL,Manchester City,Erling Haaland,no NOR,FW,22.0,30.8,360.0,500.0,72.0,4403.0,947.0,218.0,276.0,79.0,100.0,132.0,75.8,7.0,9.0,77.8,8.0,5.3,,,29.0,14.0,23.0,0.0,58.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.7
2022-2023,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,31.0,26.9,1192.0,1626.0,73.3,22165.0,6516.0,538.0,633.0,85.0,477.0,629.0,75.8,160.0,275.0,58.2,16.0,13.7,,,96.0,124.0,96.0,21.0,246.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,2.3
2022-2023,EPL,Manchester City,İlkay Gündoğan,de GER,MF,31.0,26.1,1374.0,1578.0,87.1,21396.0,4941.0,746.0,819.0,91.1,492.0,543.0,90.6,99.0,130.0,76.2,4.0,3.3,,,37.0,143.0,35.0,1.0,170.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,0.7
2022-2023,EPL,Manchester City,Manuel Akanji,ch SUI,DF,27.0,25.4,1912.0,2056.0,93.0,32634.0,10258.0,867.0,902.0,96.1,903.0,945.0,95.6,117.0,166.0,70.5,1.0,0.4,,,7.0,140.0,3.0,1.0,116.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6
2022-2023,EPL,Manchester City,Bernardo Silva,pt POR,"MF,FW",27.0,24.5,1317.0,1543.0,85.4,20840.0,3604.0,717.0,771.0,93.0,462.0,529.0,87.3,92.0,149.0,61.7,5.0,3.3,,,31.0,76.0,35.0,11.0,130.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.7
2022-2023,EPL,Manchester City,Jack Grealish,eng ENG,FW,26.0,22.8,902.0,1072.0,84.1,13270.0,2584.0,539.0,588.0,91.7,295.0,337.0,87.5,41.0,66.0,62.1,7.0,7.0,,,50.0,28.0,48.0,2.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,0.0
2022-2023,EPL,Manchester City,Rúben Dias,pt POR,DF,25.0,22.2,1928.0,2080.0,92.7,35553.0,12572.0,696.0,726.0,95.9,1074.0,1122.0,95.7,143.0,203.0,70.4,0.0,0.6,,,3.0,135.0,0.0,0.0,98.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.6
2022-2023,EPL,Manchester City,Kyle Walker,eng ENG,DF,32.0,21.8,1661.0,1892.0,87.8,29177.0,8283.0,744.0,795.0,93.6,753.0,826.0,91.2,144.0,216.0,66.7,0.0,0.2,,,6.0,189.0,10.0,4.0,162.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.2
