Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2022-2023,EPL,Manchester City,Ederson,br BRA,GK,28.0,,35.0,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,,35.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rodri,es ESP,MF,26.0,,34.0,2911.0,32.3,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,76.0,260.0,37.0,0.06,0.19,0.25,0.06,0.25,,36.0,4.6,4.6,4.1,8.7,0.14,0.13,0.27,0.14,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Erling Haaland,no NOR,FW,22.0,,33.0,2769.0,30.8,36.0,8.0,44.0,29.0,7.0,7.0,5.0,0.0,35.0,58.0,151.0,1.17,0.26,1.43,0.94,1.2,,35.0,28.4,23.1,5.3,28.4,0.92,0.17,1.1,0.75,0.92,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,31.0,,28.0,2417.0,26.9,7.0,16.0,23.0,7.0,0.0,0.0,1.0,0.0,100.0,246.0,245.0,0.26,0.6,0.86,0.26,0.86,,32.0,5.6,5.6,13.7,19.3,0.21,0.51,0.72,0.21,0.72,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,İlkay Gündoğan,de GER,MF,31.0,,27.0,2353.0,26.1,8.0,4.0,12.0,8.0,0.0,1.0,0.0,0.0,53.0,170.0,124.0,0.31,0.15,0.46,0.31,0.46,,31.0,7.5,6.7,3.3,10.0,0.29,0.13,0.41,0.26,0.38,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Manuel Akanji,ch SUI,DF,27.0,,24.0,2287.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,,29.0,1.3,1.3,0.4,1.7,0.05,0.02,0.07,0.05,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Bernardo Silva,pt POR,"MF,FW",27.0,,24.0,2205.0,24.5,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,90.0,130.0,188.0,0.16,0.2,0.37,0.16,0.37,,34.0,2.2,2.2,3.3,5.4,0.09,0.13,0.22,0.09,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Jack Grealish,eng ENG,FW,26.0,,23.0,2055.0,22.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,143.0,100.0,310.0,0.22,0.31,0.53,0.22,0.53,,28.0,4.6,4.6,7.0,11.7,0.2,0.31,0.51,0.2,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rúben Dias,pt POR,DF,25.0,,22.0,1998.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,,26.0,1.3,1.3,0.6,1.9,0.06,0.03,0.09,0.06,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kyle Walker,eng ENG,DF,32.0,,22.0,1958.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,162.0,75.0,0.0,0.0,0.0,0.0,0.0,,27.0,0.4,0.4,0.2,0.7,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Riyad Mahrez,dz ALG,"FW,MF",31.0,,22.0,1920.0,21.3,5.0,10.0,15.0,4.0,1.0,1.0,2.0,0.0,78.0,76.0,242.0,0.23,0.47,0.7,0.19,0.66,,30.0,5.5,4.7,7.0,11.8,0.26,0.33,0.59,0.22,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Nathan Aké,nl NED,DF,27.0,,22.0,1873.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,25.0,140.0,30.0,0.05,0.0,0.05,0.05,0.05,,26.0,1.6,1.6,0.7,2.3,0.07,0.04,0.11,0.07,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Phil Foden,eng ENG,FW,22.0,,22.0,1842.0,20.5,11.0,6.0,17.0,11.0,0.0,0.0,1.0,0.0,68.0,88.0,275.0,0.54,0.29,0.83,0.54,0.83,,32.0,5.9,5.9,4.7,10.6,0.29,0.23,0.52,0.29,0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,John Stones,eng ENG,"DF,MF",28.0,,21.0,1846.0,20.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,28.0,101.0,34.0,0.1,0.1,0.2,0.1,0.2,,23.0,1.0,1.0,1.4,2.4,0.05,0.07,0.12,0.05,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,João Cancelo,pt POR,DF,28.0,,16.0,1274.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,72.0,106.0,125.0,0.14,0.07,0.21,0.14,0.21,,17.0,0.8,0.8,0.9,1.7,0.06,0.06,0.12,0.06,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Julián Álvarez,ar ARG,"FW,MF",22.0,,13.0,1465.0,16.3,9.0,0.0,9.0,8.0,1.0,1.0,0.0,0.0,38.0,37.0,99.0,0.55,0.0,0.55,0.49,0.49,,31.0,7.0,6.2,1.8,8.0,0.43,0.11,0.54,0.38,0.49,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Aymeric Laporte,es ESP,DF,28.0,,11.0,993.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.5,0.5,0.2,0.7,0.04,0.02,0.06,0.04,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Rico Lewis,eng ENG,"DF,MF",17.0,,10.0,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,,14.0,0.2,0.2,1.5,1.7,0.02,0.15,0.17,0.02,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Stefan Ortega,de GER,GK,29.0,,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Cole Palmer,eng ENG,"MF,FW",20.0,,2.0,370.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,13.0,40.0,0.0,0.24,0.24,0.0,0.24,,14.0,1.2,1.2,0.6,1.8,0.3,0.14,0.44,0.3,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Sergio Gómez,es ESP,"DF,MF",21.0,,2.0,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,20.0,0.0,0.26,0.26,0.0,0.26,,12.0,0.4,0.4,1.2,1.5,0.09,0.3,0.39,0.09,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Kalvin Phillips,eng ENG,MF,26.0,,2.0,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.3,0.3,0.2,0.5,0.1,0.05,0.14,0.1,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Shea Charles,nir NIR,DF,18.0,,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Máximo Perrone,ar ARG,MF,19.0,,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Scott Carson,eng ENG,GK,36.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Liam Delap,eng ENG,FW,19.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Claudio Gomes,fr FRA,MF,22.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Ben Knight,eng ENG,MF,20.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Luke Mbete-Tatu,eng ENG,DF,18.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Nico O’Reilly,eng ENG,FW,17.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Alexander Robertson,au AUS,MF,19.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Josh Wilson-Esbrand,eng ENG,DF,19.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,EPL,Manchester City,Squad Total,,,27.2,,418.0,3420.0,38.0,92.0,69.0,161.0,83.0,9.0,10.0,44.0,1.0,987.0,2073.0,2054.0,2.42,1.82,4.24,2.18,4.0,,38.0,78.7,71.1,57.6,128.7,2.07,1.52,3.59,1.87,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
