Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2018-2019,EPL,Manchester City,Ederson,br BRA,GK,24.0,38.0,23.0,4.0,1.0,5.0,0.0,23.3,0.25,0.3,0.01,98.0,239.0,41.0,919.0,188.0,17.1,26.8,189.0,43.4,42.9,282.0,19.0,6.7,41.0,1.08,16.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Squad Total,,,26.7,38.0,23.0,4.0,1.0,5.0,0.0,23.3,0.25,0.3,0.01,98.0,239.0,41.0,919.0,188.0,17.1,26.8,189.0,43.4,42.9,282.0,19.0,6.7,41.0,1.08,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Opponent Total,,,26.6,38.0,95.0,3.0,2.0,5.0,4.0,80.9,0.31,-10.1,-0.27,345.0,892.0,38.7,935.0,109.0,57.4,41.8,406.0,87.4,58.4,601.0,19.0,3.2,19.0,0.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Liverpool,Alisson,br BRA,GK,25.0,38.0,22.0,0.0,0.0,5.0,0.0,27.2,0.29,5.2,0.14,129.0,311.0,41.5,1072.0,212.0,20.1,28.8,216.0,44.0,41.3,385.0,16.0,4.2,59.0,1.55,16.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Liverpool,Squad Total,,,26.1,38.0,22.0,0.0,0.0,5.0,0.0,27.2,0.29,5.2,0.14,129.0,311.0,41.5,1072.0,212.0,20.1,28.8,216.0,44.0,41.3,385.0,16.0,4.2,59.0,1.55,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Liverpool,Opponent Total,,,26.9,38.0,89.0,7.0,1.0,12.0,3.0,77.7,0.33,-8.3,-0.22,250.0,779.0,32.1,885.0,140.0,55.8,41.5,367.0,77.7,54.9,573.0,20.0,3.5,36.0,0.95,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Chelsea,Kepa Arrizabalaga,es ESP,GK,23.0,36.0,39.0,1.0,0.0,6.0,0.0,36.5,0.29,-2.5,-0.07,114.0,230.0,49.6,903.0,156.0,15.7,25.9,256.0,34.4,36.5,369.0,14.0,3.8,35.0,0.97,18.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Chelsea,Willy Caballero,ar ARG,GK,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.3,0.16,9.0,20.0,45.0,47.0,9.0,19.1,29.5,16.0,68.8,46.6,26.0,2.0,7.7,0.0,0.0,5.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Chelsea,Squad Total,,,27.3,38.0,39.0,1.0,0.0,6.0,0.0,36.8,0.28,-2.2,-0.06,123.0,250.0,49.2,950.0,165.0,15.9,26.1,272.0,36.4,37.1,395.0,16.0,4.1,35.0,0.92,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Chelsea,Opponent Total,,,26.8,38.0,63.0,5.0,0.0,8.0,2.0,61.3,0.29,0.3,0.01,310.0,771.0,40.2,932.0,134.0,54.1,41.0,338.0,79.0,55.3,547.0,19.0,3.5,18.0,0.47,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
