Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2017-2018,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,28.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,DF,22.0,25.9,1.0,9.0,4.0,44.4,0.35,0.15,0.11,0.25,16.3,0.0,0.0,,0.0,0.5,0.5,0.06,0.5,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Mats Hummels,de GER,DF,28.0,24.6,1.0,27.0,4.0,14.8,1.1,0.16,0.04,0.25,11.0,0.0,0.0,,0.0,2.0,2.0,0.07,-1.0,-1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,28.0,24.1,29.0,120.0,48.0,40.0,4.97,1.99,0.19,0.48,13.9,6.0,7.0,,5.0,27.9,22.4,0.19,1.1,0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",27.0,22.3,8.0,44.0,18.0,40.9,1.98,0.81,0.18,0.44,14.8,0.0,0.0,,0.0,6.1,6.1,0.14,1.9,1.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,21.0,21.4,2.0,18.0,7.0,38.9,0.84,0.33,0.11,0.29,13.1,0.0,0.0,,0.0,1.5,1.5,0.09,0.5,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Rafinha,br BRA,DF,31.0,20.6,1.0,7.0,3.0,42.9,0.34,0.15,0.14,0.33,23.4,0.0,0.0,,0.0,0.5,0.5,0.08,0.5,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,28.0,18.2,1.0,13.0,3.0,23.1,0.71,0.16,0.08,0.33,18.4,0.0,0.0,,0.0,1.1,1.1,0.09,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,James Rodríguez,co COL,"MF,FW",26.0,18.0,7.0,40.0,15.0,37.5,2.22,0.83,0.18,0.47,18.8,0.0,0.0,,3.0,4.8,4.8,0.12,2.2,2.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"FW,MF",33.0,16.7,5.0,50.0,20.0,40.0,2.99,1.19,0.1,0.25,18.8,0.0,1.0,,4.0,5.1,4.3,0.09,-0.1,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"MF,DF",28.0,17.9,1.0,23.0,3.0,13.0,1.29,0.17,0.04,0.33,15.5,0.0,0.0,,0.0,1.7,1.7,0.07,-0.7,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,22.0,17.5,6.0,42.0,18.0,42.9,2.4,1.03,0.14,0.33,19.7,0.0,0.0,,0.0,4.5,4.5,0.11,1.5,1.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,25.0,17.2,2.0,24.0,7.0,29.2,1.39,0.41,0.08,0.29,26.9,0.0,0.0,,8.0,1.3,1.3,0.05,0.7,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Arturo Vidal,cl CHI,MF,30.0,16.2,6.0,48.0,23.0,47.9,2.97,1.42,0.13,0.26,17.3,0.0,0.0,,0.0,4.1,4.1,0.09,1.9,1.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Sebastian Rudy,de GER,MF,27.0,16.8,1.0,19.0,6.0,31.6,1.13,0.36,0.05,0.17,23.6,0.0,0.0,,1.0,0.9,0.9,0.05,0.1,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"FW,MF",34.0,13.4,5.0,20.0,10.0,50.0,1.5,0.75,0.25,0.5,15.5,0.0,0.0,,0.0,3.3,3.3,0.16,1.7,1.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,"MF,FW",26.0,13.9,2.0,24.0,7.0,29.2,1.73,0.51,0.08,0.29,19.9,0.0,0.0,,1.0,2.5,2.5,0.11,-0.5,-0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Juan Bernat,es ESP,"DF,FW",24.0,9.9,0.0,4.0,0.0,0.0,0.41,0.0,0.0,,13.0,0.0,0.0,,0.0,0.3,0.3,0.08,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",21.0,12.8,3.0,29.0,15.0,51.7,2.26,1.17,0.1,0.2,17.5,0.0,0.0,,0.0,2.2,2.2,0.08,0.8,0.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Sandro Wagner,de GER,FW,29.0,8.1,8.0,29.0,14.0,48.3,3.6,1.74,0.28,0.57,12.4,0.0,0.0,,0.0,6.5,6.5,0.22,1.5,1.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,31.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Lars Lukas Mai,de GER,DF,17.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,36.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Franck Evina,cm CMR,FW,17.0,1.2,0.0,3.0,0.0,0.0,2.45,0.0,0.0,,15.2,0.0,0.0,,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Niklas Dorsch,de GER,MF,19.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,9.9,0.0,0.0,,0.0,0.4,0.4,0.42,0.6,0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Meritan Shabani,al ALB,FW,18.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Marco Friedl,at AUT,MF,19.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Kwasi Okyere Wriedt,gh GHA,MF,23.0,0.3,0.0,1.0,0.0,0.0,3.91,0.0,0.0,,5.6,0.0,0.0,,0.0,0.1,0.1,0.14,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Squad Total,,,27.4,34.0,90.0,595.0,226.0,38.0,17.5,6.65,0.14,0.37,16.8,6.0,8.0,,22.0,75.8,69.8,0.12,14.2,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Opponent Total,,,25.3,34.0,25.0,284.0,91.0,32.0,8.35,2.68,0.08,0.26,19.0,1.0,4.0,,14.0,31.7,28.4,0.1,-6.7,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Naldo,br BRA,DF,34.0,34.0,7.0,47.0,20.0,42.6,1.38,0.59,0.15,0.35,14.9,0.0,0.0,,8.0,3.9,3.9,0.08,3.1,3.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Ralf Fährmann,de GER,GK,28.0,33.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Daniel Caligiuri,it ITA,"DF,MF",29.0,32.4,6.0,32.0,16.0,50.0,0.99,0.49,0.09,0.19,21.8,3.0,3.0,,1.0,4.3,1.9,0.06,1.7,1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
