season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2016-2017,EPL,Chelsea,César Azpilicueta,es ESP,DF,26.0,38.0,38.0,3420.0,38.0,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.03,0.11,0.13,0.03,0.13,Matches,0.0
2016-2017,EPL,Chelsea,Gary Cahill,eng ENG,DF,30.0,37.0,36.0,3296.0,36.6,6.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,0.0
2016-2017,EPL,Chelsea,Thibaut Courtois,be BEL,GK,24.0,36.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2016-2017,EPL,Chelsea,Eden Hazard,be BEL,"FW,MF",25.0,36.0,36.0,2982.0,33.1,16.0,5.0,21.0,14.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.48,0.15,0.63,0.42,0.57,Matches,0.0
2016-2017,EPL,Chelsea,N'Golo Kanté,fr FRA,MF,25.0,35.0,35.0,3138.0,34.9,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,0.0
2016-2017,EPL,Chelsea,Diego Costa,es ESP,FW,27.0,35.0,35.0,3082.0,34.2,20.0,7.0,27.0,20.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.58,0.2,0.79,0.58,0.79,Matches,0.0
2016-2017,EPL,Chelsea,David Luiz,br BRA,DF,29.0,33.0,33.0,2954.0,32.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,0.0
2016-2017,EPL,Chelsea,Nemanja Matić,rs SRB,MF,27.0,35.0,30.0,2694.0,29.9,1.0,7.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.03,0.23,0.27,0.03,0.27,Matches,0.0
2016-2017,EPL,Chelsea,Marcos Alonso,es ESP,MF,25.0,31.0,30.0,2693.0,29.9,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.2,0.3,Matches,0.0
2016-2017,EPL,Chelsea,Victor Moses,ng NGA,MF,25.0,34.0,29.0,2483.0,27.6,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches,0.0
