Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2019-2020,SeriaA,Napoli,Lorenzo Insigne,it ITA,"FW,MF",28.0,31.2,1448.0,1790.0,80.9,20339.0,4521.0,898.0,991.0,90.6,354.0,460.0,77.0,103.0,177.0,58.2,6.0,7.3,5.5,-1.3,86.0,89.0,58.0,9.0,156.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Giovanni Di Lorenzo,it ITA,DF,25.0,33.0,1979.0,2280.0,86.8,29184.0,10277.0,1135.0,1211.0,93.7,656.0,755.0,86.9,113.0,165.0,68.5,3.0,2.2,3.0,0.8,30.0,128.0,39.0,9.0,204.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Piotr Zieliński,pl POL,MF,25.0,32.5,1721.0,1994.0,86.3,26598.0,7725.0,923.0,1006.0,91.7,589.0,667.0,88.3,130.0,185.0,70.3,4.0,3.7,2.9,0.3,52.0,248.0,47.0,2.0,282.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Fabián Ruiz Peña,es ESP,MF,23.0,29.8,2136.0,2365.0,90.3,34471.0,8874.0,1093.0,1164.0,93.9,768.0,817.0,94.0,186.0,223.0,83.4,6.0,4.5,4.7,1.5,51.0,230.0,44.0,5.0,277.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Kostas Manolas,gr GRE,DF,28.0,24.2,1384.0,1510.0,91.7,25740.0,8110.0,486.0,520.0,93.5,772.0,816.0,94.6,113.0,149.0,75.8,0.0,0.1,0.2,-0.1,2.0,37.0,1.0,0.0,66.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,José Callejón,es ESP,"FW,MF",32.0,24.1,984.0,1236.0,79.6,15054.0,3569.0,565.0,616.0,91.7,276.0,356.0,77.5,95.0,175.0,54.3,7.0,6.5,5.6,0.5,63.0,59.0,35.0,17.0,96.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Kalidou Koulibaly,sn SEN,DF,28.0,23.4,1551.0,1702.0,91.1,28407.0,11880.0,631.0,666.0,94.7,721.0,760.0,94.9,170.0,227.0,74.9,0.0,0.5,0.7,-0.5,10.0,124.0,8.0,1.0,132.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Mário Rui,pt POR,DF,28.0,21.8,1637.0,2003.0,81.7,24168.0,8125.0,988.0,1062.0,93.0,504.0,620.0,81.3,92.0,195.0,47.2,2.0,3.7,3.2,-1.7,35.0,117.0,44.0,17.0,154.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Alex Meret,it ITA,GK,22.0,21.7,516.0,605.0,85.3,10726.0,6530.0,186.0,187.0,99.5,238.0,241.0,98.8,89.0,174.0,51.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Nikola Maksimović,rs SRB,DF,27.0,20.0,1291.0,1394.0,92.6,23355.0,8952.0,508.0,541.0,93.9,657.0,690.0,95.2,107.0,128.0,83.6,1.0,0.5,0.6,0.5,8.0,71.0,9.0,6.0,61.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
