Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2002-2003,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,21.0,38.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Roberto Carlos,br BRA,DF,29.0,36.8,5.0,,34.0,,,0.92,,0.15,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Míchel Salgado,es ESP,DF,26.0,33.5,0.0,,5.0,,,0.15,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Iván Helguera,es ESP,"DF,MF",27.0,32.1,6.0,,13.0,,,0.4,,0.46,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Luís Figo,pt POR,"FW,MF",29.0,30.3,10.0,,26.0,,,0.86,,0.15,,6.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Zinédine Zidane,fr FRA,MF,30.0,30.0,9.0,,24.0,,,0.8,,0.38,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Raúl,es ESP,FW,25.0,29.8,16.0,,41.0,,,1.37,,0.39,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Claude Makélélé,fr FRA,MF,29.0,27.9,0.0,,3.0,,,0.11,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Ronaldo,br BRA,FW,25.0,26.9,23.0,,48.0,,,1.78,,0.48,,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Fernando Hierro,es ESP,"DF,MF",34.0,24.7,0.0,,3.0,,,0.12,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Flávio Conceição,br BRA,MF,28.0,18.7,1.0,,5.0,,,0.27,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Guti,es ESP,"FW,MF",25.0,19.9,4.0,,13.0,,,0.65,,0.31,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,LaLiga,Real Madrid,Esteban Cambiasso,ar ARG,MF,21.0,16.2,0.0,,4.0,,,0.25,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
