season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2004-2005,Ligue1,Lyon,Michael Essien,gh GHA,"DF,MF",21.0,0.0,36.0,3198.0,35.5,4.0,2.0,6.0,4.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches,37.0
2004-2005,Ligue1,Lyon,Florent Malouda,fr FRA,"FW,MF",24.0,0.0,34.0,3000.0,33.3,5.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.18,0.33,0.15,0.33,Matches,37.0
2004-2005,Ligue1,Lyon,Cris,br BRA,DF,27.0,0.0,33.0,2970.0,33.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,33.0
2004-2005,Ligue1,Lyon,Anthony Réveillère,fr FRA,DF,24.0,0.0,33.0,2962.0,32.9,0.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,33.0
2004-2005,Ligue1,Lyon,Mahamadou Diarra,ml MLI,MF,23.0,0.0,33.0,2843.0,31.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,33.0
2004-2005,Ligue1,Lyon,Sidney Govou,fr FRA,"FW,MF",25.0,0.0,33.0,2827.0,31.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.13,0.38,0.25,0.38,Matches,36.0
2004-2005,Ligue1,Lyon,Juninho Pernambucano,br BRA,MF,29.0,0.0,32.0,2773.0,30.8,13.0,9.0,22.0,11.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.42,0.29,0.71,0.36,0.65,Matches,32.0
2004-2005,Ligue1,Lyon,Grégory Coupet,fr FRA,GK,31.0,0.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,31.0
2004-2005,Ligue1,Lyon,Éric Abidal,fr FRA,DF,24.0,0.0,29.0,2533.0,28.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,29.0
2004-2005,Ligue1,Lyon,Sylvain Wiltord,fr FRA,"FW,MF",30.0,0.0,22.0,1805.0,20.1,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.35,0.15,0.35,Matches,25.0
