Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2018-2019,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,31.0,35.0,23.0,0.66,15.0,0.0,2.0,4.0,1.0,1.0,6.0,0.17,2.0,0.0,1.0,2.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,26.0,35.0,6.0,0.17,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.09,1.0,2.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Jordi Alba,es ESP,DF,29.0,33.2,84.0,2.53,76.0,3.0,1.0,0.0,3.0,1.0,13.0,0.39,12.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Luis Suárez,uy URU,FW,31.0,31.4,121.0,3.85,86.0,0.0,11.0,8.0,15.0,1.0,25.0,0.8,15.0,0.0,5.0,1.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,30.0,30.2,51.0,1.69,47.0,0.0,0.0,1.0,2.0,1.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Lionel Messi,ar ARG,FW,31.0,30.1,243.0,8.06,149.0,13.0,39.0,13.0,26.0,3.0,36.0,1.19,21.0,1.0,5.0,5.0,4.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Ivan Rakitić,hr CRO,MF,30.0,29.4,61.0,2.08,58.0,0.0,1.0,1.0,1.0,0.0,13.0,0.44,13.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Sergi Roberto,es ESP,"DF,MF",26.0,23.2,52.0,2.24,44.0,3.0,0.0,1.0,4.0,0.0,10.0,0.43,8.0,1.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Philippe Coutinho,br BRA,"FW,MF",26.0,22.4,91.0,4.06,68.0,6.0,9.0,6.0,1.0,1.0,7.0,0.31,6.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Clément Lenglet,fr FRA,DF,23.0,21.5,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Arturo Vidal,cl CHI,MF,31.0,21.4,49.0,2.28,41.0,0.0,1.0,2.0,4.0,1.0,11.0,0.51,9.0,0.0,1.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Ousmane Dembélé,fr FRA,"FW,MF",21.0,18.5,80.0,4.33,60.0,10.0,6.0,2.0,2.0,0.0,12.0,0.65,8.0,3.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Nélson Semedo,pt POR,DF,24.0,17.8,18.0,1.01,13.0,1.0,1.0,0.0,3.0,0.0,2.0,0.11,0.0,0.0,0.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Arthur Melo,br BRA,MF,21.0,15.9,30.0,1.89,25.0,2.0,0.0,0.0,3.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Samuel Umtiti,fr FRA,DF,24.0,13.2,11.0,0.83,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.23,3.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
