Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2018-2019,LaLiga,Eibar,Marc Cucurella,es ESP,"MF,FW",20.0,26.2,1.0,22.0,2.0,9.1,0.84,0.08,0.05,0.5,15.9,0.0,0.0,,0.0,2.0,2.0,0.09,-1.0,-1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Paulo Oliveira,pt POR,DF,26.0,24.9,0.0,9.0,2.0,22.2,0.36,0.08,0.0,0.0,13.8,0.0,0.0,,0.0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Marko Dmitrović,rs SRB,GK,26.0,24.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Anaitz Arbilla,es ESP,DF,31.0,21.7,1.0,18.0,1.0,5.6,0.83,0.05,0.06,1.0,24.7,0.0,0.0,,3.0,0.9,0.9,0.05,0.1,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Iván Ramis,es ESP,DF,33.0,18.6,0.0,17.0,3.0,17.6,0.91,0.16,0.0,0.0,11.8,0.0,0.0,,0.0,1.3,1.3,0.08,-1.3,-1.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Gonzalo Escalante,ar ARG,MF,25.0,19.9,4.0,22.0,8.0,36.4,1.11,0.4,0.18,0.5,17.5,0.0,0.0,,0.0,2.9,2.9,0.17,1.1,1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Charles,br BRA,FW,34.0,19.3,14.0,56.0,24.0,42.9,2.9,1.24,0.14,0.33,15.2,6.0,7.0,,0.0,12.2,6.7,0.12,1.8,1.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Pablo de Blasis,ar ARG,"DF,MF",30.0,16.9,2.0,12.0,8.0,66.7,0.71,0.47,0.17,0.25,19.4,0.0,0.0,,0.0,0.9,0.9,0.07,1.1,1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Kike,es ESP,FW,28.0,14.4,3.0,43.0,16.0,37.2,2.98,1.11,0.07,0.19,13.6,0.0,0.0,,0.0,5.6,5.6,0.13,-2.6,-2.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Asier Riesgo,es ESP,GK,34.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Sergio Álvarez,es ESP,"DF,MF",26.0,11.9,0.0,2.0,0.0,0.0,0.17,0.0,0.0,,10.2,0.0,0.0,,0.0,0.2,0.2,0.12,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Pedro Bigas,es ESP,DF,27.0,6.5,0.0,3.0,0.0,0.0,0.46,0.0,0.0,,10.2,0.0,0.0,,0.0,0.2,0.2,0.07,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Marc Cardona,es ESP,"FW,MF",23.0,6.7,3.0,17.0,8.0,47.1,2.53,1.19,0.18,0.38,11.4,0.0,0.0,,0.0,3.4,3.4,0.2,-0.4,-0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Pedro León,es ESP,"MF,FW",31.0,4.7,1.0,7.0,2.0,28.6,1.48,0.42,0.14,0.5,20.6,0.0,0.0,,0.0,1.0,1.0,0.14,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Pere Milla,es ESP,"MF,FW",25.0,3.8,0.0,4.0,0.0,0.0,1.06,0.0,0.0,,19.2,0.0,0.0,,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Pablo Hervías,es ESP,MF,25.0,2.0,0.0,4.0,1.0,25.0,2.0,0.5,0.0,0.0,30.1,0.0,0.0,,0.0,0.1,0.1,0.02,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Bebé,cv CPV,MF,28.0,0.7,0.0,3.0,2.0,66.7,4.35,2.9,0.0,0.0,21.0,0.0,0.0,,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Miguel Marí,es ESP,MF,21.0,0.8,0.0,1.0,0.0,0.0,1.3,0.0,0.0,,28.5,0.0,0.0,,0.0,0.0,0.0,0.02,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Jordi Calavera,es ESP,DF,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Squad Total,,,28.5,38.0,46.0,524.0,147.0,28.1,13.79,3.87,0.07,0.27,17.4,7.0,8.0,,20.0,54.8,48.6,0.1,-8.8,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Eibar,Opponent Total,,,26.8,38.0,49.0,330.0,128.0,38.8,8.68,3.37,0.14,0.36,17.3,3.0,4.0,,10.0,45.9,42.7,0.13,3.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Iván Cuéllar,es ESP,GK,34.0,33.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
