Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2018-2019,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,31.0,35.0,2737.0,325.0,1279.0,1395.0,87.0,28.0,2737.0,14.0,12.0,85.7,2.0,14.3,1660.0,9033.0,5679.0,32.0,28.0,2.0,17.0,11.0,1847.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,26.0,35.0,1128.0,1005.0,1125.0,3.0,0.0,0.0,1128.0,1.0,1.0,100.0,0.0,0.0,604.0,2926.0,2116.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Jordi Alba,es ESP,DF,29.0,33.2,2976.0,95.0,683.0,1300.0,1018.0,91.0,2976.0,22.0,16.0,72.7,6.0,27.3,1710.0,6503.0,3731.0,63.0,59.0,20.0,27.0,23.0,2096.0,372.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Luis Suárez,uy URU,FW,31.0,31.4,1372.0,33.0,73.0,468.0,842.0,240.0,1368.0,90.0,36.0,40.0,54.0,60.0,838.0,4305.0,1984.0,73.0,50.0,53.0,76.0,53.0,1104.0,294.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,30.0,30.2,2673.0,85.0,585.0,1733.0,366.0,16.0,2673.0,15.0,9.0,60.0,6.0,40.0,1521.0,5928.0,3029.0,12.0,24.0,0.0,14.0,25.0,1982.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Lionel Messi,ar ARG,FW,31.0,30.1,2332.0,1.0,46.0,970.0,1343.0,164.0,2327.0,224.0,134.0,59.8,90.0,40.2,1709.0,10546.0,5575.0,153.0,168.0,52.0,63.0,78.0,2017.0,206.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Ivan Rakitić,hr CRO,MF,30.0,29.4,2845.0,66.0,503.0,1775.0,587.0,28.0,2845.0,30.0,19.0,63.3,11.0,36.7,1902.0,8558.0,4640.0,56.0,70.0,6.0,25.0,23.0,2306.0,71.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Sergi Roberto,es ESP,"DF,MF",26.0,23.2,1967.0,52.0,382.0,946.0,652.0,62.0,1967.0,27.0,15.0,55.6,12.0,44.4,1229.0,6123.0,3438.0,66.0,67.0,12.0,29.0,21.0,1519.0,222.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Philippe Coutinho,br BRA,"FW,MF",26.0,22.4,1719.0,8.0,105.0,743.0,887.0,103.0,1719.0,90.0,51.0,56.7,39.0,43.3,1227.0,7370.0,3465.0,101.0,92.0,36.0,42.0,46.0,1431.0,229.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Barcelona,Clément Lenglet,fr FRA,DF,23.0,21.5,1341.0,150.0,682.0,637.0,27.0,9.0,1341.0,6.0,6.0,100.0,0.0,0.0,797.0,3919.0,2487.0,6.0,6.0,0.0,5.0,3.0,932.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
