Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2021-2022,Ligue1,Clermont Foot,Squad Total,,,26.9,38.0,69.0,5.0,0.0,10.0,3.0,50.6,0.28,-15.4,-0.41,124.0,435.0,28.5,886.0,160.0,34.0,32.5,266.0,50.4,37.7,463.0,28.0,6.0,32.0,0.84,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Clermont Foot,Opponent Total,,,25.7,38.0,38.0,2.0,0.0,5.0,2.0,40.1,0.28,4.1,0.11,153.0,406.0,37.7,910.0,187.0,30.1,31.0,290.0,45.5,38.5,541.0,30.0,5.5,43.0,1.13,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Saint-Étienne,Paul Bernardoni,fr FRA,GK,24.0,19.0,37.0,5.0,1.0,5.0,2.0,31.4,0.29,-3.6,-0.19,87.0,304.0,28.6,443.0,119.0,46.5,37.0,136.0,72.1,49.3,198.0,19.0,9.6,56.0,2.95,18.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Saint-Étienne,Etienne Green,eng ENG,GK,21.0,13.3,27.0,1.0,1.0,1.0,2.0,23.9,0.34,-1.1,-0.08,64.0,166.0,38.6,290.0,64.0,34.8,34.4,110.0,59.1,46.6,173.0,6.0,3.5,14.0,1.05,14.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Saint-Étienne,Stefan Bajic,fr FRA,GK,19.0,5.7,13.0,2.0,1.0,0.0,0.0,13.2,0.39,0.2,0.04,28.0,75.0,37.3,141.0,40.0,34.0,31.6,44.0,61.4,46.3,82.0,4.0,4.9,11.0,1.94,17.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Saint-Étienne,Squad Total,,,25.1,38.0,77.0,8.0,3.0,6.0,4.0,68.6,0.33,-4.4,-0.12,179.0,545.0,32.8,874.0,223.0,40.6,35.3,290.0,65.5,47.8,453.0,29.0,6.4,81.0,2.13,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Saint-Étienne,Opponent Total,,,26.1,38.0,42.0,5.0,1.0,11.0,1.0,38.8,0.23,-2.2,-0.06,198.0,517.0,38.3,855.0,185.0,38.5,34.9,304.0,61.8,44.8,523.0,31.0,5.9,32.0,0.84,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Metz,Alexandre Oukidja,dz ALG,GK,33.0,20.8,39.0,3.0,1.0,2.0,2.0,29.8,0.3,-7.2,-0.35,131.0,335.0,39.1,431.0,137.0,48.0,39.7,167.0,76.6,54.9,319.0,39.0,12.2,42.0,2.02,14.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Metz,Marc-Aurèle Caillard,fr FRA,GK,27.0,17.1,30.0,2.0,0.0,7.0,0.0,27.5,0.3,-2.5,-0.15,103.0,276.0,37.3,286.0,87.0,44.8,38.9,168.0,88.1,58.5,263.0,10.0,3.8,13.0,0.76,12.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Metz,Squad Total,,,25.9,38.0,69.0,5.0,1.0,9.0,2.0,57.2,0.3,-9.8,-0.26,234.0,611.0,38.3,717.0,224.0,46.7,39.4,335.0,82.4,56.7,582.0,49.0,8.4,55.0,1.45,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Metz,Opponent Total,,,26.1,38.0,35.0,1.0,2.0,7.0,2.0,31.9,0.27,-1.1,-0.03,112.0,300.0,37.3,933.0,213.0,22.9,28.9,228.0,37.7,36.1,454.0,30.0,6.6,47.0,1.24,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Benoît Costil,fr FRA,GK,34.0,25.0,62.0,5.0,1.0,5.0,1.0,44.1,0.29,-16.9,-0.68,181.0,424.0,42.7,686.0,78.0,40.2,35.3,218.0,67.9,47.9,355.0,9.0,2.5,39.0,1.56,16.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Gaëtan Poussin,fr FRA,GK,22.0,13.0,29.0,2.0,0.0,5.0,2.0,20.4,0.27,-6.6,-0.51,75.0,198.0,37.9,373.0,55.0,36.5,33.1,111.0,55.9,41.0,191.0,10.0,5.2,40.0,3.08,17.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Squad Total,,,25.7,38.0,91.0,7.0,1.0,10.0,3.0,64.5,0.29,-23.5,-0.62,256.0,622.0,41.2,1059.0,133.0,38.9,34.5,329.0,63.8,45.6,546.0,19.0,3.5,79.0,2.08,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Opponent Total,,,26.0,38.0,52.0,2.0,0.0,8.0,2.0,43.0,0.26,-7.0,-0.19,131.0,402.0,32.6,835.0,190.0,33.2,32.9,260.0,48.1,40.5,458.0,28.0,6.1,46.0,1.21,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
