Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,Ligue1,Bordeaux,Junior Mwanga,fr FRA,DF,18.0,1.0,44.0,54.0,81.5,807.0,233.0,11.0,15.0,73.3,30.0,31.0,96.8,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Loris Benito,ch SUI,DF,29.0,0.7,42.0,52.0,80.8,781.0,289.0,11.0,14.0,78.6,30.0,33.0,90.9,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Thibault Klidje,tg TOG,"MF,FW",20.0,1.0,25.0,36.0,69.4,399.0,66.0,11.0,12.0,91.7,10.0,17.0,58.8,2.0,5.0,40.0,0.0,0.7,0.2,-0.7,4.0,1.0,3.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Mehdi Zerkane,dz ALG,"MF,DF",22.0,0.9,41.0,45.0,91.1,515.0,230.0,26.0,28.0,92.9,13.0,14.0,92.9,0.0,0.0,,0.0,0.1,0.0,-0.1,1.0,3.0,1.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Dilane Bakwa,fr FRA,"FW,MF",18.0,0.5,7.0,14.0,50.0,107.0,23.0,2.0,5.0,40.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Amadou Traore,fr FRA,FW,19.0,0.2,2.0,4.0,50.0,22.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Johaneko Louisjean,fr FRA,DF,17.0,0.1,5.0,6.0,83.3,87.0,28.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Paul Baysse,fr FRA,"MF,DF",33.0,0.1,2.0,4.0,50.0,47.0,12.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Josh Maja,ng NGA,FW,22.0,0.1,4.0,5.0,80.0,51.0,12.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Rubén Pardo,es ESP,MF,28.0,0.1,1.0,1.0,100.0,11.0,9.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Squad Total,,,25.7,38.0,13552.0,17385.0,78.0,253745.0,96071.0,5738.0,6654.0,86.2,5627.0,6682.0,84.2,1815.0,3091.0,58.7,39.0,33.9,29.0,5.1,326.0,952.0,221.0,59.0,1271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Bordeaux,Opponent Total,,,26.0,38.0,15514.0,19419.0,79.9,272151.0,98830.0,7117.0,8113.0,87.7,6361.0,7461.0,85.3,1591.0,2794.0,56.9,65.0,48.0,36.3,17.0,398.0,1230.0,286.0,74.0,1648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
