Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2021-2022,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,22.0,33.6,1902.0,17.0,48.0,631.0,1247.0,299.0,1898.0,205.0,112.0,54.6,92.0,44.9,1416.0,9443.0,5202.0,210.0,122.0,103.0,112.0,57.0,1623.0,449.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Marquinhos,br BRA,DF,27.0,31.8,2666.0,342.0,1137.0,1410.0,130.0,33.0,2666.0,6.0,4.0,66.7,2.0,33.3,1950.0,9993.0,5823.0,9.0,19.0,2.0,10.0,4.0,2047.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,25.0,28.6,2459.0,226.0,838.0,1542.0,91.0,12.0,2459.0,11.0,8.0,72.7,3.0,27.3,1784.0,8989.0,5253.0,30.0,13.0,1.0,15.0,5.0,1939.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Achraf Hakimi,ma MAR,DF,22.0,27.5,2088.0,59.0,519.0,833.0,750.0,80.0,2088.0,53.0,21.0,39.6,32.0,60.4,1356.0,6113.0,3444.0,71.0,52.0,17.0,32.0,14.0,1517.0,294.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Lionel Messi,ar ARG,"FW,MF",34.0,23.9,1888.0,1.0,72.0,960.0,869.0,105.0,1888.0,99.0,64.0,64.6,35.0,35.4,1467.0,8651.0,4466.0,113.0,120.0,25.0,47.0,41.0,1667.0,125.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,28.0,21.5,2359.0,52.0,389.0,1457.0,530.0,33.0,2359.0,57.0,46.0,80.7,11.0,19.3,1736.0,8198.0,4171.0,56.0,83.0,5.0,28.0,21.0,1925.0,63.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Danilo Pereira,pt POR,MF,29.0,22.6,1743.0,61.0,382.0,1198.0,177.0,20.0,1743.0,14.0,7.0,50.0,7.0,50.0,1304.0,5700.0,2592.0,18.0,21.0,1.0,18.0,6.0,1366.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Neymar,br BRA,"FW,MF",29.0,20.6,1634.0,7.0,114.0,731.0,813.0,98.0,1630.0,126.0,58.0,46.0,68.0,54.0,1279.0,7815.0,3508.0,96.0,99.0,28.0,81.0,65.0,1391.0,244.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,34.0,20.6,579.0,531.0,577.0,2.0,0.0,0.0,579.0,0.0,0.0,,0.0,,343.0,1730.0,1126.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Ángel Di María,ar ARG,FW,33.0,18.3,1400.0,11.0,103.0,546.0,769.0,83.0,1400.0,61.0,31.0,50.8,30.0,49.2,997.0,6044.0,3000.0,74.0,67.0,27.0,46.0,16.0,1127.0,235.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Nuno Mendes,pt POR,DF,19.0,18.4,1352.0,45.0,308.0,668.0,396.0,25.0,1352.0,59.0,28.0,47.5,31.0,52.5,827.0,3856.0,1960.0,41.0,43.0,7.0,26.0,19.0,869.0,128.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Georginio Wijnaldum,nl NED,MF,30.0,18.4,884.0,16.0,127.0,481.0,286.0,39.0,884.0,24.0,12.0,50.0,12.0,50.0,624.0,2659.0,984.0,13.0,19.0,4.0,29.0,21.0,691.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Idrissa Gana Gueye,sn SEN,MF,31.0,18.2,1584.0,37.0,278.0,1020.0,298.0,16.0,1584.0,28.0,20.0,71.4,8.0,28.6,1093.0,5064.0,2281.0,28.0,30.0,0.0,19.0,16.0,1228.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,22.0,17.0,498.0,427.0,497.0,1.0,0.0,0.0,498.0,1.0,1.0,100.0,0.0,0.0,319.0,1480.0,988.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,24.0,16.8,1350.0,94.0,472.0,731.0,151.0,23.0,1350.0,6.0,2.0,33.3,4.0,66.7,913.0,3881.0,1788.0,13.0,12.0,2.0,6.0,11.0,1044.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Ander Herrera,es ESP,MF,31.0,12.1,1184.0,32.0,193.0,732.0,260.0,12.0,1184.0,10.0,6.0,60.0,4.0,40.0,733.0,2902.0,1480.0,11.0,15.0,0.0,17.0,5.0,964.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",28.0,10.6,771.0,33.0,196.0,384.0,198.0,21.0,771.0,23.0,14.0,60.9,9.0,39.1,492.0,2295.0,1156.0,20.0,11.0,6.0,7.0,5.0,577.0,85.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Mauro Icardi,ar ARG,FW,28.0,11.4,241.0,13.0,19.0,84.0,140.0,56.0,241.0,9.0,2.0,22.2,7.0,77.8,122.0,489.0,161.0,6.0,2.0,1.0,14.0,9.0,159.0,53.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Abdou Diallo,sn SEN,DF,25.0,9.7,798.0,51.0,239.0,417.0,150.0,7.0,798.0,26.0,19.0,73.1,7.0,26.9,528.0,2767.0,1403.0,16.0,25.0,3.0,13.0,6.0,582.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,27.0,9.3,997.0,37.0,251.0,666.0,85.0,2.0,997.0,7.0,6.0,85.7,1.0,14.3,707.0,3055.0,1447.0,6.0,8.0,0.0,5.0,2.0,800.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
