Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2020-2021,SeriaA,Inter,Samir Handanović,si SVN,GK,36.0,37.0,3240.0,88.0,94.7,36.0,37.0,88.0,35.0,0.0,,1.0,2.38,81.0,33.0,48.0,1.33,-1.67,68.9,37.2,31.7,0.88,-0.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Alessandro Bastoni,it ITA,DF,21.0,33.0,2922.0,89.0,85.4,32.5,33.0,89.0,29.0,0.0,,3.0,2.45,71.0,26.0,45.0,1.39,-0.24,60.4,31.9,28.5,0.88,-0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Nicolò Barella,it ITA,MF,23.0,36.0,2896.0,80.0,84.7,32.2,32.0,87.0,23.0,4.0,31.0,1.0,2.36,66.0,31.0,35.0,1.09,-2.18,60.5,35.1,25.5,0.79,-0.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Romelu Lukaku,be BEL,FW,27.0,36.0,2884.0,80.0,84.3,32.0,32.0,87.0,25.0,4.0,23.0,1.0,2.42,72.0,28.0,44.0,1.37,-0.31,61.5,32.9,28.6,0.89,-0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Milan Škriniar,sk SVK,DF,25.0,32.0,2777.0,87.0,81.2,30.9,31.0,89.0,28.0,1.0,26.0,3.0,2.44,68.0,24.0,44.0,1.43,0.03,57.3,29.8,27.6,0.89,-0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Stefan de Vrij,nl NED,DF,28.0,32.0,2734.0,85.0,79.9,30.4,30.0,90.0,30.0,2.0,17.0,5.0,2.28,64.0,27.0,37.0,1.22,-1.01,58.1,30.7,27.4,0.9,-0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Lautaro Martínez,ar ARG,FW,22.0,38.0,2561.0,67.0,74.9,28.5,30.0,79.0,8.0,8.0,25.0,0.0,2.39,66.0,24.0,42.0,1.48,0.22,55.0,27.8,27.2,0.96,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Achraf Hakimi,ma MAR,DF,21.0,37.0,2665.0,72.0,77.9,29.6,29.0,86.0,19.0,8.0,22.0,0.0,2.38,72.0,26.0,46.0,1.55,0.6,61.0,30.2,30.8,1.04,0.61,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,27.0,33.0,2581.0,78.0,75.5,28.7,29.0,85.0,20.0,4.0,28.0,1.0,2.3,57.0,26.0,31.0,1.08,-1.39,53.4,27.4,26.0,0.91,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ivan Perišić,hr CRO,"DF,FW",31.0,32.0,1795.0,56.0,52.5,19.9,20.0,75.0,4.0,12.0,24.0,4.0,2.28,46.0,21.0,25.0,1.25,-0.35,38.3,20.9,17.4,0.87,-0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Christian Eriksen,dk DEN,MF,28.0,26.0,1385.0,53.0,40.5,15.4,17.0,69.0,2.0,9.0,24.0,11.0,2.42,35.0,13.0,22.0,1.43,0.01,30.4,14.4,16.0,1.04,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ashley Young,eng ENG,DF,35.0,26.0,1425.0,55.0,41.7,15.8,16.0,75.0,4.0,10.0,22.0,10.0,2.42,42.0,17.0,25.0,1.58,0.27,31.7,18.2,13.4,0.85,-0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Roberto Gagliardini,it ITA,MF,26.0,28.0,1232.0,44.0,36.0,13.7,14.0,71.0,4.0,14.0,17.0,8.0,2.54,32.0,13.0,19.0,1.39,-0.05,25.1,16.6,8.5,0.62,-0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Matteo Darmian,it ITA,DF,30.0,26.0,1160.0,45.0,33.9,12.9,14.0,72.0,2.0,12.0,13.0,8.0,2.58,21.0,11.0,10.0,0.78,-0.98,18.3,12.5,5.8,0.45,-0.69,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Arturo Vidal,cl CHI,MF,33.0,23.0,1138.0,49.0,33.3,12.6,14.0,69.0,2.0,9.0,19.0,3.0,2.3,33.0,13.0,20.0,1.58,0.24,26.2,12.8,13.4,1.06,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Alexis Sánchez,cl CHI,FW,31.0,30.0,1146.0,38.0,33.5,12.7,12.0,72.0,2.0,18.0,15.0,2.0,2.47,37.0,13.0,24.0,1.88,0.7,29.3,15.1,14.2,1.12,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Andrea Ranocchia,it ITA,DF,32.0,8.0,703.0,88.0,20.6,7.8,8.0,88.0,7.0,0.0,,29.0,2.75,24.0,7.0,17.0,2.18,0.95,17.2,7.6,9.6,1.23,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Danilo D'Ambrosio,it ITA,DF,31.0,19.0,699.0,37.0,20.4,7.8,7.0,86.0,6.0,12.0,8.0,13.0,2.47,23.0,11.0,12.0,1.55,0.16,17.2,13.6,3.6,0.46,-0.56,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Stefano Sensi,it ITA,MF,24.0,18.0,603.0,34.0,17.6,6.7,4.0,62.0,0.0,14.0,26.0,13.0,2.61,22.0,4.0,18.0,2.69,1.54,14.1,7.7,6.4,0.96,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Aleksandar Kolarov,rs SRB,DF,34.0,7.0,390.0,56.0,11.4,4.3,4.0,90.0,4.0,3.0,10.0,16.0,2.0,13.0,10.0,3.0,0.69,-0.82,12.0,7.3,4.7,1.08,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Matías Vecino,uy URU,MF,28.0,8.0,283.0,35.0,8.3,3.1,3.0,79.0,2.0,5.0,9.0,9.0,2.63,13.0,5.0,8.0,2.54,1.22,6.2,4.6,1.6,0.51,-0.43,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
