season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2004-2005,EPL,Chelsea,Frank Lampard,eng ENG,MF,26.0,38.0,38.0,3413.0,37.9,13.0,18.0,31.0,10.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.34,0.47,0.82,0.26,0.74,Matches,0.0
2004-2005,EPL,Chelsea,Claude Makélélé,fr FRA,MF,31.0,36.0,36.0,3240.0,36.0,1.0,2.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches,0.0
2004-2005,EPL,Chelsea,John Terry,eng ENG,DF,23.0,36.0,36.0,3240.0,36.0,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,Matches,0.0
2004-2005,EPL,Chelsea,Petr Čech,cz CZE,GK,22.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2004-2005,EPL,Chelsea,Eiður Guðjohnsen,is ISL,"FW,MF",25.0,37.0,30.0,2507.0,27.9,12.0,6.0,18.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.43,0.22,0.65,0.39,0.61,Matches,0.0
2004-2005,EPL,Chelsea,Paulo Ferreira,pt POR,DF,25.0,29.0,29.0,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2004-2005,EPL,Chelsea,William Gallas,fr FRA,DF,26.0,28.0,28.0,2446.0,27.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,0.0
2004-2005,EPL,Chelsea,Damien Duff,ie IRL,"FW,MF",25.0,30.0,28.0,2396.0,26.6,6.0,7.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23,0.26,0.49,0.23,0.49,Matches,0.0
2004-2005,EPL,Chelsea,Ricardo Carvalho,pt POR,DF,26.0,25.0,22.0,1969.0,21.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,0.0
2004-2005,EPL,Chelsea,Tiago Mendes,pt POR,MF,23.0,34.0,21.0,1968.0,21.9,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.18,0.14,0.32,0.18,0.32,Matches,0.0
2004-2005,EPL,Chelsea,Joe Cole,eng ENG,MF,22.0,28.0,19.0,1629.0,18.1,8.0,2.0,10.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.44,0.11,0.55,0.44,0.55,Matches,0.0
2004-2005,EPL,Chelsea,Didier Drogba,ci CIV,FW,26.0,26.0,18.0,1632.0,18.1,10.0,5.0,15.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.55,0.28,0.83,0.55,0.83,Matches,0.0
2004-2005,EPL,Chelsea,Arjen Robben,nl NED,"FW,MF",20.0,18.0,14.0,1259.0,14.0,7.0,9.0,16.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.64,1.14,0.5,1.14,Matches,0.0
2004-2005,EPL,Chelsea,Glen Johnson,eng ENG,DF,19.0,17.0,13.0,1159.0,12.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,0.0
2004-2005,EPL,Chelsea,Wayne Bridge,eng ENG,DF,23.0,15.0,12.0,1150.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2004-2005,EPL,Chelsea,Alexey Smertin,ru RUS,MF,29.0,16.0,11.0,782.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2004-2005,EPL,Chelsea,Mateja Kežman,rs SRB,FW,25.0,25.0,6.0,739.0,8.2,4.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.37,0.37,Matches,0.0
