Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,EPL,Burnley,Nick Pope,eng ENG,GK,25.0,34.6,35.0,3.0,0.0,3.0,1.0,42.5,0.27,8.5,0.25,351.0,997.0,35.2,920.0,118.0,77.8,52.1,297.0,94.6,66.7,600.0,57.0,9.5,38.0,1.1,12.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Burnley,Tom Heaton,eng ENG,GK,31.0,3.4,4.0,0.0,0.0,1.0,0.0,4.8,0.41,0.8,0.23,31.0,77.0,40.3,84.0,22.0,61.9,47.2,32.0,78.1,60.7,62.0,2.0,3.2,2.0,0.59,11.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Burnley,Squad Total,,,27.5,38.0,39.0,3.0,0.0,4.0,1.0,47.3,0.28,9.3,0.25,382.0,1074.0,35.6,1004.0,140.0,76.5,43.6,329.0,93.0,66.1,662.0,59.0,8.9,40.0,1.05,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Burnley,Opponent Total,,,27.0,38.0,36.0,0.0,1.0,3.0,1.0,33.0,0.27,-2.0,-0.05,285.0,833.0,34.2,1058.0,149.0,55.7,42.0,279.0,87.5,59.9,561.0,41.0,7.3,57.0,1.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Everton,Jordan Pickford,eng ENG,GK,23.0,38.0,58.0,3.0,0.0,6.0,0.0,56.1,0.3,-1.9,-0.05,322.0,945.0,34.1,984.0,162.0,64.0,47.8,340.0,92.6,67.2,591.0,27.0,4.6,51.0,1.34,14.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Everton,Squad Total,,,26.7,38.0,58.0,3.0,0.0,6.0,0.0,56.1,0.3,-1.9,-0.05,322.0,945.0,34.1,984.0,162.0,64.0,43.4,340.0,92.6,67.2,591.0,27.0,4.6,51.0,1.34,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Everton,Opponent Total,,,27.0,38.0,44.0,5.0,0.0,3.0,2.0,41.4,0.29,-0.6,-0.02,273.0,689.0,39.6,910.0,141.0,52.4,41.1,268.0,79.1,56.2,504.0,25.0,5.0,51.0,1.34,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,30.0,32.9,47.0,1.0,3.0,11.0,1.0,39.5,0.27,-6.5,-0.2,304.0,792.0,38.4,866.0,107.0,61.7,43.8,273.0,94.5,63.9,500.0,28.0,5.6,54.0,1.64,16.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Leicester City,Ben Hamer,eng ENG,GK,29.0,3.1,7.0,1.0,0.0,0.0,0.0,6.4,0.43,-0.6,-0.21,18.0,47.0,38.3,66.0,15.0,47.0,39.1,20.0,80.0,56.3,39.0,0.0,0.0,4.0,1.31,14.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Leicester City,Eldin Jakupović,ch SUI,GK,32.0,2.0,6.0,0.0,0.0,0.0,1.0,4.6,0.39,-0.4,-0.18,16.0,36.0,44.4,41.0,12.0,56.1,45.4,14.0,92.9,61.8,24.0,0.0,0.0,8.0,4.0,20.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
