Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2007-2008,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,26.0,36.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Raúl,es ESP,FW,30.0,34.6,18.0,,41.0,,,1.19,,0.37,,3.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Sergio Ramos,es ESP,DF,21.0,31.3,5.0,,17.0,,,0.54,,0.29,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Fabio Cannavaro,it ITA,DF,33.0,31.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Guti,es ESP,"FW,MF",30.0,27.8,3.0,,17.0,,,0.61,,0.18,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Wesley Sneijder,nl NED,MF,23.0,25.2,9.0,,33.0,,,1.31,,0.27,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Robinho,br BRA,"FW,MF",23.0,23.6,11.0,,34.0,,,1.44,,0.32,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Mahamadou Diarra,ml MLI,MF,26.0,25.1,0.0,,3.0,,,0.12,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Marcelo,br BRA,"DF,MF",19.0,23.2,0.0,,2.0,,,0.09,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Ruud van Nistelrooy,nl NED,FW,31.0,20.8,16.0,,29.0,,,1.39,,0.45,,3.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Fernando Gago,ar ARG,MF,21.0,21.9,0.0,,4.0,,,0.18,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Pepe,pt POR,"DF,MF",24.0,17.0,0.0,,12.0,,,0.7,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Gabriel Heinze,ar ARG,DF,29.0,16.4,1.0,,1.0,,,0.06,,1.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Miguel Torres,es ESP,DF,21.0,14.5,0.0,,1.0,,,0.07,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Júlio Baptista,br BRA,"FW,MF",25.0,12.7,3.0,,12.0,,,0.95,,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Arjen Robben,nl NED,"FW,MF",23.0,13.2,4.0,,12.0,,,0.91,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Gonzalo Higuaín,ar ARG,"FW,MF",19.0,9.6,8.0,,20.0,,,2.08,,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Royston Drenthe,nl NED,"DF,MF",20.0,8.3,2.0,,3.0,,,0.36,,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Christoph Metzelder,de GER,DF,26.0,7.8,0.0,,1.0,,,0.13,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Míchel Salgado,es ESP,DF,31.0,6.7,0.0,,2.0,,,0.3,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Javier Saviola,ar ARG,FW,25.0,4.5,3.0,,5.0,,,1.12,,0.6,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Roberto Soldado,es ESP,FW,22.0,1.5,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Jordi Codina,es ESP,GK,25.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Jerzy Dudek,pl POL,GK,34.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Javier Balboa,gq EQG,"FW,MF",22.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Squad Total,,,25.9,,83.0,,249.0,,,6.55,,0.31,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,LaLiga,Real Madrid,Opponent Total,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
