Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2020-2021,SeriaA,Inter,Samir Handanović,si SVN,GK,36.0,36.0,33.0,4.0,1.0,3.0,1.0,31.6,0.24,-0.4,-0.01,91.0,200.0,45.5,911.0,159.0,17.0,26.7,167.0,26.9,30.8,441.0,13.0,2.9,22.0,0.61,14.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ionuț Radu,ro ROU,GK,23.0,1.5,1.0,0.0,0.0,0.0,0.0,0.4,0.07,-0.6,-0.38,0.0,2.0,0.0,47.0,12.0,4.3,21.1,9.0,0.0,13.9,28.0,0.0,0.0,3.0,2.0,13.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Daniele Padelli,it ITA,GK,34.0,0.5,1.0,1.0,0.0,0.0,0.0,1.3,0.13,0.3,0.5,0.0,0.0,,9.0,1.0,0.0,17.9,4.0,0.0,14.5,5.0,0.0,0.0,1.0,2.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Squad Total,,,27.7,38.0,35.0,5.0,1.0,3.0,1.0,33.3,0.23,-0.7,-0.02,91.0,202.0,45.0,967.0,172.0,16.2,26.3,180.0,25.0,29.6,474.0,13.0,2.7,26.0,0.68,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Opponent Total,,,26.9,38.0,89.0,8.0,1.0,9.0,5.0,73.1,0.32,-10.9,-0.29,178.0,446.0,39.9,1014.0,161.0,31.7,33.1,281.0,44.5,37.4,526.0,15.0,2.9,32.0,0.84,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Gianluigi Donnarumma,it ITA,GK,21.0,37.0,38.0,2.0,2.0,6.0,1.0,35.7,0.27,-1.3,-0.04,152.0,365.0,41.6,1021.0,148.0,27.3,29.0,207.0,41.5,33.7,556.0,29.0,5.2,43.0,1.16,14.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Ciprian Tătărușanu,ro ROU,GK,34.0,1.0,3.0,1.0,0.0,2.0,0.0,2.4,0.29,-0.6,-0.59,1.0,3.0,33.3,22.0,8.0,9.1,19.7,4.0,25.0,30.3,12.0,0.0,0.0,0.0,0.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Squad Total,,,24.4,38.0,41.0,3.0,2.0,8.0,1.0,38.1,0.27,-1.9,-0.05,153.0,368.0,41.6,1043.0,156.0,26.9,28.8,211.0,41.2,33.6,568.0,29.0,5.1,43.0,1.13,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Opponent Total,,,27.4,38.0,74.0,15.0,1.0,8.0,2.0,72.9,0.27,0.9,0.02,212.0,491.0,43.2,1038.0,176.0,34.1,32.6,272.0,50.4,39.4,538.0,11.0,2.0,30.0,0.79,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Pierluigi Gollini,it ITA,GK,25.0,24.0,26.0,4.0,0.0,3.0,1.0,24.9,0.29,-0.1,0.0,92.0,232.0,39.7,550.0,87.0,28.7,32.6,116.0,63.8,49.7,234.0,6.0,2.6,39.0,1.63,17.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Marco Sportiello,it ITA,GK,28.0,14.0,21.0,1.0,0.0,2.0,0.0,17.3,0.33,-3.7,-0.26,40.0,91.0,44.0,318.0,74.0,17.9,28.3,57.0,59.6,43.6,143.0,8.0,5.6,27.0,1.93,16.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Squad Total,,,27.3,38.0,47.0,5.0,0.0,5.0,1.0,42.3,0.31,-3.7,-0.1,132.0,323.0,40.9,868.0,161.0,24.8,31.0,173.0,62.4,47.7,377.0,14.0,3.7,66.0,1.74,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Opponent Total,,,27.0,38.0,90.0,6.0,1.0,6.0,0.0,76.8,0.31,-13.2,-0.35,240.0,673.0,35.7,1395.0,170.0,37.8,33.6,312.0,46.5,36.8,497.0,10.0,2.0,35.0,0.92,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,30.0,29.7,32.0,4.0,0.0,4.0,2.0,29.8,0.25,-0.2,-0.01,76.0,149.0,51.0,836.0,132.0,15.6,26.5,179.0,10.6,22.0,399.0,12.0,3.0,37.0,1.24,16.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,42.0,8.0,5.0,2.0,1.0,0.0,0.0,5.5,0.13,0.5,0.07,25.0,62.0,40.3,245.0,45.0,20.4,27.4,61.0,19.7,25.0,122.0,1.0,0.8,9.0,1.13,15.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Juventus,Carlo Pinsoglio,it ITA,GK,30.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.51,0.0,0.07,0.0,0.0,,9.0,0.0,0.0,20.9,2.0,0.0,14.0,2.0,0.0,0.0,1.0,3.91,28.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Juventus,Squad Total,,,27.7,38.0,38.0,6.0,1.0,4.0,2.0,36.4,0.23,0.4,0.01,101.0,211.0,47.9,1090.0,177.0,16.5,26.7,242.0,12.8,22.7,523.0,13.0,2.5,47.0,1.24,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
