Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2020-2021,SeriaA,Inter,Samir Handanović,si SVN,GK,36.0,36.0,1131.0,1024.0,1130.0,2.0,0.0,0.0,1131.0,0.0,0.0,,0.0,,653.0,3012.0,2005.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Alessandro Bastoni,it ITA,DF,21.0,32.5,2547.0,245.0,931.0,1357.0,278.0,19.0,2547.0,15.0,12.0,80.0,3.0,20.0,1649.0,8511.0,5492.0,70.0,55.0,2.0,19.0,6.0,1923.0,60.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Nicolò Barella,it ITA,MF,23.0,32.2,2236.0,41.0,358.0,1168.0,737.0,54.0,2236.0,52.0,35.0,67.3,17.0,32.7,1305.0,7055.0,3879.0,99.0,77.0,12.0,63.0,28.0,1700.0,149.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Romelu Lukaku,be BEL,FW,27.0,32.0,1126.0,39.0,62.0,437.0,644.0,215.0,1120.0,93.0,53.0,57.0,39.0,41.9,628.0,3815.0,1929.0,77.0,46.0,50.0,93.0,49.0,916.0,295.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Milan Škriniar,sk SVK,DF,25.0,30.9,2452.0,246.0,1048.0,1214.0,198.0,27.0,2452.0,9.0,6.0,66.7,3.0,33.3,1428.0,6820.0,3819.0,46.0,30.0,1.0,18.0,13.0,1862.0,42.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Stefan de Vrij,nl NED,DF,28.0,30.4,2193.0,223.0,1048.0,1109.0,45.0,18.0,2193.0,6.0,5.0,83.3,1.0,16.7,1313.0,7907.0,4705.0,19.0,9.0,1.0,6.0,2.0,1618.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Lautaro Martínez,ar ARG,FW,22.0,28.5,966.0,15.0,83.0,365.0,535.0,184.0,964.0,71.0,36.0,50.7,35.0,49.3,536.0,2712.0,1373.0,48.0,24.0,26.0,90.0,33.0,706.0,187.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Achraf Hakimi,ma MAR,DF,21.0,29.6,1847.0,45.0,366.0,674.0,824.0,137.0,1847.0,64.0,33.0,51.6,31.0,48.4,995.0,6038.0,3681.0,113.0,58.0,46.0,57.0,17.0,1258.0,309.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,27.0,28.7,2549.0,121.0,605.0,1473.0,491.0,8.0,2549.0,12.0,10.0,83.3,2.0,16.7,1448.0,7360.0,3308.0,35.0,48.0,1.0,26.0,17.0,1887.0,32.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ivan Perišić,hr CRO,"DF,FW",31.0,19.9,1013.0,55.0,221.0,366.0,440.0,91.0,1013.0,18.0,7.0,38.9,11.0,61.1,457.0,2918.0,1580.0,69.0,24.0,21.0,21.0,6.0,586.0,124.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
