Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,EPL,Manchester City,Ederson,br BRA,GK,24.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,2.58,95.0,23.0,72.0,1.89,,84.3,24.7,59.6,1.57,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Aymeric Laporte,es ESP,DF,24.0,35.0,3057.0,87.0,89.4,34.0,34.0,90.0,33.0,1.0,1.0,1.0,2.54,88.0,21.0,67.0,1.97,0.73,73.2,22.5,50.7,1.49,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Bernardo Silva,pt POR,"MF,FW",23.0,36.0,2854.0,79.0,83.5,31.7,31.0,88.0,27.0,5.0,27.0,1.0,2.56,78.0,22.0,56.0,1.77,-0.78,69.6,22.3,47.3,1.49,-0.46,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Raheem Sterling,eng ENG,FW,23.0,34.0,2771.0,82.0,81.0,30.8,31.0,86.0,22.0,3.0,30.0,4.0,2.53,75.0,19.0,56.0,1.82,-0.4,63.2,19.7,43.4,1.41,-0.84,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Sergio Agüero,ar ARG,FW,30.0,33.0,2459.0,75.0,71.9,27.3,31.0,78.0,8.0,2.0,27.0,1.0,2.61,72.0,15.0,57.0,2.09,0.68,58.9,17.7,41.2,1.51,-0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Kyle Walker,eng ENG,DF,28.0,33.0,2779.0,84.0,81.3,30.9,30.0,90.0,29.0,3.0,26.0,4.0,2.61,73.0,17.0,56.0,1.81,-0.43,65.2,19.9,45.3,1.47,-0.54,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,David Silva,es ESP,MF,32.0,33.0,2401.0,73.0,70.2,26.7,28.0,83.0,13.0,5.0,17.0,2.0,2.61,60.0,14.0,46.0,1.72,-0.57,57.0,15.5,41.5,1.56,-0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Fernandinho,br BRA,MF,33.0,29.0,2377.0,82.0,69.5,26.4,27.0,86.0,21.0,2.0,34.0,0.0,2.66,70.0,15.0,55.0,2.08,0.62,61.2,18.4,42.8,1.62,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,İlkay Gündoğan,de GER,MF,27.0,31.0,2137.0,69.0,62.5,23.7,23.0,87.0,17.0,8.0,17.0,1.0,2.55,60.0,15.0,45.0,1.9,0.0,50.6,14.9,35.7,1.5,-0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,EPL,Manchester City,Leroy Sané,de GER,FW,22.0,31.0,1867.0,60.0,54.6,20.7,21.0,79.0,11.0,10.0,20.0,6.0,2.48,54.0,14.0,40.0,1.93,0.07,49.8,14.2,35.7,1.72,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
