Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2021-2022,SeriaA,Milan,Mike Maignan,fr FRA,GK,26.0,32.0,32.0,2880.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,,,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Rafael Leão,pt POR,FW,22.0,34.0,31.0,2605.0,28.9,11.0,10.0,21.0,11.0,0.0,0.0,4.0,0.0,161.0,101.0,218.0,0.38,0.35,0.73,0.38,0.73,,,8.8,8.8,6.8,15.5,0.3,0.23,0.54,0.3,0.54,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Sandro Tonali,it ITA,MF,21.0,36.0,31.0,2600.0,28.9,5.0,2.0,7.0,5.0,0.0,0.0,9.0,0.0,51.0,141.0,46.0,0.17,0.07,0.24,0.17,0.24,,,4.1,4.1,4.0,8.1,0.14,0.14,0.28,0.14,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Fikayo Tomori,eng ENG,DF,23.0,31.0,30.0,2718.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,82.0,5.0,0.0,0.0,0.0,0.0,0.0,,,1.1,1.1,0.1,1.2,0.04,0.0,0.04,0.04,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Theo Hernández,fr FRA,DF,23.0,32.0,30.0,2711.0,30.1,5.0,5.0,10.0,4.0,1.0,2.0,7.0,2.0,120.0,116.0,140.0,0.17,0.17,0.33,0.13,0.3,,,3.7,2.8,5.8,8.6,0.12,0.19,0.32,0.09,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Franck Kessié,ci CIV,MF,24.0,31.0,25.0,2308.0,25.6,6.0,0.0,6.0,4.0,2.0,3.0,2.0,0.0,36.0,130.0,61.0,0.23,0.0,0.23,0.16,0.16,,,4.4,2.0,1.7,3.7,0.17,0.06,0.24,0.08,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Brahim Díaz,es ESP,MF,21.0,31.0,25.0,1855.0,20.6,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,59.0,88.0,104.0,0.15,0.15,0.29,0.15,0.29,,,4.1,4.1,2.3,6.4,0.2,0.11,0.31,0.2,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Davide Calabria,it ITA,DF,24.0,26.0,24.0,2119.0,23.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,36.0,113.0,74.0,0.08,0.08,0.17,0.08,0.17,,,3.8,3.8,1.8,5.6,0.16,0.08,0.24,0.16,0.24,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Olivier Giroud,fr FRA,FW,34.0,29.0,22.0,1892.0,21.0,11.0,3.0,14.0,9.0,2.0,2.0,4.0,0.0,8.0,23.0,102.0,0.52,0.14,0.67,0.43,0.57,,,9.8,8.3,2.3,10.6,0.47,0.11,0.58,0.39,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Alexis Saelemaekers,be BEL,FW,22.0,36.0,22.0,1865.0,20.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,63.0,54.0,161.0,0.05,0.14,0.19,0.05,0.19,,,2.9,2.9,3.3,6.1,0.14,0.16,0.3,0.14,0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
