Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2021-2022,SeriaA,Milan,Mike Maignan,fr FRA,GK,26.0,32.0,1207.0,867.0,1195.0,13.0,0.0,0.0,1207.0,0.0,0.0,,0.0,,798.0,4871.0,3506.0,0.0,0.0,0.0,2.0,1.0,660.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Rafael Leão,pt POR,FW,22.0,28.9,1166.0,12.0,58.0,434.0,707.0,172.0,1166.0,163.0,98.0,60.1,65.0,39.9,808.0,7959.0,4496.0,161.0,109.0,69.0,71.0,50.0,914.0,218.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Sandro Tonali,it ITA,MF,21.0,28.9,1755.0,56.0,361.0,1007.0,411.0,27.0,1755.0,45.0,30.0,66.7,15.0,33.3,938.0,5617.0,2650.0,51.0,43.0,5.0,33.0,23.0,1102.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Fikayo Tomori,eng ENG,DF,23.0,30.2,2037.0,212.0,1018.0,970.0,61.0,16.0,2037.0,12.0,8.0,66.7,4.0,33.3,1111.0,5262.0,2910.0,14.0,8.0,1.0,16.0,0.0,1316.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Theo Hernández,fr FRA,DF,23.0,30.1,2060.0,65.0,515.0,983.0,605.0,56.0,2058.0,85.0,49.0,57.6,36.0,42.4,1138.0,8263.0,5294.0,120.0,88.0,27.0,55.0,24.0,1262.0,140.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Franck Kessié,ci CIV,MF,24.0,25.6,1600.0,52.0,337.0,919.0,361.0,58.0,1597.0,45.0,33.0,73.3,12.0,26.7,888.0,4510.0,2010.0,36.0,33.0,4.0,38.0,27.0,1101.0,61.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Brahim Díaz,es ESP,MF,21.0,20.6,946.0,7.0,59.0,489.0,421.0,63.0,946.0,88.0,45.0,51.1,43.0,48.9,609.0,3812.0,1829.0,59.0,50.0,13.0,64.0,39.0,717.0,104.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Davide Calabria,it ITA,DF,24.0,23.5,1521.0,43.0,422.0,756.0,361.0,26.0,1521.0,20.0,10.0,50.0,10.0,50.0,693.0,3396.0,2000.0,36.0,24.0,2.0,16.0,6.0,862.0,74.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Olivier Giroud,fr FRA,FW,34.0,21.0,698.0,26.0,47.0,278.0,376.0,123.0,696.0,8.0,4.0,50.0,4.0,50.0,261.0,860.0,248.0,8.0,6.0,4.0,58.0,11.0,539.0,102.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Alexis Saelemaekers,be BEL,FW,22.0,20.7,1129.0,14.0,111.0,511.0,530.0,68.0,1129.0,92.0,52.0,56.5,40.0,43.5,687.0,4482.0,2160.0,63.0,39.0,16.0,54.0,29.0,827.0,161.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Pierre Kalulu,fr FRA,DF,21.0,21.6,1384.0,98.0,591.0,642.0,169.0,13.0,1384.0,11.0,6.0,54.5,5.0,45.5,788.0,4814.0,2454.0,21.0,19.0,0.0,22.0,6.0,860.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Alessio Romagnoli,it ITA,DF,26.0,15.7,1142.0,116.0,498.0,604.0,44.0,21.0,1142.0,2.0,2.0,100.0,0.0,0.0,614.0,2780.0,1442.0,6.0,0.0,0.0,3.0,0.0,786.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Ismaël Bennacer,dz ALG,MF,23.0,16.9,1293.0,44.0,228.0,838.0,247.0,12.0,1293.0,47.0,36.0,76.6,11.0,23.4,790.0,4679.0,2094.0,28.0,27.0,3.0,29.0,26.0,881.0,34.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Rade Krunić,ba BIH,"MF,FW",27.0,15.7,710.0,31.0,126.0,369.0,226.0,25.0,710.0,15.0,12.0,80.0,3.0,20.0,340.0,1794.0,770.0,20.0,18.0,3.0,27.0,7.0,461.0,54.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Junior Messias,br BRA,"FW,MF",30.0,15.9,795.0,25.0,97.0,292.0,428.0,69.0,795.0,63.0,30.0,47.6,33.0,52.4,462.0,3314.0,1949.0,63.0,47.0,19.0,46.0,17.0,501.0,124.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Alessandro Florenzi,it ITA,"DF,FW",30.0,12.8,925.0,31.0,223.0,496.0,217.0,20.0,925.0,10.0,8.0,80.0,2.0,20.0,493.0,2434.0,1397.0,30.0,16.0,4.0,11.0,1.0,584.0,51.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Zlatan Ibrahimović,se SWE,FW,39.0,11.3,537.0,12.0,16.0,209.0,316.0,89.0,536.0,9.0,5.0,55.6,4.0,44.4,267.0,1012.0,529.0,13.0,14.0,5.0,22.0,9.0,443.0,99.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Simon Kjær,dk DEN,DF,32.0,8.9,559.0,86.0,256.0,292.0,14.0,6.0,559.0,0.0,0.0,,0.0,,298.0,1364.0,887.0,3.0,1.0,0.0,2.0,1.0,369.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Ante Rebić,hr CRO,FW,27.0,9.9,443.0,6.0,20.0,141.0,288.0,75.0,443.0,38.0,16.0,42.1,22.0,57.9,254.0,1569.0,738.0,36.0,16.0,20.0,33.0,16.0,325.0,80.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Ciprian Tătărușanu,ro ROU,GK,35.0,6.0,217.0,176.0,215.0,2.0,0.0,0.0,217.0,0.0,0.0,,0.0,,125.0,739.0,513.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Matteo Gabbia,it ITA,DF,21.0,6.0,471.0,50.0,256.0,208.0,9.0,6.0,471.0,0.0,0.0,,0.0,,289.0,1161.0,635.0,3.0,0.0,0.0,2.0,0.0,344.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Tiemoué Bakayoko,fr FRA,MF,26.0,5.6,374.0,16.0,83.0,236.0,59.0,4.0,374.0,7.0,4.0,57.1,3.0,42.9,184.0,915.0,381.0,3.0,7.0,0.0,3.0,4.0,242.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Fodé Ballo-Touré,sn SEN,DF,24.0,5.0,329.0,9.0,61.0,162.0,109.0,14.0,329.0,10.0,5.0,50.0,5.0,50.0,188.0,1190.0,642.0,17.0,10.0,0.0,5.0,6.0,196.0,48.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Daniel Maldini,it ITA,MF,19.0,1.6,75.0,0.0,9.0,36.0,31.0,9.0,75.0,3.0,2.0,66.7,1.0,33.3,42.0,248.0,143.0,7.0,4.0,1.0,8.0,1.0,50.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Pietro Pellegri,it ITA,FW,20.0,1.5,37.0,1.0,3.0,11.0,23.0,7.0,37.0,4.0,1.0,25.0,3.0,75.0,18.0,101.0,33.0,3.0,1.0,1.0,2.0,4.0,19.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Samu Castillejo,es ESP,"FW,MF",26.0,1.4,88.0,2.0,5.0,31.0,53.0,8.0,88.0,2.0,0.0,0.0,2.0,100.0,52.0,337.0,187.0,4.0,3.0,1.0,5.0,3.0,62.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Andrea Conti,it ITA,DF,27.0,0.1,6.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,,0.0,,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Luca Stanga,it ITA,DF,19.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,,3.0,28.0,20.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Squad Total,,,25.6,38.0,23507.0,2057.0,6813.0,10934.0,6067.0,987.0,23499.0,779.0,456.0,58.5,323.0,41.5,13142.0,77523.0,41919.0,806.0,583.0,198.0,627.0,312.0,15548.0,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Milan,Opponent Total,,,27.0,38.0,20652.0,2592.0,7383.0,9057.0,4455.0,603.0,20647.0,584.0,302.0,51.7,281.0,48.1,11138.0,61760.0,29705.0,542.0,439.0,101.0,686.0,416.0,12736.0,1288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Samir Handanović,si SVN,GK,37.0,37.0,1331.0,1193.0,1330.0,0.0,1.0,1.0,1331.0,0.0,0.0,,0.0,,866.0,4090.0,2876.0,0.0,0.0,0.0,1.0,0.0,815.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Nicolò Barella,it ITA,MF,24.0,32.4,2199.0,28.0,344.0,1133.0,757.0,95.0,2199.0,64.0,37.0,57.8,27.0,42.2,1427.0,8196.0,4128.0,114.0,69.0,15.0,56.0,38.0,1703.0,204.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Milan Škriniar,sk SVK,DF,26.0,35.0,2419.0,282.0,1164.0,1076.0,191.0,37.0,2419.0,13.0,12.0,92.3,1.0,7.7,1468.0,6826.0,3088.0,34.0,22.0,0.0,16.0,7.0,1792.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,28.0,32.6,2911.0,120.0,793.0,1711.0,431.0,30.0,2911.0,37.0,28.0,75.7,9.0,24.3,1859.0,9377.0,3997.0,51.0,49.0,3.0,40.0,20.0,2165.0,36.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Ivan Perišić,hr CRO,DF,32.0,31.3,1817.0,73.0,405.0,659.0,779.0,143.0,1816.0,45.0,26.0,57.8,19.0,42.2,925.0,5768.0,3364.0,135.0,75.0,44.0,48.0,8.0,1145.0,242.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Inter,Hakan Çalhanoğlu,tr TUR,MF,27.0,27.6,2089.0,27.0,309.0,1045.0,750.0,43.0,2085.0,28.0,13.0,46.4,15.0,53.6,1220.0,5763.0,2882.0,75.0,50.0,9.0,43.0,19.0,1464.0,126.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
