Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2020-2021,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,34.0,33.0,2970.0,90.0,97.1,33.0,33.0,90.0,33.0,0.0,,1.0,2.33,97.0,42.0,55.0,1.67,1.67,73.0,38.9,34.1,1.03,-0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,30.0,32.0,2674.0,84.0,87.4,29.7,31.0,85.0,20.0,1.0,27.0,0.0,2.41,90.0,37.0,53.0,1.78,1.32,65.4,34.5,30.9,1.04,-0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,David Alaba,at AUT,"DF,MF",28.0,32.0,2675.0,84.0,87.4,29.7,30.0,88.0,27.0,2.0,23.0,0.0,2.25,82.0,43.0,39.0,1.31,-2.43,62.7,37.5,25.2,0.85,-1.62,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,31.0,29.0,2368.0,82.0,77.4,26.3,29.0,82.0,18.0,0.0,,3.0,2.34,75.0,33.0,42.0,1.6,-0.09,59.1,29.5,29.6,1.13,0.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,31.0,29.0,2458.0,85.0,80.3,27.3,28.0,87.0,22.0,1.0,34.0,0.0,2.24,85.0,37.0,48.0,1.76,0.71,66.0,32.9,33.1,1.21,0.81,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,25.0,27.0,2194.0,81.0,71.7,24.4,25.0,86.0,20.0,2.0,28.0,0.0,2.33,73.0,27.0,46.0,1.89,0.95,58.8,25.8,33.0,1.35,1.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",24.0,29.0,1752.0,60.0,57.3,19.5,23.0,70.0,3.0,6.0,23.0,2.0,2.17,49.0,24.0,25.0,1.28,-0.78,41.5,23.2,18.3,0.94,-0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,24.0,24.0,1943.0,81.0,63.5,21.6,22.0,86.0,19.0,2.0,26.0,6.0,2.29,61.0,27.0,34.0,1.57,-0.12,45.9,25.6,20.4,0.94,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,19.0,23.0,1763.0,77.0,57.6,19.6,22.0,80.0,16.0,1.0,1.0,4.0,2.22,55.0,32.0,23.0,1.17,-1.05,47.3,23.0,24.3,1.24,0.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",25.0,27.0,1644.0,61.0,53.7,18.3,20.0,73.0,4.0,7.0,25.0,0.0,2.48,63.0,20.0,43.0,2.35,1.59,47.3,21.0,26.3,1.44,0.84,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
