Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,LaLiga,Celta Vigo,Thiago Galhardo,br BRA,"FW,MF",32.0,12.8,170.0,276.0,61.6,2103.0,626.0,102.0,137.0,74.5,37.0,68.0,54.4,7.0,15.0,46.7,2.0,1.9,1.6,0.1,12.0,12.0,12.0,2.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Augusto Solari,ar ARG,"MF,DF",29.0,7.9,286.0,446.0,64.1,4067.0,940.0,171.0,211.0,81.0,85.0,135.0,63.0,14.0,52.0,26.9,0.0,0.5,0.5,-0.5,6.0,16.0,6.0,5.0,18.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Carlos Dominguez,es ESP,DF,20.0,3.8,131.0,167.0,78.4,2526.0,819.0,52.0,60.0,86.7,59.0,63.0,93.7,16.0,36.0,44.4,0.0,0.0,0.2,0.0,0.0,8.0,1.0,0.0,9.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,José Fontán,es ESP,DF,21.0,3.1,170.0,205.0,82.9,3299.0,776.0,61.0,68.0,89.7,86.0,99.0,86.9,21.0,34.0,61.8,0.0,0.1,0.1,-0.1,2.0,4.0,2.0,2.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Okay Yokuşlu,tr TUR,"DF,MF",27.0,1.6,72.0,80.0,90.0,1065.0,314.0,39.0,43.0,90.7,25.0,27.0,92.6,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Gabriel Veiga,es ESP,MF,19.0,1.2,52.0,67.0,77.6,788.0,242.0,28.0,33.0,84.8,21.0,25.0,84.0,3.0,6.0,50.0,0.0,0.0,0.1,0.0,1.0,4.0,4.0,1.0,9.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Orbelín Pineda,mx MEX,"MF,FW",25.0,1.1,57.0,66.0,86.4,866.0,309.0,30.0,33.0,90.9,18.0,20.0,90.0,4.0,5.0,80.0,0.0,0.0,0.3,0.0,1.0,8.0,2.0,0.0,12.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Hugo Álvarez,es ESP,FW,18.0,0.1,1.0,3.0,33.3,12.0,0.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Miguel Baeza,es ESP,DF,21.0,0.0,4.0,5.0,80.0,56.0,7.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Celta Vigo,Hugo Sotelo,es ESP,FW,17.0,0.0,1.0,1.0,100.0,27.0,19.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
