Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,25.0,37.0,28.0,2.0,0.0,1.0,0.0,36.3,0.27,8.3,0.22,129.0,304.0,42.4,1040.0,192.0,17.5,27.5,262.0,46.6,41.7,404.0,15.0,3.7,41.0,1.11,15.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Jasper Cillessen,nl NED,GK,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.1,-0.3,-0.32,1.0,6.0,16.7,21.0,5.0,23.8,27.9,10.0,10.0,30.4,7.0,0.0,0.0,0.0,0.0,7.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Squad Total,,,27.7,38.0,29.0,2.0,0.0,1.0,0.0,37.0,0.26,8.0,0.21,130.0,310.0,41.9,1061.0,197.0,17.6,27.5,272.0,45.2,41.3,411.0,15.0,3.6,41.0,1.08,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Barcelona,Opponent Total,,,26.7,38.0,99.0,3.0,6.0,7.0,3.0,96.1,0.36,0.1,0.0,236.0,640.0,36.9,859.0,136.0,49.7,40.5,280.0,76.1,53.8,323.0,11.0,3.4,36.0,0.95,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,24.0,37.0,22.0,1.0,1.0,2.0,1.0,32.7,0.23,11.7,0.32,191.0,566.0,33.7,632.0,108.0,55.1,42.4,275.0,79.3,53.8,534.0,25.0,4.7,13.0,0.35,11.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Atlético Madrid,Axel Werner,ar ARG,GK,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.17,0.5,0.5,3.0,15.0,20.0,10.0,1.0,80.0,51.2,7.0,100.0,56.4,16.0,1.0,6.3,1.0,1.0,13.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Atlético Madrid,Squad Total,,,26.6,38.0,22.0,1.0,1.0,2.0,1.0,33.2,0.23,12.2,0.32,194.0,581.0,33.4,642.0,109.0,55.5,42.5,282.0,79.8,53.9,550.0,26.0,4.7,14.0,0.37,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Atlético Madrid,Opponent Total,,,26.8,38.0,58.0,4.0,2.0,2.0,1.0,58.8,0.36,1.8,0.05,235.0,571.0,41.2,924.0,173.0,41.9,36.9,257.0,71.6,52.5,417.0,27.0,6.5,47.0,1.24,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Real Madrid,Keylor Navas,cr CRC,GK,30.0,27.0,31.0,2.0,0.0,6.0,1.0,33.1,0.28,3.1,0.11,74.0,199.0,37.2,537.0,130.0,20.3,30.3,163.0,55.2,46.4,309.0,12.0,3.9,31.0,1.15,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Real Madrid,Kiko Casilla,es ESP,GK,30.0,10.0,11.0,0.0,0.0,1.0,1.0,10.5,0.37,0.5,0.05,31.0,76.0,40.8,195.0,48.0,22.1,31.0,72.0,45.8,41.3,118.0,4.0,3.4,5.0,0.5,13.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Real Madrid,Luca Zidane,fr FRA,GK,19.0,1.0,2.0,0.0,0.0,0.0,0.0,1.8,0.45,-0.2,-0.18,0.0,2.0,0.0,24.0,6.0,4.2,24.8,8.0,12.5,27.9,7.0,2.0,28.6,0.0,0.0,10.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Real Madrid,Squad Total,,,27.1,38.0,44.0,2.0,0.0,7.0,2.0,45.4,0.3,3.4,0.09,105.0,277.0,37.9,756.0,184.0,20.2,30.3,243.0,51.0,44.3,434.0,18.0,4.1,36.0,0.95,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Real Madrid,Opponent Total,,,26.9,38.0,94.0,8.0,2.0,15.0,3.0,89.4,0.3,-1.6,-0.04,330.0,757.0,43.6,906.0,157.0,51.1,40.9,373.0,78.8,56.0,704.0,18.0,2.6,36.0,0.95,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Valencia,Neto,br BRA,GK,28.0,33.0,33.0,3.0,1.0,4.0,0.0,43.7,0.28,10.7,0.33,170.0,488.0,34.8,541.0,150.0,49.7,39.7,277.0,79.1,56.6,541.0,21.0,3.9,7.0,0.21,9.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Valencia,Jaume Doménech,es ESP,GK,26.0,5.0,5.0,0.0,0.0,1.0,0.0,6.9,0.34,1.9,0.39,18.0,48.0,37.5,106.0,31.0,25.5,29.2,34.0,61.8,48.8,81.0,2.0,2.5,3.0,0.6,11.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Valencia,Squad Total,,,24.8,38.0,38.0,3.0,1.0,5.0,0.0,50.7,0.28,12.7,0.33,188.0,536.0,35.1,647.0,181.0,45.7,38.0,311.0,77.2,55.8,622.0,23.0,3.7,10.0,0.26,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Valencia,Opponent Total,,,26.9,38.0,65.0,8.0,1.0,7.0,2.0,60.0,0.29,-3.0,-0.08,238.0,677.0,35.2,844.0,144.0,51.8,40.2,294.0,81.6,56.3,486.0,29.0,6.0,30.0,0.79,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Villarreal,Sergio Asenjo,es ESP,GK,28.0,23.0,30.0,3.0,1.0,2.0,0.0,32.0,0.29,2.0,0.09,124.0,346.0,35.8,454.0,118.0,43.8,37.4,200.0,73.5,52.8,399.0,26.0,6.5,26.0,1.13,12.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Villarreal,Mariano Barbosa,ar ARG,GK,33.0,12.5,14.0,1.0,0.0,2.0,0.0,13.8,0.28,-0.2,-0.01,46.0,152.0,30.3,230.0,57.0,30.4,32.4,105.0,78.1,54.1,243.0,5.0,2.1,5.0,0.4,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Villarreal,Andrés Fernández,es ESP,GK,30.0,2.5,6.0,1.0,0.0,2.0,0.0,5.0,0.26,-1.0,-0.42,10.0,34.0,29.4,42.0,9.0,38.1,32.0,27.0,66.7,48.2,45.0,0.0,0.0,5.0,2.0,16.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Villarreal,Squad Total,,,26.6,38.0,50.0,5.0,1.0,6.0,0.0,50.8,0.28,0.8,0.02,180.0,532.0,33.8,726.0,184.0,39.3,35.5,332.0,74.4,52.8,687.0,31.0,4.5,36.0,0.95,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Villarreal,Opponent Total,,,26.9,38.0,57.0,4.0,0.0,4.0,1.0,54.4,0.3,-1.6,-0.04,218.0,595.0,36.6,872.0,155.0,47.2,38.8,273.0,67.0,51.5,409.0,18.0,4.4,40.0,1.05,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Betis,Antonio Adán,es ESP,GK,30.0,30.0,53.0,3.0,0.0,5.0,4.0,41.8,0.29,-7.2,-0.24,176.0,490.0,35.9,1002.0,130.0,33.8,32.8,253.0,59.7,44.4,468.0,17.0,3.6,22.0,0.73,14.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Betis,Pedro López,es ESP,GK,22.0,4.6,8.0,0.0,0.0,2.0,0.0,4.7,0.29,-3.3,-0.72,15.0,47.0,31.9,143.0,23.0,21.0,27.7,39.0,43.6,39.8,54.0,5.0,9.3,5.0,1.09,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Betis,Dani Giménez,es ESP,GK,34.0,3.4,0.0,0.0,0.0,0.0,0.0,1.5,0.19,1.5,0.44,8.0,40.0,20.0,94.0,10.0,34.0,34.5,20.0,40.0,36.4,62.0,3.0,4.8,2.0,0.58,10.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,LaLiga,Betis,Squad Total,,,27.1,38.0,61.0,3.0,0.0,7.0,4.0,48.1,0.29,-8.9,-0.24,199.0,577.0,34.5,1239.0,163.0,32.4,32.3,312.0,56.4,43.3,584.0,25.0,4.3,29.0,0.76,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
